,회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별),재고자산_유동자산비율(개별),재고자산_유동자산비율(연결)
206,(주)고영테크놀러지,98460,Dec-18,31398344.0,227563739.0,19487304.0,231667150.0,8.411768349548048,13.553213737899394
207,(주)고영테크놀러지,98460,Dec-19,36331529.0,225797248.0,21338197.0,229213476.0,9.309311726505994,15.850520499065246
208,(주)골드앤에스,35290,Dec-11,2865869.0,23477041.0,2865869.0,23165184.0,12.371449326713744,12.371449326713744
209,(주)골드앤에스,35290,Dec-12,2643834.0,26661256.0,2643834.0,27310447.0,9.6806690860827,9.6806690860827
210,(주)골드앤에스,35290,Dec-13,3133301.0,15792977.0,3133301.0,17985887.0,17.42088672079392,17.42088672079392
211,(주)골드앤에스,35290,Dec-14,2940734.0,15072221.0,2940734.0,15782408.0,18.63298680404156,18.63298680404156
212,(주)골드앤에스,35290,Dec-15,2329866.0,15364121.0,2329866.0,15122533.0,15.406585655987657,15.406585655987657
213,(주)골드앤에스,35290,Dec-16,1958738.0,8660668.0,1958738.0,8552277.0,22.903116912607015,22.903116912607015
214,(주)골드앤에스,35290,Dec-17,1057469.0,10831000.0,1057469.0,10974294.0,9.635872703975307,9.635872703975307
215,(주)골드앤에스,35290,Dec-18,1290682.0,21031370.0,1290682.0,21031370.0,6.1369373464496135,6.1369373464496135
216,(주)골드앤에스,35290,Dec-19,498013.0,3910189.0,498013.0,3910189.0,12.736289729217692,12.736289729217692
217,(주)골드퍼시픽,38530,Dec-11,,,4047225.0,15105931.0,26.792291054420943,
218,(주)골드퍼시픽,38530,Dec-12,,,6326625.0,19029706.0,33.24604699620688,
219,(주)골드퍼시픽,38530,Dec-13,6434511.0,16708814.0,5930685.0,15961156.0,37.15698913036123,40.313565007446826
220,(주)골드퍼시픽,38530,Dec-14,7662615.0,23894969.0,3617004.0,15761409.0,22.9484813191511,48.616307082698
221,(주)골드퍼시픽,38530,Dec-15,1707754.0,14304863.0,1707754.0,14304863.0,11.938275815713858,11.938275815713858
222,(주)골드퍼시픽,38530,Dec-16,,,55567.0,5438550.0,1.0217245405484918,
223,(주)골드퍼시픽,38530,Dec-17,,,545070.0,17215160.0,3.166220935501035,
224,(주)골드퍼시픽,38530,Dec-18,1607114.0,23990386.0,807960.0,22006122.0,3.6715237696128376,7.303031401898072
225,(주)골드퍼시픽,38530,Dec-19,,,3548341.0,28455147.0,12.469944365425349,
226,(주)골프존,215000,Dec-15,3108991.0,81295773.0,1816661.0,71290784.0,2.548241018081664,4.360999873419824
227,(주)골프존,215000,Dec-16,12659642.0,89781733.0,11069054.0,75788492.0,14.605190983348765,16.703910667598453
228,(주)골프존,215000,Dec-17,13130013.0,160591890.0,10223995.0,142686039.0,7.165378667495283,9.202030620529035
229,(주)골프존,215000,Dec-18,10498417.0,145265354.0,7999910.0,134088763.0,5.966130062666027,7.829453240611967
230,(주)골프존,215000,Dec-19,10880176.0,81730468.0,7433871.0,70491340.0,10.545793284678657,15.434769717812147
231,(주)골프존뉴딘홀딩스,121440,Dec-11,5934952.0,276277197.0,5109784.0,249046740.0,2.0517369550791953,2.3830675318215366
