,회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),판관비(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별),판관비(IFRS개별),매출액영업이익률(개별),매출액영업이익률(연결)
4424,(주)에이치비테크놀러지,78150,Dec-11,,,,50351637.0,34834166.0,6281196.0,18.343544620009077,
4425,(주)에이치비테크놀러지,78150,Dec-12,,,,33343150.0,24126892.0,6568688.0,7.94037156057541,
4426,(주)에이치비테크놀러지,78150,Dec-13,,,,144295442.0,114141552.0,13681969.0,11.415413246386535,
4427,(주)에이치비테크놀러지,78150,Dec-14,,,,133327678.0,114556460.0,16216925.0,1.9158010086997839,
4428,(주)에이치비테크놀러지,78150,Dec-15,,,,145657336.0,118399848.0,17158862.0,6.933139296190341,
4429,(주)에이치비테크놀러지,78150,Dec-16,,,,270465702.0,211117349.0,21287806.0,14.072226799389151,
4430,(주)에이치비테크놀러지,78150,Dec-17,,,,285223838.0,211233866.0,26011702.0,16.821269335840014,
4431,(주)에이치비테크놀러지,78150,Dec-18,273910965.0,243921965.0,19821906.0,250910635.0,228021399.0,15498022.0,2.9457555675151035,3.711824387899185
4432,(주)에이치비테크놀러지,78150,Dec-19,280566411.0,242956070.0,27508107.0,223721604.0,206490713.0,16378441.0,0.38103159675182735,3.600656958184492
4433,(주)에이치시티,72990,Dec-16,28240813.0,15302257.0,8020697.0,27683667.0,15074733.0,7692477.0,17.759413881116256,17.414013541324042
4434,(주)에이치시티,72990,Dec-17,27878325.0,18187579.0,9312054.0,27209299.0,17463711.0,9133996.0,2.247731556774028,1.3583742925731728
4435,(주)에이치시티,72990,Dec-18,36429972.0,21698910.0,10393669.0,35784271.0,21210254.0,9174934.0,15.087866398060756,11.906111264647693
4436,(주)에이치시티,72990,Dec-19,47420588.0,27641646.0,12566387.0,45337404.0,26672993.0,10251561.0,18.556091125111617,15.209754463609773
4437,(주)에이치알에스,36640,Dec-11,57864184.0,44540343.0,7291517.0,58031685.0,44683217.0,7056492.0,10.842311402813824,10.424970306329733
4438,(주)에이치알에스,36640,Dec-12,61133599.0,49272518.0,7693433.0,58999806.0,47886686.0,7055799.0,6.876837866212644,6.817278989251066
4439,(주)에이치알에스,36640,Dec-13,56466789.0,45935537.0,7711968.0,55384811.0,44441836.0,7138778.0,6.868664768035409,4.992817990766218
4440,(주)에이치알에스,36640,Dec-14,57373123.0,44596314.0,7671554.0,56357605.0,43751974.0,7145558.0,9.688263012596082,8.898339035858307
4441,(주)에이치알에스,36640,Dec-15,59727110.0,46547722.0,8109900.0,57006875.0,44672397.0,7433816.0,8.596615759064148,8.487750369974371
4442,(주)에이치알에스,36640,Dec-16,56490991.0,44716454.0,7342527.0,53857470.0,43222834.0,6619767.0,7.454618644358897,7.84551646474037
4443,(주)에이치알에스,36640,Dec-17,67720042.0,52525691.0,7526076.0,63060204.0,49468169.0,6655739.0,10.999482335959458,11.323494158494467
4444,(주)에이치알에스,36640,Dec-18,74617790.0,62087691.0,8969944.0,67943904.0,56619954.0,7874515.0,5.076886662267744,4.77118794325053
4445,(주)에이치알에스,36640,Dec-19,66720013.0,57397379.0,7745015.0,61723442.0,53413214.0,6899860.0,2.284979505841557,2.36453640978757
4446,(주)에이치앤비디자인,227100,Dec-18,31441043.0,26264352.0,4706541.0,31216245.0,26124896.0,4102602.0,3.1674117114342226,1.4953384339062796
4447,(주)에이치앤비디자인,227100,Dec-19,21792788.0,18982188.0,6927652.0,21772351.0,19017418.0,6273414.0,-16.16031727579626,-18.89180952891388
4448,(주)에이치엘사이언스,239610,Dec-16,,,,34431546.0,11774027.0,15823388.0,19.848458155204533,
4449,(주)에이치엘사이언스,239610,Dec-17,,,,40197225.0,12044757.0,22819691.0,13.266530214461323,
4450,(주)에이치엘사이언스,239610,Dec-18,,,,64108470.0,18965970.0,32893707.0,19.10635677313778,
4451,(주)에이치엘사이언스,239610,Dec-19,,,,128260856.0,31318651.0,73258267.0,18.46544513939623,
4452,(주)에이치케이,44780,Dec-11,60925684.0,48033256.0,8151321.0,60704553.0,48013354.0,7718308.0,8.191957199651895,7.781787070293704
4453,(주)에이치케이,44780,Dec-12,62945257.0,47182240.0,7806842.0,62641545.0,47065062.0,7304105.0,13.205897140627679,12.63983241819157
4454,(주)에이치케이,44780,Dec-13,52065819.0,39494935.0,7845865.0,51822513.0,39436784.0,8167640.0,8.13949142142142,9.075088207101862
4455,(주)에이치케이,44780,Dec-14,55030177.0,44217428.0,8728045.0,54634002.0,44102446.0,8338504.0,4.014078997910495,3.7882923763810536
4456,(주)에이치케이,44780,Dec-15,57333919.0,45593813.0,11077111.0,52102020.0,42442494.0,8512738.0,2.201043260894683,1.1563748154037752
4457,(주)에이치케이,44780,Dec-16,61788534.0,49857116.0,9829880.0,54110902.0,45217149.0,7157281.0,3.2090982331065185,3.4011779596518665
4458,(주)에이치케이,44780,Dec-17,57186686.0,44206720.0,10182570.0,54008598.0,42933690.0,7562655.0,6.503136778332961,4.89169104850734
4459,(주)에이치케이,44780,Dec-18,55488123.0,44344937.0,10126043.0,48566224.0,39930450.0,7384590.0,2.5762431108500428,1.8330823697172098
4460,(주)에이치케이,44780,Dec-19,54958238.0,43480737.0,10580086.0,44991567.0,36673732.0,7474466.0,1.8745046154982778,1.632903514847037
4461,(주)에이텍,45660,Dec-11,111111966.0,88422005.0,13046004.0,111111966.0,88422005.0,13045937.0,8.679554819505219,8.679494519969163
4462,(주)에이텍,45660,Dec-12,,,,118036574.0,98882795.0,12918942.0,5.282122979950266,
4463,(주)에이텍,45660,Dec-13,,,,143338657.0,120879275.0,16666636.0,4.041300596251575,
4464,(주)에이텍,45660,Dec-14,,,,178464874.0,150163807.0,21625997.0,3.7402710406754887,
4465,(주)에이텍,45660,Dec-15,,,,98988667.0,75976986.0,18631130.0,4.4253055756372595,
4466,(주)에이텍,45660,Dec-16,,,,120049859.0,94679343.0,19619219.0,4.790756980397619,
