,회사명,거래소코드,회계년도,당기재고자산(IFRS연결),전기재고자산(IFRS연결),당기재고자산(IFRS개별),전기재고자산(IFRS개별),재고자산증가율(개별),재고자산증가율(연결)
197,(주)고려시멘트,198440,Dec-18,,,4242987.0,4242987.0,0.0,
198,(주)고려시멘트,198440,Dec-19,,,6942200.0,6942200.0,0.0,
199,(주)고영테크놀러지,98460,Dec-11,14264259.0,14264259.0,13001882.0,13001882.0,0.0,-8.849930445037486
200,(주)고영테크놀러지,98460,Dec-12,17763177.0,17763177.0,15164342.0,15164342.0,0.0,-14.630462782642994
201,(주)고영테크놀러지,98460,Dec-13,20893135.0,20893135.0,17888953.0,17888953.0,0.0,-14.378799543486409
202,(주)고영테크놀러지,98460,Dec-14,18090390.0,18090390.0,13344937.0,13344937.0,0.0,-26.231899920344446
203,(주)고영테크놀러지,98460,Dec-15,19344915.0,19344915.0,12475503.0,12475503.0,0.0,-35.510168951375604
204,(주)고영테크놀러지,98460,Dec-16,19563475.0,19563475.0,12591503.0,12591503.0,0.0,-35.637697290486486
205,(주)고영테크놀러지,98460,Dec-17,22300525.0,22300525.0,12749777.0,12749777.0,0.0,-42.82745809795958
206,(주)고영테크놀러지,98460,Dec-18,31398344.0,31398344.0,19487304.0,19487304.0,0.0,-37.93524906918658
207,(주)고영테크놀러지,98460,Dec-19,36331529.0,36331529.0,21338197.0,21338197.0,0.0,-41.26810077274755
208,(주)골드앤에스,35290,Dec-11,2865869.0,2865869.0,2865869.0,2865869.0,0.0,0.0
209,(주)골드앤에스,35290,Dec-12,2643834.0,2643834.0,2643834.0,2643834.0,0.0,0.0
210,(주)골드앤에스,35290,Dec-13,3133301.0,3133301.0,3133301.0,3133301.0,0.0,0.0
211,(주)골드앤에스,35290,Dec-14,2940734.0,2940734.0,2940734.0,2940734.0,0.0,0.0
212,(주)골드앤에스,35290,Dec-15,2329866.0,2329866.0,2329866.0,2329866.0,0.0,0.0
213,(주)골드앤에스,35290,Dec-16,1958738.0,1958738.0,1958738.0,1958738.0,0.0,0.0
214,(주)골드앤에스,35290,Dec-17,1057469.0,1057469.0,1057469.0,1057469.0,0.0,0.0
215,(주)골드앤에스,35290,Dec-18,1290682.0,1290682.0,1290682.0,1290682.0,0.0,0.0
216,(주)골드앤에스,35290,Dec-19,498013.0,498013.0,498013.0,498013.0,0.0,0.0
217,(주)골드퍼시픽,38530,Dec-11,,,4047225.0,4047225.0,0.0,
218,(주)골드퍼시픽,38530,Dec-12,,6326625.0,6326625.0,6326625.0,0.0,0.0
219,(주)골드퍼시픽,38530,Dec-13,6434511.0,6434511.0,5930685.0,5930685.0,0.0,-7.830058880931276
220,(주)골드퍼시픽,38530,Dec-14,7662615.0,7662615.0,3617004.0,3617004.0,0.0,-52.79674106032993
221,(주)골드퍼시픽,38530,Dec-15,1707754.0,,1707754.0,1707754.0,0.0,
222,(주)골드퍼시픽,38530,Dec-16,,,55567.0,55567.0,0.0,
223,(주)골드퍼시픽,38530,Dec-17,,545070.0,545070.0,545070.0,0.0,0.0
224,(주)골드퍼시픽,38530,Dec-18,1607114.0,,807960.0,1607114.0,-49.726030636283426,
225,(주)골드퍼시픽,38530,Dec-19,,,3548341.0,3548341.0,0.0,
226,(주)골프존,215000,Dec-15,3108991.0,3108991.0,1816661.0,1816661.0,0.0,-41.56750534176522
227,(주)골프존,215000,Dec-16,12659642.0,12659642.0,11069054.0,11069054.0,0.0,-12.56424154806274
228,(주)골프존,215000,Dec-17,13130013.0,13130013.0,10223995.0,10223995.0,0.0,-22.132636121533167
229,(주)골프존,215000,Dec-18,10498417.0,10498417.0,7999910.0,7999910.0,0.0,-23.7988927283037
230,(주)골프존,215000,Dec-19,10880176.0,10880176.0,7433871.0,7433871.0,0.0,-31.675085035389145
231,(주)골프존뉴딘홀딩스,121440,Dec-11,5934952.0,5934952.0,5109784.0,5109784.0,0.0,-13.90353283396395
232,(주)골프존뉴딘홀딩스,121440,Dec-12,17945664.0,17945664.0,16416317.0,16416317.0,0.0,-8.522097594159789
233,(주)골프존뉴딘홀딩스,121440,Dec-13,32288277.0,32288277.0,31018699.0,31018699.0,0.0,-3.932009131363685
234,(주)골프존뉴딘홀딩스,121440,Dec-14,30575929.0,30575929.0,29629196.0,29629196.0,0.0,-3.0963343746644654
235,(주)골프존뉴딘홀딩스,121440,Dec-15,23999862.0,23999862.0,0.0,0.0,,-100.0
236,(주)골프존뉴딘홀딩스,121440,Dec-16,33842758.0,33842758.0,0.0,0.0,,-100.0
237,(주)골프존뉴딘홀딩스,121440,Dec-17,40345794.0,40345794.0,0.0,0.0,,-100.0
238,(주)골프존뉴딘홀딩스,121440,Dec-18,51388491.0,51388491.0,0.0,0.0,,-100.0
239,(주)골프존뉴딘홀딩스,121440,Dec-19,48390470.0,48390470.0,0.0,0.0,,-100.0
240,(주)광림,14200,Dec-11,,,25192191.0,25192191.0,0.0,
241,(주)광림,14200,Dec-12,,,27920478.0,27920478.0,0.0,
242,(주)광림,14200,Dec-13,,20425937.0,20425937.0,20425937.0,0.0,0.0
243,(주)광림,14200,Dec-14,76887713.0,,23384110.0,76887713.0,-69.5866750517082,
244,(주)광림,14200,Dec-15,,21555582.0,21555582.0,21555582.0,0.0,0.0
245,(주)광림,14200,Dec-16,26522759.0,26345845.0,21419610.0,21419610.0,0.0,-18.69833744182432
246,(주)광림,14200,Dec-17,21761125.0,21761125.0,16099250.0,16099250.0,0.0,-26.018300983979458
247,(주)광림,14200,Dec-18,25240021.0,25240021.0,19113946.0,19113946.0,0.0,-24.271275368590224
248,(주)광림,14200,Dec-19,27735699.0,27735699.0,19396901.0,19396901.0,0.0,-30.065216672563395
249,(주)광명전기,17040,Dec-11,12871667.0,12871667.0,8759316.0,8759316.0,0.0,-31.948861013884212
250,(주)광명전기,17040,Dec-12,16291860.0,16291860.0,13110921.0,13110921.0,0.0,-19.524713568616477
251,(주)광명전기,17040,Dec-13,14379994.0,14379994.0,12091794.0,12091794.0,0.0,-15.912384942580644
