,회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별),운전자본회전비율(개별),운전자본회전비율(연결)
117,(주)강원랜드,35250,Dec-15,1633716839.0,5436891.0,1621646.0,1630976696.0,5366515.0,1621646.0,23339.14024018622,23145.261390568612
118,(주)강원랜드,35250,Dec-16,1696532511.0,5089200.0,1309513.0,1694575212.0,5028255.0,1309513.0,26737.728676720257,26513.65221412493
119,(주)강원랜드,35250,Dec-17,1604470055.0,5442780.0,1299617.0,1602901764.0,5425603.0,1299617.0,23834.19076253268,23796.730673082584
120,(주)강원랜드,35250,Dec-18,1438059299.0,10584690.0,1148805.0,1436042435.0,10519131.0,1143581.0,12313.108949273548,12256.018338951864
121,(주)강원랜드,35250,Dec-19,1520080449.0,8657399.0,3636529.0,1517612252.0,8599415.0,3631307.0,12408.198403986291,12364.48146597247
122,(주)강원에너지,114190,Nov-11,,,,50222892.0,12650936.0,3989692.0,301.80887404009036,
123,(주)강원에너지,114190,Dec-12,,,,106471214.0,42550425.0,3808870.0,229.66530013021122,
124,(주)강원에너지,114190,Dec-13,,,,50660659.0,16589758.0,2086978.0,271.2500674636082,
125,(주)강원에너지,114190,Dec-14,,,,51481321.0,26216322.0,1736909.0,184.16948294814293,
126,(주)강원에너지,114190,Dec-15,46188664.0,16786020.0,1233999.0,48852892.0,16786020.0,1233999.0,271.1034433426513,256.3186198638303
127,(주)강원에너지,114190,Dec-16,42287473.0,28125754.0,335220.0,44448760.0,28125754.0,335220.0,156.17441623747663,148.58055455164677
128,(주)강원에너지,114190,Dec-17,82034829.0,47160876.0,361382.0,83113029.0,47160876.0,361382.0,174.89284494857125,172.62401336232801
129,(주)강원에너지,114190,Dec-18,85905365.0,43399528.0,543737.0,85905365.0,43399528.0,543737.0,195.49153891955913,195.49153891955913
130,(주)강원에너지,114190,Dec-19,42549622.0,20063616.0,118784.0,42549622.0,20063616.0,118784.0,210.82538251149518,210.82538251149518
131,(주)갤럭시아에스엠,11420,Dec-11,47331427.0,7628919.0,20209.0,31931418.0,6130238.0,0.0,520.8838221289287,618.7819971113047
132,(주)갤럭시아에스엠,11420,Dec-12,55049732.0,4791513.0,37487.0,37398255.0,5251377.0,0.0,712.1609246489064,1139.9820252640297
133,(주)갤럭시아에스엠,11420,Dec-13,46437304.0,4956683.0,126351.0,30903637.0,4769683.0,0.0,647.918048222492,913.5745304871067
134,(주)갤럭시아에스엠,11420,Dec-14,43885894.0,6615820.0,508736.0,33027933.0,6620157.0,404356.0,470.1811072169701,615.9807572570136
135,(주)갤럭시아에스엠,11420,Dec-15,62472754.0,4611248.0,11280.0,53784932.0,6445375.0,0.0,834.4732773500378,1351.484598903457
136,(주)갤럭시아에스엠,11420,Dec-16,52626331.0,6431047.0,0.0,45665676.0,6515454.0,0.0,700.8824864698607,818.3166908903013
137,(주)갤럭시아에스엠,11420,Dec-17,37281280.0,7542791.0,0.0,36917656.0,7481985.0,0.0,493.42060963768307,494.2637281080703
138,(주)갤럭시아에스엠,11420,Dec-18,22060413.0,5719635.0,0.0,22030258.0,5719122.0,0.0,385.2034980194512,385.6961676750352
139,(주)갤럭시아에스엠,11420,Dec-19,28732679.0,5897430.0,0.0,28732679.0,5897430.0,0.0,487.2067832937399,487.2067832937399
140,(주)경농,2100,Dec-11,121253605.0,9818596.0,70194121.0,120728258.0,9714905.0,70007203.0,151.43635940986408,151.54291660911852
141,(주)경농,2100,Dec-12,136970449.0,18805441.0,102583675.0,131021366.0,11173839.0,69708618.0,161.9898441017933,112.83585671717059
142,(주)경농,2100,Dec-13,196358952.0,22766814.0,98860077.0,139237273.0,13260133.0,70268926.0,166.69321391493227,161.443699156957
143,(주)경농,2100,Dec-14,188483147.0,26488328.0,98308244.0,134806677.0,15336315.0,69968941.0,158.0285709476096,151.03231120803542
144,(주)경농,2100,Dec-15,196418710.0,29950451.0,115444315.0,137609256.0,19475979.0,84302523.0,132.5990001281768,135.0933843106842
145,(주)경농,2100,Dec-16,203984939.0,33292892.0,115876266.0,143209666.0,20474340.0,89356248.0,130.39142246966756,136.74739586583976
146,(주)경농,2100,Dec-17,206534382.0,34293741.0,119704437.0,143175105.0,21342674.0,91796107.0,126.54821250018595,134.11482180003452
147,(주)경농,2100,Dec-18,212654617.0,34470614.0,120967753.0,146216658.0,24098405.0,91526504.0,126.45774968782895,136.80960570050252
148,(주)경농,2100,Dec-19,227510941.0,34654361.0,133714688.0,151342037.0,22948270.0,101542875.0,121.56851557594719,135.1263443912426
