,회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별),차입금평균이자율(개별),차입금평균이자율(연결)
198,(주)고려시멘트,198440,Dec-19,,,,,0.0,0.0,11160000.0,0.0,0.0,
199,(주)고영테크놀러지,98460,Dec-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,(주)고영테크놀러지,98460,Dec-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,(주)고영테크놀러지,98460,Dec-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,(주)고영테크놀러지,98460,Dec-14,0.0,255725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,(주)고영테크놀러지,98460,Dec-15,0.0,108243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,(주)고영테크놀러지,98460,Dec-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,(주)고영테크놀러지,98460,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,(주)고영테크놀러지,98460,Dec-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,(주)고영테크놀러지,98460,Dec-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,(주)골드앤에스,35290,Dec-11,0.0,0.0,12411157.0,0.0,0.0,0.0,12178458.0,0.0,0.0,0.0
