,회사명,거래소코드,회계년도,부채(IFRS연결),자산(IFRS연결),부채(IFRS개별),자산(IFRS개별),타인자본구성비율(개별),타인자본구성비율(연결)
187,(주)경인양행,12610,Dec-14,114800458.0,313039125.0,80897578.0,267331084.0,30.261194018126226,36.672878509994554
188,(주)경인양행,12610,Dec-15,125562133.0,326687437.0,87875136.0,273778266.0,32.097192112393614,38.434943857360516
189,(주)경인양행,12610,Dec-16,136005319.0,344298515.0,99013669.0,290035389.0,34.138478528908074,39.50215091691581
190,(주)경인양행,12610,Dec-17,147016537.0,357951470.0,106064982.0,296909084.0,35.723050494473924,41.071639404078994
191,(주)경인양행,12610,Dec-18,189237207.0,412996589.0,146670857.0,344908257.0,42.5246000996723,45.82052540874617
192,(주)경인양행,12610,Dec-19,234647863.0,472081003.0,179977211.0,381063538.0,47.23023670661453,49.705000097197306
193,(주)고려시멘트,198440,Dec-14,,,,,,
194,(주)고려시멘트,198440,Dec-15,,,,,,
195,(주)고려시멘트,198440,Dec-16,,,,,,
196,(주)고려시멘트,198440,Dec-17,,,38487512.0,115881620.0,33.21278387374978,
197,(주)고려시멘트,198440,Dec-18,,,41025871.0,127536833.0,32.167860872003935,
198,(주)고려시멘트,198440,Dec-19,,,38590195.0,127035573.0,30.377471513431907,
199,(주)고영테크놀러지,98460,Dec-11,17383474.0,87006201.0,16635495.0,87017886.0,19.117328361665784,19.97958053587468
200,(주)고영테크놀러지,98460,Dec-12,19950870.0,103351965.0,18928736.0,103019642.0,18.37390970549092,19.303812946372137
201,(주)고영테크놀러지,98460,Dec-13,22632008.0,120951617.0,21277632.0,121329325.0,17.537089240379437,18.71162086241476
202,(주)고영테크놀러지,98460,Dec-14,25885224.0,141720465.0,23524948.0,141873467.0,16.581640314746096,18.26498664113189
203,(주)고영테크놀러지,98460,Dec-15,27381980.0,158857627.0,26600137.0,160170850.0,16.60735208684976,17.236805381714536
204,(주)고영테크놀러지,98460,Dec-16,37853661.0,195121241.0,36760049.0,194332855.0,18.916023746988124,19.40007187633662
205,(주)고영테크놀러지,98460,Dec-17,43890214.0,205207385.0,40860118.0,205696350.0,19.864289278832608,21.38822343065285
206,(주)고영테크놀러지,98460,Dec-18,53192797.0,279059436.0,50714272.0,279985447.0,18.11318143260496,19.061457932567453
