,회사명,거래소코드,회계년도,매출액(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),재고자산(IFRS개별),재고자산회전율(개별),재고자산회전율(연결)
148,(주)경농,2100,Dec-19,227510941.0,133714688.0,151342037.0,101542875.0,1.4904249756568346,1.7014655936676157
149,(주)경동나비엔,9450,Dec-11,341246917.0,60788326.0,318269213.0,41637076.0,7.64388961895403,5.6136916321729275
150,(주)경동나비엔,9450,Dec-12,379014259.0,59527947.0,341339118.0,33893618.0,10.070896473784535,6.366996983786456
151,(주)경동나비엔,9450,Dec-13,414177562.0,71724409.0,371601179.0,37417214.0,9.931289352542388,5.774569184669057
152,(주)경동나비엔,9450,Dec-14,428985365.0,83525372.0,382392117.0,40963230.0,9.335008909209552,5.135988678984872
153,(주)경동나비엔,9450,Dec-15,512031120.0,87185691.0,448302084.0,39239496.0,11.424766617797538,5.872880218383542
154,(주)경동나비엔,9450,Dec-16,583252904.0,89997026.0,506082201.0,41128987.0,12.304757250646606,6.4808019767230975
155,(주)경동나비엔,9450,Dec-17,684660958.0,110374505.0,569819524.0,57016736.0,9.993899405255327,6.203071606074247
156,(주)경동나비엔,9450,Dec-18,726741615.0,150049770.0,618058456.0,74930222.0,8.248453554561737,4.843337080756605
157,(주)경동나비엔,9450,Dec-19,774290704.0,138114361.0,655419303.0,66299991.0,9.885662020678103,5.606156364869255
158,(주)경동도시가스,267290,Dec-17,871548284.0,1111165.0,870828897.0,1111165.0,783.7079974621231,784.3554143624034
159,(주)경동도시가스,267290,Dec-18,1606531867.0,1299646.0,1605687067.0,1299646.0,1235.4803284894501,1236.130351649603
160,(주)경동도시가스,267290,Dec-19,1422707835.0,1333402.0,1421866212.0,1333402.0,1066.3447422457743,1066.97592698976
161,(주)경동인베스트,12320,Dec-11,1847666903.0,6238419.0,1806174764.0,837931.0,2155.5172967702592,296.17550584531114
162,(주)경동인베스트,12320,Dec-12,2502642394.0,20579836.0,2403814656.0,1073025.0,2240.2224142028376,121.60652757388348
163,(주)경동인베스트,12320,Dec-13,2788264380.0,13656418.0,2664100017.0,759346.0,3508.4138416479445,204.17245429950958
164,(주)경동인베스트,12320,Dec-14,2603059058.0,18386682.0,2399450987.0,1014437.0,2365.303106057843,141.57307218344235
165,(주)경동인베스트,12320,Dec-15,1604168482.0,8347076.0,1352478311.0,958537.0,1410.9818515091229,192.18328454179644
