,회사명,거래소코드,회계년도,[제조]매출원가(*)(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]매출원가(*)(IFRS),[제조]매출액(수익)(*)(IFRS),매출원가대매출액비율(개별),매출원가대매출액비율(연결)
147,(주)경농,2100,2018/12,139911460.0,212654617.0,91408676.0,146216658.0,62.51591114878307,65.79281558697595
148,(주)경농,2100,2019/12,153098094.0,227510941.0,94631333.0,151342037.0,62.52812164805209,67.29262923667481
149,(주)경동나비엔,9450,2011/12,251540613.0,341246917.0,246619329.0,318269213.0,77.48764848329832,73.71220089293877
150,(주)경동나비엔,9450,2012/12,282583068.0,379014259.0,268142768.0,341339118.0,78.55612025106363,74.55737120433771
151,(주)경동나비엔,9450,2013/12,296168554.0,414177562.0,284158227.0,371601179.0,76.4686021084987,71.50762889468166
152,(주)경동나비엔,9450,2014/12,313840608.0,428985365.0,293438355.0,382392117.0,76.73755340516081,73.15881463695155
153,(주)경동나비엔,9450,2015/12,352051189.0,512031120.0,334829527.0,448302084.0,74.68837173641157,68.75581878695186
154,(주)경동나비엔,9450,2016/12,382333051.0,583252904.0,369054723.0,506082201.0,72.92386933797737,65.55184695659912
155,(주)경동나비엔,9450,2017/12,446078996.0,684660958.0,423216560.0,569819524.0,74.27203564895751,65.1532690432744
156,(주)경동나비엔,9450,2018/12,487844378.0,726741615.0,466381901.0,618058456.0,75.45918941363048,67.12762389422271
157,(주)경동나비엔,9450,2019/12,509635845.0,774290704.0,479160026.0,655419303.0,73.10740220905578,65.8197034223983
158,(주)경동도시가스,267290,2017/12,793238142.0,871548284.0,793617236.0,870828897.0,91.13354399859791,91.01482460150194
159,(주)경동도시가스,267290,2018/12,1480519376.0,1606531867.0,1480519376.0,1605687067.0,92.20472696252962,92.15624080739134
160,(주)경동도시가스,267290,2019/12,1310188918.0,1422707835.0,1310791588.0,1421866212.0,92.18811003014396,92.09121407558708
161,(주)경동인베스트,12320,2011/12,1739469751.0,1847666903.0,1697470671.0,1806174764.0,93.9815296300973,94.14412025109485
162,(주)경동인베스트,12320,2012/12,2381579037.0,2502642394.0,2292736954.0,2403814656.0,95.37910704875908,95.16257866923995
163,(주)경동인베스트,12320,2013/12,2659198011.0,2788264380.0,2552976223.0,2664100017.0,95.82884301299113,95.37108568592767
164,(주)경동인베스트,12320,2014/12,2470957525.0,2603059058.0,2293899450.0,2399450987.0,95.60101299956247,94.92514268571773
165,(주)경동인베스트,12320,2015/12,1520436435.0,1604168482.0,1263722829.0,1352478311.0,93.4375670738575,94.78034583402318
166,(주)경동인베스트,12320,2016/12,1064804018.0,1181902637.0,924418543.0,1021002691.0,90.54026508927193,90.09236333567804
167,(주)경동인베스트,12320,2017/12,140724518.0,195069859.0,0.0,612436.0,0.0,72.14057503368575
168,(주)경동인베스트,12320,2018/12,171130400.0,228644016.0,3635575.0,7460898.0,48.72838363424885,74.84578122525629
169,(주)경동인베스트,12320,2019/12,223338232.0,271765025.0,3929209.0,8641051.0,45.47142471442421,82.18063821862287
170,(주)경방,50,2011/12,258814443.0,348136369.0,246411496.0,275746943.0,89.3614606635911,74.34283402892618
171,(주)경방,50,2012/12,260837041.0,333620804.0,250600103.0,265409209.0,94.42027424150155,78.18368575120394
172,(주)경방,50,2013/12,251468225.0,347189559.0,223418883.0,264782077.0,84.37840111058574,72.42966226412356
173,(주)경방,50,2014/12,238357806.0,329036023.0,209067504.0,256979444.0,81.35573053850953,72.44124938867256
174,(주)경방,50,2015/12,255868653.0,357628146.0,209467360.0,307744480.0,68.06535083911172,71.5460054981243
175,(주)경방,50,2016/12,268352680.0,377445013.0,210095763.0,313876822.0,66.935736656592,71.09715872706471
176,(주)경방,50,2017/12,253442168.0,360788750.0,188372022.0,288103985.0,65.38334483641384,70.24669366769335
177,(주)경방,50,2018/12,244043108.0,351438926.0,177815403.0,279085217.0,63.713658828443066,69.4411147841944
178,(주)경방,50,2019/12,244396020.0,343892085.0,151563044.0,253552382.0,59.77583125210001,71.06764902716502
179,(주)경보제약,214390,2015/12,,,129475387.0,178032632.0,72.72564896979111,
180,(주)경보제약,214390,2016/12,,,142622767.0,186726170.0,76.38070603600984,
181,(주)경보제약,214390,2017/12,,,137038683.0,191661374.0,71.50041771066506,
182,(주)경보제약,214390,2018/12,,,152082417.0,201343596.0,75.5337741161631,
183,(주)경보제약,214390,2019/12,,,150990036.0,191706189.0,78.76116925990324,
184,(주)경인양행,12610,2011/12,198818643.0,233095049.0,109831813.0,128707611.0,85.33435757734638,85.2950947919962
185,(주)경인양행,12610,2012/12,190167857.0,218604655.0,120613769.0,141304459.0,85.35736936652508,86.99167773897587
186,(주)경인양행,12610,2013/12,217483383.0,260808400.0,147883856.0,183106757.0,80.76373500514784,83.38818189904926
187,(주)경인양행,12610,2014/12,228191361.0,277181095.0,153646031.0,190395047.0,80.69854411706415,82.32573040379972
188,(주)경인양행,12610,2015/12,220123025.0,263163677.0,148385606.0,175006703.0,84.78852721429762,83.6449116038153
189,(주)경인양행,12610,2016/12,228042128.0,274873817.0,150776725.0,179267850.0,84.10695225050114,82.9624772882606
190,(주)경인양행,12610,2017/12,252841704.0,299987729.0,164845854.0,193975818.0,84.98268273831947,84.28401549718055
191,(주)경인양행,12610,2018/12,255365574.0,331102011.0,169805543.0,222659442.0,76.26244882083195,77.12595076929327
192,(주)경인양행,12610,2019/12,274054354.0,358802386.0,188265694.0,245244968.0,76.76638405074227,76.38030422685094
193,(주)고려시멘트,198440,2014/12,,,,,,
194,(주)고려시멘트,198440,2015/12,,,,,,
195,(주)고려시멘트,198440,2016/12,,,,,,
196,(주)고려시멘트,198440,2017/12,,,75974602.0,87660276.0,86.66936207228004,
197,(주)고려시멘트,198440,2018/12,,,73108112.0,85775723.0,85.23170594551561,
198,(주)고려시멘트,198440,2019/12,,,65599490.0,70921781.0,92.49554801789313,
199,(주)고영테크놀러지,98460,2011/12,36970902.0,86130810.0,34339828.0,80200892.0,42.81726442643556,42.92413133000839
200,(주)고영테크놀러지,98460,2012/12,46349851.0,107841666.0,46250331.0,100791139.0,45.88729868406388,42.97953909577028
201,(주)고영테크놀러지,98460,2013/12,49977494.0,111902729.0,48746666.0,103933681.0,46.90170263477919,44.661550657982616
202,(주)고영테크놀러지,98460,2014/12,60262407.0,142840131.0,61382298.0,135531589.0,45.29003050351605,42.18870885801694
203,(주)고영테크놀러지,98460,2015/12,56896177.0,145904431.0,56961633.0,138554625.0,41.11131836992089,38.99551001298926
204,(주)고영테크놀러지,98460,2016/12,63856136.0,171793841.0,61186100.0,153254768.0,39.92443484694714,37.17021263876392
205,(주)고영테크놀러지,98460,2017/12,71899522.0,203368626.0,73639302.0,188934907.0,38.97601727985607,35.354284195242585
206,(주)고영테크놀러지,98460,2018/12,89336707.0,238208865.0,88093203.0,219818022.0,40.075514372520374,37.503519023106044
207,(주)고영테크놀러지,98460,2019/12,80865005.0,222057035.0,81602341.0,209480760.0,38.954575589662745,36.41632204987336
208,(주)골드앤에스,35290,2011/12,32544786.0,47522791.0,33020367.0,47522791.0,69.48322332331028,68.48248033243671
209,(주)골드앤에스,35290,2012/12,31012456.0,43889087.0,31475407.0,43889087.0,71.7157934955448,70.66097319363239
210,(주)골드앤에스,35290,2013/12,28127986.0,39548810.0,26382626.0,36607591.0,72.06873022592501,71.12220569974166
211,(주)골드앤에스,35290,2014/12,23453716.0,31287203.0,21706823.0,29428881.0,73.76027311402021,74.96264846685081
212,(주)골드앤에스,35290,2015/12,15199451.0,22197935.0,15542053.0,22197935.0,70.01576047501716,68.47236465914509
213,(주)골드앤에스,35290,2016/12,9347753.0,15893494.0,9636887.0,15893494.0,60.634162632835796,58.81496541918347
214,(주)골드앤에스,35290,2017/12,8002687.0,12802035.0,8220762.0,12802035.0,64.21449402380168,62.51105390666406
215,(주)골드앤에스,35290,2018/12,4405757.0,8680452.0,4348267.0,8680452.0,50.092633425079704,50.75492612596671
216,(주)골드앤에스,35290,2019/12,6293120.0,7642733.0,6293120.0,7642733.0,82.3412253182206,82.3412253182206
217,(주)골드퍼시픽,38530,2011/12,,,6637040.0,11236925.0,59.06455725209522,
218,(주)골드퍼시픽,38530,2012/12,,,7335464.0,10491048.0,69.92117470056375,
219,(주)골드퍼시픽,38530,2013/12,8242393.0,7167832.0,7623009.0,6488691.0,117.48146120689059,114.9914367412629
220,(주)골드퍼시픽,38530,2014/12,17957521.0,16486257.0,8095405.0,4855121.0,166.73951071456304,108.92418454959183
221,(주)골드퍼시픽,38530,2015/12,19680341.0,18635305.0,8377506.0,6121489.0,136.85405625984134,105.60782879593332
222,(주)골드퍼시픽,38530,2016/12,,,8116354.0,9588100.0,84.65028524942376,
223,(주)골드퍼시픽,38530,2017/12,,,1988881.0,5031439.0,39.52906911919234,
224,(주)골드퍼시픽,38530,2018/12,1408824.0,5708281.0,1408824.0,5580994.0,25.243245199690236,24.680354733763107
225,(주)골드퍼시픽,38530,2019/12,,,8029376.0,11323125.0,70.91130761163548,
226,(주)골프존,215000,2015/12,80622893.0,201560389.0,60628407.0,184085342.0,32.93494546676074,39.99937358723792
227,(주)골프존,215000,2016/12,87427908.0,216964342.0,75591746.0,196864993.0,38.39775921969022,40.29598006477949
228,(주)골프존,215000,2017/12,69036405.0,200105321.0,61708564.0,171859065.0,35.90649349802991,34.500034609274586
229,(주)골프존,215000,2018/12,77580938.0,198705194.0,77184826.0,191571105.0,40.29043210874625,39.04323608168994
230,(주)골프존,215000,2019/12,93859565.0,247018099.0,96463711.0,239051647.0,40.352665296633575,37.997039642022344
