,회사명,거래소코드,회계년도,[제조]   금융비용(IFRS연결),[제조]매출액(수익)(*)(IFRS연결),[제조]   금융비용(IFRS),[제조]매출액(수익)(*)(IFRS),금융비용부담률(개별),금융비용부담률(연결)
235,(주)골프존뉴딘홀딩스,121440,2015/12,0.0,164536448.0,0.0,29389093.0,0.0,0.0
236,(주)골프존뉴딘홀딩스,121440,2016/12,0.0,243275475.0,0.0,27652102.0,0.0,0.0
237,(주)골프존뉴딘홀딩스,121440,2017/12,0.0,213756902.0,0.0,23499543.0,0.0,0.0
238,(주)골프존뉴딘홀딩스,121440,2018/12,0.0,223036801.0,0.0,16100354.0,0.0,0.0
239,(주)골프존뉴딘홀딩스,121440,2019/12,0.0,228935651.0,0.0,26897482.0,0.0,0.0
240,(주)광림,14200,2011/12,,,0.0,106495363.0,0.0,
241,(주)광림,14200,2012/12,,,0.0,85322569.0,0.0,
242,(주)광림,14200,2013/12,,,0.0,103442134.0,0.0,
243,(주)광림,14200,2014/12,0.0,231446314.0,0.0,92553612.0,0.0,0.0
244,(주)광림,14200,2015/12,,,0.0,237222890.0,0.0,
245,(주)광림,14200,2016/12,0.0,87302967.0,0.0,87302967.0,0.0,0.0
246,(주)광림,14200,2017/12,0.0,135191558.0,0.0,99421336.0,0.0,0.0
247,(주)광림,14200,2018/12,0.0,136595300.0,0.0,75493055.0,0.0,0.0
248,(주)광림,14200,2019/12,0.0,145864184.0,0.0,93241157.0,0.0,0.0
249,(주)광명전기,17040,2011/12,0.0,92382628.0,0.0,57967857.0,0.0,0.0
250,(주)광명전기,17040,2012/12,0.0,117216514.0,0.0,79318302.0,0.0,0.0
251,(주)광명전기,17040,2013/12,0.0,117852824.0,0.0,90344376.0,0.0,0.0
252,(주)광명전기,17040,2014/12,0.0,134778387.0,0.0,115801471.0,0.0,0.0
253,(주)광명전기,17040,2015/12,0.0,116316957.0,0.0,93000177.0,0.0,0.0
254,(주)광명전기,17040,2016/12,0.0,96942911.0,0.0,96931493.0,0.0,0.0
255,(주)광명전기,17040,2017/12,0.0,101561159.0,0.0,105083042.0,0.0,0.0
256,(주)광명전기,17040,2018/12,0.0,114110654.0,0.0,96949804.0,0.0,0.0
257,(주)광명전기,17040,2019/12,0.0,131864294.0,0.0,125009206.0,0.0,0.0
258,(주)광무,29480,2011/12,0.0,51755052.0,0.0,50359203.0,0.0,0.0
259,(주)광무,29480,2012/12,0.0,41178683.0,0.0,40406860.0,0.0,0.0
260,(주)광무,29480,2013/12,0.0,20534276.0,0.0,10105219.0,0.0,0.0
261,(주)광무,29480,2014/12,,,0.0,38409667.0,0.0,
262,(주)광무,29480,2015/12,,,0.0,17648493.0,0.0,
263,(주)광무,29480,2016/12,,,0.0,26429957.0,0.0,
264,(주)광무,29480,2017/12,,,0.0,21540953.0,0.0,
265,(주)광무,29480,2018/12,0.0,23074941.0,0.0,20707286.0,0.0,0.0
266,(주)광무,29480,2019/12,0.0,36483979.0,0.0,25244176.0,0.0,0.0
267,(주)광주신세계,37710,2011/12,,,0.0,219613514.0,0.0,
268,(주)광주신세계,37710,2012/12,,,0.0,213803173.0,0.0,
269,(주)광주신세계,37710,2013/12,,,0.0,206606675.0,0.0,
270,(주)광주신세계,37710,2014/12,,,0.0,204820461.0,0.0,
271,(주)광주신세계,37710,2015/12,,,0.0,205331892.0,0.0,
272,(주)광주신세계,37710,2016/12,,,0.0,210423594.0,0.0,
273,(주)광주신세계,37710,2017/12,,,0.0,209647360.0,0.0,
274,(주)광주신세계,37710,2018/12,,,0.0,135213362.0,0.0,
275,(주)광주신세계,37710,2019/12,,,0.0,154879496.0,0.0,
276,(주)구영테크,53270,2011/12,0.0,147832315.0,0.0,62527619.0,0.0,0.0
277,(주)구영테크,53270,2012/12,0.0,155788988.0,0.0,65451015.0,0.0,0.0
278,(주)구영테크,53270,2013/12,0.0,172747316.0,0.0,76282590.0,0.0,0.0
279,(주)구영테크,53270,2014/12,0.0,170528694.0,0.0,77799749.0,0.0,0.0
280,(주)구영테크,53270,2015/12,0.0,172083049.0,0.0,87109177.0,0.0,0.0
281,(주)구영테크,53270,2016/12,0.0,148301597.0,0.0,75320433.0,0.0,0.0
282,(주)구영테크,53270,2017/12,0.0,149833357.0,0.0,74298129.0,0.0,0.0
283,(주)구영테크,53270,2018/12,0.0,195238339.0,0.0,81928926.0,0.0,0.0
284,(주)구영테크,53270,2019/12,0.0,230853336.0,0.0,93132845.0,0.0,0.0
285,(주)국동,5320,2011/12,0.0,154293577.0,0.0,100097439.0,0.0,0.0
286,(주)국동,5320,2012/12,0.0,138172746.0,0.0,91524436.0,0.0,0.0
287,(주)국동,5320,2013/12,0.0,147860227.0,0.0,95716049.0,0.0,0.0
288,(주)국동,5320,2014/12,0.0,186086561.0,0.0,117861978.0,0.0,0.0
289,(주)국동,5320,2015/12,0.0,170296068.0,0.0,102431161.0,0.0,0.0
290,(주)국동,5320,2016/12,0.0,197368723.0,0.0,127275873.0,0.0,0.0
