,회사명,거래소코드,회계년도,매출액(IFRS연결),유형자산(IFRS연결),매출액(IFRS개별),유형자산(IFRS개별),유형자산회전율(개별),유형자산회전율(연결)
216,(주)골드앤에스,35290,Dec-19,7642733.0,3722968.0,7642733.0,3722968.0,2.052860244836915,2.052860244836915
217,(주)골드퍼시픽,38530,Dec-11,,,11236925.0,10069863.0,1.1158965121968392,
218,(주)골드퍼시픽,38530,Dec-12,,,10491048.0,8743387.0,1.199883752143191,
219,(주)골드퍼시픽,38530,Dec-13,7167832.0,9882790.0,6488691.0,7249195.0,0.8950912480627159,0.7252842567736438
220,(주)골드퍼시픽,38530,Dec-14,16486257.0,9909463.0,4855121.0,5643164.0,0.8603544040187384,1.6636882341656656
221,(주)골드퍼시픽,38530,Dec-15,18635305.0,2580222.0,6121489.0,2580222.0,2.3724660126144186,7.222364974796743
222,(주)골드퍼시픽,38530,Dec-16,,,9588100.0,1333057.0,7.192565659232876,
223,(주)골드퍼시픽,38530,Dec-17,,,5031439.0,1297094.0,3.8790087688324824,
224,(주)골드퍼시픽,38530,Dec-18,5708281.0,94653.0,5580994.0,83408.0,66.91197487051602,60.30744931486588
225,(주)골드퍼시픽,38530,Dec-19,,,11323125.0,908909.0,12.457930331859405,
226,(주)골프존,215000,Dec-15,201560389.0,77871991.0,184085342.0,74039599.0,2.486309278903577,2.588355407530289
