,회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별),총자산순이익률(개별),총자산순이익률(연결)
204,(주)고영테크놀러지,98460,Dec-16,29723733.0,195121241.0,28063238.0,194332855.0,14.440809815715413,15.233468610421557
205,(주)고영테크놀러지,98460,Dec-17,26734105.0,205207385.0,28907302.0,205696350.0,14.053385974034056,13.027847413970994
206,(주)고영테크놀러지,98460,Dec-18,42309672.0,279059436.0,42430216.0,279985447.0,15.154436223251274,15.16152709489458
207,(주)고영테크놀러지,98460,Dec-19,29559680.0,305481184.0,34702997.0,308020011.0,11.266474826533267,9.676432313421962
208,(주)골드앤에스,35290,Dec-11,1002287.0,46677146.0,1101095.0,46347129.0,2.375756651506936,2.147275671053239
209,(주)골드앤에스,35290,Dec-12,-6467495.0,51950606.0,-6036290.0,51062616.0,-11.821348910130261,-12.449315798164125
210,(주)골드앤에스,35290,Dec-13,-16837473.0,51442505.0,-16378087.0,34508798.0,-47.460612797930544,-32.73066309659687
211,(주)골드앤에스,35290,Dec-14,-9319175.0,46528474.0,-8058617.0,28884288.0,-27.899656034450288,-20.0289719366253
212,(주)골드앤에스,35290,Dec-15,-9502547.0,24102094.0,-9396462.0,23597566.0,-39.819623769671836,-39.426229936701766
213,(주)골드앤에스,35290,Dec-16,390367.0,18671644.0,388207.0,18296141.0,2.1217971593026093,2.0906943170081864
214,(주)골드앤에스,35290,Dec-17,-7975875.0,17173934.0,-8062623.0,16994788.0,-47.441739196746674,-46.441747126779454
215,(주)골드앤에스,35290,Dec-18,-4380399.0,42472631.0,-4045846.0,42472631.0,-9.525772020103958,-10.313462803846553
216,(주)골드앤에스,35290,Dec-19,-24883278.0,16096170.0,-24883215.0,16096170.0,-154.59090578690459,-154.59129718436125
217,(주)골드퍼시픽,38530,Dec-11,,,990336.0,27473520.0,3.604692809658173,
218,(주)골드퍼시픽,38530,Dec-12,,,254546.0,29861540.0,0.8524208731364826,
219,(주)골드퍼시픽,38530,Dec-13,-9381353.0,33687572.0,-8455942.0,30517744.0,-27.708280140235793,-27.848112651158118
220,(주)골드퍼시픽,38530,Dec-14,-7390326.0,41948832.0,-7306525.0,31936409.0,-22.878354920867903,-17.617477406760692
221,(주)골드퍼시픽,38530,Dec-15,-10215946.0,28573328.0,-12525668.0,27495738.0,-45.55494382438471,-35.75343411170026
222,(주)골드퍼시픽,38530,Dec-16,,,-23433498.0,11122066.0,-210.69375060352996,
223,(주)골드퍼시픽,38530,Dec-17,,,-965087.0,26567967.0,-3.632521073215726,
