회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,,,
(주)다산네트웍스,39560,15-Dec,0.07,0.09,0.09,,,
(주)다산네트웍스,39560,16-Dec,-0.13,-2.88,-2.88,,,
(주)다산네트웍스,39560,17-Dec,0.19,0.01,0.01,,,
(주)다산네트웍스,39560,18-Dec,0.76,3.2,3.2,,,
(주)다산네트웍스,39560,19-Dec,3.85,-0.03,-0.03,,,
(주)다이나믹디자인,145210,15-Dec,5.86,2.92,2.92,,,
(주)다이나믹디자인,145210,16-Dec,-0.05,-453.35,-453.35,,,
(주)다이나믹디자인,145210,17-Dec,-0.19,-0.96,-0.96,,,
(주)다이나믹디자인,145210,18-Dec,-2.88,-4.73,-4.73,,,
(주)다이나믹디자인,145210,19-Dec,-1.02,-2.21,-2.21,,,
(주)대구백화점,6370,11-Mar,77777777.77,77777777.77,11111111.11,,,
(주)대구백화점,6370,12-Mar,77777777.77,77777777.77,11111111.11,,,
(주)대구백화점,6370,13-Mar,77777777.77,77777777.77,11111111.11,,,
(주)대구백화점,6370,14-Mar,77777777.77,77777777.77,11111111.11,,,
(주)대구백화점,6370,15-Mar,0.19,2.42,2.42,,,
(주)대구백화점,6370,16-Mar,-1.8,0.98,0.98,,,
(주)대구백화점,6370,17-Mar,-14.98,-9.26,-9.26,,,
(주)대구백화점,6370,18-Dec,-9.4,-3.05,-3.05,,,
(주)대구백화점,6370,19-Dec,-8.39,-2.12,-2.12,,,
(주)대동,490,11-Dec,1.8,2.44,2.44,,,
(주)대동,490,12-Dec,0.42,0.1,0.1,,,
(주)대동,490,13-Dec,0.86,1.04,1.04,,,
(주)대동,490,14-Dec,1.2,1.01,1.01,,,
(주)대동,490,15-Dec,-0.17,0.81,0.81,,,
(주)대동,490,16-Dec,-3.25,-1.84,-1.84,,,
(주)대동,490,17-Dec,1.16,2.22,2.22,,,
(주)대동,490,18-Dec,-0.09,0.5,0.5,,,
(주)대동,490,19-Dec,2.2,2.19,2.19,,,
(주)대동스틸,48470,11-Dec,3.04,77777777.77,3.04,,,
(주)대동스틸,48470,12-Dec,-1.39,77777777.77,-1.39,,,
(주)대동스틸,48470,13-Dec,3.27,77777777.77,3.27,,,
