,회사명,거래소코드,회계년도,배당금감소율여부
601,(주)남성,4270,Dec-16,1
602,(주)남성,4270,Dec-17,0
603,(주)남성,4270,Dec-18,0
604,(주)남성,4270,Dec-19,0
605,(주)내츄럴엔도텍,168330,Dec-12,0
606,(주)내츄럴엔도텍,168330,Dec-13,0
607,(주)내츄럴엔도텍,168330,Dec-14,0
608,(주)내츄럴엔도텍,168330,Dec-15,0
609,(주)내츄럴엔도텍,168330,Dec-16,0
610,(주)내츄럴엔도텍,168330,Dec-17,0
611,(주)내츄럴엔도텍,168330,Dec-18,0
612,(주)내츄럴엔도텍,168330,Dec-19,0
613,(주)네오리진,94860,Dec-10,0
614,(주)네오리진,94860,Dec-11,0
615,(주)네오리진,94860,Dec-12,0
616,(주)네오리진,94860,Dec-13,0
617,(주)네오리진,94860,Dec-14,0
618,(주)네오리진,94860,Dec-15,0
619,(주)네오리진,94860,Dec-16,0
620,(주)네오리진,94860,Dec-17,0
