,회사명,거래소코드,회계년도,이자보상배율,부실기업
504,대성미생물연구소,36480,Dec-14,18.57,
505,대성미생물연구소,36480,Dec-15,94.9,
506,대성미생물연구소,36480,Dec-16,141.74,
507,대성미생물연구소,36480,Dec-17,77.35,
508,대성미생물연구소,36480,Dec-18,136.12,
509,대성미생물연구소,36480,Dec-19,228.76,
510,대성엘텍,25440,Dec-11,-1.38,0.0
511,대성엘텍,25440,Dec-12,0.62,1.0
512,대성엘텍,25440,Dec-13,-0.49,0.0
513,대성엘텍,25440,Dec-14,1.98,
514,대성엘텍,25440,Dec-15,1.25,
515,대성엘텍,25440,Dec-16,2.04,
516,대성엘텍,25440,Dec-17,1.5,
517,대성엘텍,25440,Dec-18,-1.03,
518,대성엘텍,25440,Dec-19,-4.24,1.0
519,대성파인텍,104040,Dec-11,12.61,0.0
520,대성파인텍,104040,Dec-12,16.88,
521,대성파인텍,104040,Dec-13,40.85,
522,대성파인텍,104040,Dec-14,19.72,
523,대성파인텍,104040,Dec-15,18.82,
524,대성파인텍,104040,Dec-16,8.21,
525,대성파인텍,104040,Dec-17,5.57,
526,대성파인텍,104040,Dec-18,0.87,
527,대성파인텍,104040,Dec-19,0.32,1.0
528,대양금속,9190,Dec-11,-1.84,0.0
529,대양금속,9190,Dec-12,-2.2,1.0
530,대양금속,9190,Dec-13,-0.66,1.0
531,대양금속,9190,Dec-14,-1.83,1.0
532,대양금속,9190,Dec-15,-0.99,1.0
533,대양금속,9190,Dec-16,1.66,1.0
534,대양금속,9190,Dec-17,3.54,1.0
535,대양금속,9190,Dec-18,2.76,1.0
536,대양금속,9190,Dec-19,1.16,1.0
537,대우건설,47040,Dec-11,1.69,0.0
538,대우건설,47040,Dec-12,2.55,
539,대우건설,47040,Dec-13,-2.04,
540,대우건설,47040,Dec-14,3.46,
541,대우건설,47040,Dec-15,3.53,
542,대우건설,47040,Dec-16,-5.02,
543,대우건설,47040,Dec-17,4.67,
544,대우건설,47040,Dec-18,5.68,
545,대우건설,47040,Dec-19,2.77,
546,대유에이텍,2880,Dec-11,3.03,0.0
547,대유에이텍,2880,Dec-12,2.64,0.0
548,대유에이텍,2880,Dec-13,2.35,0.0
549,대유에이텍,2880,Dec-14,2.48,0.0
550,대유에이텍,2880,Dec-15,2.09,0.0
551,대유에이텍,2880,Dec-16,1.64,0.0
552,대유에이텍,2880,Dec-17,0.89,0.0
