회사명,거래소코드,회계년도,부가가치(IFRS연결),유형자산(IFRS연결),건설중인자산(IFRS연결),부가가치(IFRS개별),유형자산(IFRS개별),건설중인자산(IFRS개별)
(주)국영지앤엠,6050,13-Dec,,,,8302.22,31747733,641910
(주)국영지앤엠,6050,14-Dec,,,,7988.13,32414094,1500
(주)국영지앤엠,6050,15-Dec,,,,6630.74,31600586,0
(주)국영지앤엠,6050,16-Dec,,,,7893.21,31778265,0
(주)국영지앤엠,6050,17-Dec,,,,9692.54,31770240,0
(주)국영지앤엠,6050,18-Dec,,,,6989.65,30512052,0
(주)국영지앤엠,6050,19-Dec,,,,8084.83,31059486,0
(주)국전약품,307750,18-Dec,,,,,,
(주)국전약품,307750,19-Dec,,,,,,
(주)그래디언트,35080,11-Dec,60243.93,0,7145586,4264.28,1053189,170782
(주)그래디언트,35080,12-Dec,139063.68,0,39411,51766.97,544723,0
(주)그래디언트,35080,13-Dec,176314.61,0,41325,-3491.71,331316,0
(주)그래디언트,35080,14-Dec,208989.84,0,0,5932.51,452405,0
(주)그래디언트,35080,15-Dec,240472.76,0,2345155,20084.99,381565,0
(주)그래디언트,35080,16-Dec,151643.27,0,827375,-44434.41,340527,0
(주)그래디언트,35080,17-Dec,171482.48,0,229900,-49657.55,396437,0
(주)그래디언트,35080,18-Dec,227407.59,0,11691918,10502.87,246356,0
(주)그래디언트,35080,19-Dec,236692.21,0,20217938,6703.3,2819233,0
(주)그리티,204020,18-Dec,23409.46,0,0,19484.99,564992,0
(주)그리티,204020,19-Dec,17793.55,0,0,13191.93,2197445,0
(주)그린플러스,186230,19-Dec,14324.08,0,44273,11053.23,17300012,44273
(주)글로벌스탠다드테크놀로지,83450,11-Dec,16576.7,1831940,7935822,13825.35,12023834,7935822
(주)글로벌스탠다드테크놀로지,83450,12-Dec,25842.97,0,0,21570.05,15426808,0
