회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),재고자산(IFRS개별)
(주)골드앤에스,35290,Dec-19,7642733,3910189,498013,7642733,3910189,498013
(주)골드퍼시픽,38530,Dec-11,,,,11236925,15105931,4047225
(주)골드퍼시픽,38530,Dec-12,,,,10491048,19029706,6326625
(주)골드퍼시픽,38530,Dec-13,7167832,16708814,6434511,6488691,15961156,5930685
(주)골드퍼시픽,38530,Dec-14,16486257,23894969,7662615,4855121,15761409,3617004
(주)골드퍼시픽,38530,Dec-15,18635305,14304863,1707754,6121489,14304863,1707754
(주)골드퍼시픽,38530,Dec-16,,,,9588100,5438550,55567
(주)골드퍼시픽,38530,Dec-17,,,,5031439,17215160,545070
(주)골드퍼시픽,38530,Dec-18,5708281,23990386,1607114,5580994,22006122,807960
(주)골드퍼시픽,38530,Dec-19,,,,11323125,28455147,3548341
(주)골프존,215000,Dec-15,201560389,81295773,3108991,184085342,71290784,1816661
(주)골프존,215000,Dec-16,216964342,89781733,12659642,196864993,75788492,11069054
(주)골프존,215000,Dec-17,200105321,160591890,13130013,171859065,142686039,10223995
(주)골프존,215000,Dec-18,198705194,145265354,10498417,191571105,134088763,7999910
(주)골프존,215000,Dec-19,247018099,81730468,10880176,239051647,70491340,7433871
(주)골프존뉴딘홀딩스,121440,Dec-11,215793737,276277197,5934952,209788389,249046740,5109784
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,267312187,17945664,276341690,267719852,16416317
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,280228001,32288277,340005073,315880696,31018699
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,176744598,30575929,387066126,174950116,29629196
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,97152205,23999862,29389093,45672526,0
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,102314350,33842758,27652102,63048320,0
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,117348020,40345794,23499543,46961353,0
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,99968915,51388491,16100354,59445798,0
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,125716505,48390470,26897482,30696570,0
(주)광림,14200,Dec-11,,,,106495363,49443117,25192191
(주)광림,14200,Dec-12,,,,85322569,53533329,27920478
(주)광림,14200,Dec-13,,,,103442134,66494275,20425937
(주)광림,14200,Dec-14,231446314,149961809,76887713,92553612,53880127,23384110
(주)광림,14200,Dec-15,,,,237222890,57623469,21555582
(주)광림,14200,Dec-16,87302967,88113464,26522759,87302967,51509785,21419610
(주)광림,14200,Dec-17,135191558,78175789,21761125,99421336,255751980,16099250
(주)광림,14200,Dec-18,136595300,75325405,25240021,75493055,145430179,19113946
(주)광림,14200,Dec-19,145864184,114526470,27735699,93241157,82568345,19396901
(주)광명전기,17040,Dec-11,92382628,70952226,12871667,57967857,50517306,8759316
(주)광명전기,17040,Dec-12,117216514,80616850,16291860,79318302,59736559,13110921
(주)광명전기,17040,Dec-13,117852824,78305715,14379994,90344376,64082992,12091794
(주)광명전기,17040,Dec-14,134778387,93730239,17009058,115801471,76850052,14489868
(주)광명전기,17040,Dec-15,116316957,83058514,12979421,93000177,63045495,10678955
(주)광명전기,17040,Dec-16,96942911,72296041,9214479,96931493,62147467,8920021
(주)광명전기,17040,Dec-17,101561159,72825667,9992851,105083042,64686772,9187768
(주)광명전기,17040,Dec-18,114110654,69980314,11273625,96949804,59981263,10944185
(주)광명전기,17040,Dec-19,131864294,87126906,7915758,125009206,77171530,7733607
(주)광무,29480,Dec-11,51755052,37578091,11126987,50359203,35909129,11126987
(주)광무,29480,Dec-12,41178683,23778931,7606817,40406860,16266767,5521700
(주)광무,29480,Dec-13,20534276,14314055,5105102,10105219,7025489,249281
(주)광무,29480,Dec-14,,,,38409667,9475626,230597
(주)광무,29480,Dec-15,,,,17648493,5286509,476695
(주)광무,29480,Dec-16,,,,26429957,11893960,714172
(주)광무,29480,Dec-17,,,,21540953,14949942,188668
(주)광무,29480,Dec-18,23074941,17301470,571473,20707286,12582516,286303
(주)광무,29480,Dec-19,36483979,39307761,505706,25244176,33233586,482591
(주)광주신세계,37710,Dec-11,,,,219613514,260854658,4949450
(주)광주신세계,37710,Dec-12,,,,213803173,287723501,4638113
(주)광주신세계,37710,Dec-13,,,,206606675,25873334,4415826
(주)광주신세계,37710,Dec-14,,,,204820461,24561635,4715758
(주)광주신세계,37710,Dec-15,,,,205331892,33510638,5113086
(주)광주신세계,37710,Dec-16,,,,210423594,32426270,5458472
(주)광주신세계,37710,Dec-17,,,,209647360,33243825,5384423
(주)광주신세계,37710,Dec-18,,,,135213362,77504431,2621451
(주)광주신세계,37710,Dec-19,,,,154879496,103160925,2790527
(주)구영테크,53270,Dec-11,147832315,58842369,15288601,62527619,40821654,5432585
(주)구영테크,53270,Dec-12,155788988,66346373,18805001,65451015,48964877,7326274
(주)구영테크,53270,Dec-13,172747316,53694228,17835115,76282590,36391962,7502946
(주)구영테크,53270,Dec-14,170528694,57115595,21780928,77799749,40628726,7997698
(주)구영테크,53270,Dec-15,172083049,58836903,19812030,87109177,41055597,6701810
(주)구영테크,53270,Dec-16,148301597,54139890,19802569,75320433,39434041,7727200
(주)구영테크,53270,Dec-17,149833357,64140319,20106730,74298129,52077454,8041927
(주)구영테크,53270,Dec-18,195238339,60744298,31595113,81928926,43158029,10320023
(주)구영테크,53270,Dec-19,230853336,70165074,34405094,93132845,37519675,9542656
(주)국동,5320,Dec-11,154293577,39415062,17915375,100097439,22715717,8071551
(주)국동,5320,Dec-12,138172746,39351863,16279648,91524436,17991148,8204282
(주)국동,5320,Dec-13,147860227,48642552,22892835,95716049,24414342,10064438
