회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS),[제조]당기순이익(손실)(IFRS)
(주)골프존뉴딘홀딩스,121440,2018/12,485969871,-7527390,484480922,-7653686
(주)골프존뉴딘홀딩스,121440,2019/12,447197508,-34848135,450069457,-30341791
(주)광림,014200,2010/12,,,55002116,2168624
(주)광림,014200,2011/12,,,56677106,2583332
(주)광림,014200,2012/12,,,63502275,586385
(주)광림,014200,2013/12,,,64796802,1630750
(주)광림,014200,2014/12,128970849,-237860,66259380,1137559
(주)광림,014200,2015/12,,,80899308,9223597
(주)광림,014200,2016/12,113505965,-1896521,90221084,437352
(주)광림,014200,2017/12,107690687,-23602051,176556237,86196134
(주)광림,014200,2018/12,90075229,-28445678,120931215,-58294056
(주)광림,014200,2019/12,90772137,-14006972,60749234,-68290742
(주)광명전기,017040,2010/12,60146533,254176,52410098,-231240
(주)광명전기,017040,2011/12,62936103,-1825104,56987613,-75153
(주)광명전기,017040,2012/12,62992204,407617,55136666,-1564026
(주)광명전기,017040,2013/12,69847678,6473480,60793004,5301060
(주)광명전기,017040,2014/12,78696030,9107331,67539909,6978508
(주)광명전기,017040,2015/12,87829336,8891002,71275955,3442541
(주)광명전기,017040,2016/12,98063360,11593891,86335358,15612709
(주)광명전기,017040,2017/12,96648221,-2043260,85430878,-1349854
(주)광명전기,017040,2018/12,98748349,2718092,87989865,3182514
(주)광명전기,017040,2019/12,105398860,7118200,94186043,6470387
(주)광무,029480,2010/12,48998701,-14977960,61613923,-1612170
(주)광무,029480,2011/12,37831616,-50127229,49296267,-51537196
(주)광무,029480,2012/12,29507217,-10689029,36518143,-15113066
(주)광무,029480,2013/12,8786699,-28721377,11346800,-33154332
(주)광무,029480,2014/12,,,8505450,-859721
(주)광무,029480,2015/12,,,7744452,-2727754
(주)광무,029480,2016/12,,,8053231,95615
(주)광무,029480,2017/12,,,13552175,-3352682
(주)광무,029480,2018/12,10729216,-5120760,9695091,-4875184
(주)광무,029480,2019/12,22844122,-6421201,22202195,-6275093
(주)광주신세계,037710,2010/12,,,260459626,44346558
(주)광주신세계,037710,2011/12,,,310214632,52281979
(주)광주신세계,037710,2012/12,,,361615843,53769536
(주)광주신세계,037710,2013/12,,,408690826,48569715
(주)광주신세계,037710,2014/12,,,448624926,42236355
(주)광주신세계,037710,2015/12,,,491380796,45901413
(주)광주신세계,037710,2016/12,,,534290186,45554028
(주)광주신세계,037710,2017/12,,,579363832,47846191
(주)광주신세계,037710,2018/12,,,620656716,45093180
(주)광주신세계,037710,2019/12,,,661189861,47668959
(주)구영테크,053270,2010/12,36479261,2294905,26722489,3918238
(주)구영테크,053270,2011/12,36633264,-647883,27962532,985788
(주)구영테크,053270,2012/12,36686891,1633009,29302171,1250176
(주)구영테크,053270,2013/12,39023837,2179847,30762180,1137402
(주)구영테크,053270,2014/12,52212920,2236588,42200180,1326679
