회사명,거래소코드,회계년도,당기자본(IFRS연결),전기자본(IFRS연결),당기자본(IFRS개별),전기자본(IFRS개별)
(주)국보디자인,66620,Dec-18,108600438,108600438,103598968,103598968
(주)국보디자인,66620,Dec-19,123363884,123363884,112076012,112076012
(주)국순당,43650,Dec-11,178114387,178114387,174045265,174045265
(주)국순당,43650,Dec-12,191625826,190639443,186305726,185319343
(주)국순당,43650,Dec-13,194567775,194567775,185985822,185985822
(주)국순당,43650,Dec-14,196810690,196810690,186838479,186838479
(주)국순당,43650,Dec-15,198167277,198167277,186118215,186118215
(주)국순당,43650,Dec-16,194018641,194018641,183188543,183188543
(주)국순당,43650,Dec-17,221539252,221448638,191745752,191745752
(주)국순당,43650,Dec-18,215679919,215679919,203499644,203499644
(주)국순당,43650,Dec-19,204958649,209356780,196923842,200669742
(주)국영지앤엠,6050,Dec-11,,,32733005,32733005
(주)국영지앤엠,6050,Dec-12,,,45960267,45960267
(주)국영지앤엠,6050,Dec-13,,,46345349,46345349
(주)국영지앤엠,6050,Dec-14,,,47240880,47240880
(주)국영지앤엠,6050,Dec-15,,,48972537,48972537
(주)국영지앤엠,6050,Dec-16,,,50558041,50558041
(주)국영지앤엠,6050,Dec-17,,,52611544,52611544
(주)국영지앤엠,6050,Dec-18,,,51748308,51748308
(주)국영지앤엠,6050,Dec-19,,,52826451,52826451
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,328872047,328872047,334573662,334573662
(주)그래디언트,35080,Dec-12,396658401,734310401,411656935,411656935
(주)그래디언트,35080,Dec-13,751939530,751939530,402332194,402332194
(주)그래디언트,35080,Dec-14,900343355,900343355,420045194,420045194
(주)그래디언트,35080,Dec-15,903808796,903808796,431479123,431479123
(주)그래디언트,35080,Dec-16,840330799,840330799,389295611,389295611
(주)그래디언트,35080,Dec-17,742316982,742316982,328719925,328719925
(주)그래디언트,35080,Dec-18,714481098,714481098,325218418,325218418
(주)그래디언트,35080,Dec-19,669586510,669586510,320088192,320088192
(주)그리티,204020,Dec-18,74460588,74460588,74051025,74051025
(주)그리티,204020,Dec-19,74181103,74181103,74833748,74833748
(주)그린플러스,186230,Dec-19,37391337,37391337,36772875,36772875
(주)글로벌스탠다드테크놀로지,83450,Dec-11,27594673,27594673,26355250,26355250
(주)글로벌스탠다드테크놀로지,83450,Dec-12,36008304,36008304,33379017,33379017
