회사명,거래소코드,회계년도,매출액(IFRS연결),매출원가(IFRS연결),매출액(IFRS개별),매출원가(IFRS개별)
(주)글로벌스탠다드테크놀로지,83450,Dec-15,84422579,53943632,80102292,54830439
(주)글로벌스탠다드테크놀로지,83450,Dec-16,90819412,57475833,81859588,54772873
(주)글로벌스탠다드테크놀로지,83450,Dec-17,162835484,106768667,154761834,106969813
(주)글로벌스탠다드테크놀로지,83450,Dec-18,129850197,86354595,115619452,79909787
(주)글로벌스탠다드테크놀로지,83450,Dec-19,168231754,101887447,150777009,93911473
(주)금비,8870,Sep-11,182184368,140978607,90614774,69214079
(주)금비,8870,Sep-12,176226095,139613667,83296660,65710703
(주)금비,8870,Sep-13,175061513,140973207,82028937,65848567
(주)금비,8870,Sep-14,177506459,143669634,80715556,67226149
(주)금비,8870,Sep-15,189495056,145599764,93629076,70808420
(주)금비,8870,Sep-16,200543667,154437741,100327539,77325158
(주)금비,8870,Sep-17,185531452,142510120,80379261,59060653
(주)금비,8870,Sep-18,196995589,153041065,90793198,67372177
(주)금비,8870,Sep-19,201404468,157515543,91480486,68894781
(주)금양,1570,Dec-11,109810009,92297702,100918699,87166520
(주)금양,1570,Dec-12,122905331,102473314,108275608,93743028
(주)금양,1570,Dec-13,156304448,135822559,132045280,118655638
(주)금양,1570,Dec-14,158550531,138461108,137946044,122147399
(주)금양,1570,Dec-15,158999533,136083219,152450369,133378038
(주)금양,1570,Dec-16,168681746,137529479,161001876,140453584
(주)금양,1570,Dec-17,180373683,144907191,150809075,132987458
(주)금양,1570,Dec-18,205441375,165009911,151676398,131231107
(주)금양,1570,Dec-19,172723864,136904841,135915020,116450575
(주)금호에이치티,214330,Dec-15,203071984,171095297,181779820,151765503
(주)금호에이치티,214330,Dec-16,208574892,184573472,189733826,166274808
(주)금호에이치티,214330,Dec-17,179707629,161231384,165485490,147104514
(주)금호에이치티,214330,Dec-18,209260006,188087059,189250383,174071615
(주)금호에이치티,214330,Dec-19,251095062,236522956,221734443,209805966
(주)금화피에스시,36190,Dec-11,,,82738193,62321930
(주)금화피에스시,36190,Dec-12,,,108224285,82245906
(주)금화피에스시,36190,Dec-13,166122419,130836677,156630832,124205065
(주)금화피에스시,36190,Dec-14,189631759,155745728,166948026,137263298
(주)금화피에스시,36190,Dec-15,235969690,196313554,196919865,163287720
(주)금화피에스시,36190,Dec-16,235018376,194713192,201547339,165892111
(주)금화피에스시,36190,Dec-17,205781841,163075930,174993150,135491991
(주)금화피에스시,36190,Dec-18,233326733,182097574,202098199,155053912
(주)금화피에스시,36190,Dec-19,209435314,165793394,179177462,141596399
(주)기가레인,49080,Dec-13,94791934,74583953,94055571,75212048
(주)기가레인,49080,Dec-14,95718992,77942438,95460665,77271391
(주)기가레인,49080,Dec-15,61576391,72269409,61254807,72700909
(주)기가레인,49080,Dec-16,75445071,74497864,70397030,72502389
(주)기가레인,49080,Dec-17,100131227,82715768,89874499,75150521
(주)기가레인,49080,Dec-18,124772205,106042765,114668638,97333710
(주)기가레인,49080,Dec-19,72769411,85455615,63361399,76187720
(주)기산텔레콤,35460,Dec-11,65679195,58538412,36332290,32001840
(주)기산텔레콤,35460,Dec-12,74315907,61032255,49240507,37554587
(주)기산텔레콤,35460,Dec-13,79463728,62249172,48367030,38007753
(주)기산텔레콤,35460,Dec-14,74512326,59256394,41612762,32145798
(주)기산텔레콤,35460,Dec-15,79710503,66205739,45712905,37323138
(주)기산텔레콤,35460,Dec-16,59172319,49418392,24679656,19409331
(주)기산텔레콤,35460,Dec-17,63467585,54370843,29568090,23459863
(주)기산텔레콤,35460,Dec-18,56445716,47301809,24864346,21027572
(주)기산텔레콤,35460,Dec-19,67054955,52668790,30545683,22815941
(주)까뮤이앤씨,13700,Dec-11,,,90048208,108257108
(주)까뮤이앤씨,13700,Dec-12,,,90976586,84497586
(주)까뮤이앤씨,13700,Dec-13,,,83568532,80042482
(주)까뮤이앤씨,13700,Dec-14,,,123567918,115392871
(주)까뮤이앤씨,13700,Dec-15,,,132370311,121522768
