회사명,거래소코드,회계년도,기계장치(IFRS연결,기계장치(IFRS),합계_기말인원
(주)남성,4270,Dec-19,252401,252401,54
(주)내츄럴엔도텍,168330,Dec-13,,448718,47
(주)내츄럴엔도텍,168330,Dec-14,,4566393,79
(주)내츄럴엔도텍,168330,Dec-15,4840093,4840093,62
(주)내츄럴엔도텍,168330,Dec-16,4840093,4840093,69
(주)내츄럴엔도텍,168330,Dec-17,10192876,4861193,64
(주)내츄럴엔도텍,168330,Dec-18,12326601,4861193,68
(주)내츄럴엔도텍,168330,Dec-19,12903285,5308851,75
(주)네오리진,94860,Dec-11,2317909,0,70
(주)네오리진,94860,Dec-12,,0,140
(주)네오리진,94860,Dec-13,,0,130
(주)네오리진,94860,Dec-14,,0,127
(주)네오리진,94860,Dec-15,,0,60
(주)네오리진,94860,Dec-16,,0,55
(주)네오리진,94860,Dec-17,0,0,49
(주)네오리진,94860,Dec-18,,0,43
(주)네오리진,94860,Dec-19,,0,43
(주)네오셈,253590,Dec-18,,,1
(주)네오셈,253590,Dec-19,1048618,1048618,81
(주)네오오토,212560,Dec-15,,81096864,98
(주)네오오토,212560,Dec-16,,110558469,95
(주)네오오토,212560,Dec-17,,115895210,106
(주)네오오토,212560,Dec-18,,127749513,104
(주)네오오토,212560,Dec-19,,140197636,109
(주)네오위즈,95660,Dec-11,27889085,27822833,1204
