회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별)
(주)국보디자인,66620,Dec-13,163518536,10948837,153216189,10948837
(주)국보디자인,66620,Dec-14,176373907,4357661,158268803,4357661
(주)국보디자인,66620,Dec-15,192608497,2505760,157657615,2505760
(주)국보디자인,66620,Dec-16,201410031,1008344,191620729,1008344
(주)국보디자인,66620,Dec-17,270658405,336512,262522024,336512
(주)국보디자인,66620,Dec-18,254259835,1240757,231093439,1240757
(주)국보디자인,66620,Dec-19,269005976,3197728,237054909,3197728
(주)국순당,43650,Dec-11,127686247,11259940,124279594,10758156
(주)국순당,43650,Dec-12,118697826,12103876,115146725,11709351
(주)국순당,43650,Dec-13,99173525,10237392,96140591,9745976
(주)국순당,43650,Dec-14,91863604,12103487,89173752,11747154
(주)국순당,43650,Dec-15,77443124,12254148,74955341,11837690
(주)국순당,43650,Dec-16,69701266,9355940,68425801,8998950
(주)국순당,43650,Dec-17,62761236,9202188,60087461,8718979
(주)국순당,43650,Dec-18,61496072,7610480,52679104,7753428
(주)국순당,43650,Dec-19,102095769,13311068,48045002,8116959
(주)국영지앤엠,6050,Dec-11,,,42569848,2199759
(주)국영지앤엠,6050,Dec-12,,,43781593,1021751
(주)국영지앤엠,6050,Dec-13,,,55789778,1677868
(주)국영지앤엠,6050,Dec-14,,,51491847,1504995
(주)국영지앤엠,6050,Dec-15,,,40107647,2910822
(주)국영지앤엠,6050,Dec-16,,,51456556,2513999
(주)국영지앤엠,6050,Dec-17,,,62861661,5466371
(주)국영지앤엠,6050,Dec-18,,,56301480,2507793
(주)국영지앤엠,6050,Dec-19,,,73013468,2689400
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,428571939,35816042,9501248,949789
(주)그래디언트,35080,Dec-12,454225001,42397042,11150621,750508
(주)그래디언트,35080,Dec-13,2930521926,682820611,7939840,389185
(주)그래디언트,35080,Dec-14,3135027346,721609329,7753595,337506
(주)그래디언트,35080,Dec-15,3536848758,892479656,12870821,360082
(주)그래디언트,35080,Dec-16,3845761388,897408716,16516754,0
(주)그래디언트,35080,Dec-17,3541486629,520261385,12485184,0
(주)그래디언트,35080,Dec-18,3440906300,482837598,12237889,0
(주)그래디언트,35080,Dec-19,3412333826,506115950,8719700,0
(주)그리티,204020,Dec-18,119259702,6243334,117056356,3884141
(주)그리티,204020,Dec-19,123079831,9553395,120984485,6191460
(주)그린플러스,186230,Dec-19,48831866,13124792,39502728,16180874
(주)글로벌스탠다드테크놀로지,83450,Dec-11,41504144,7914176,40662578,7891933
(주)글로벌스탠다드테크놀로지,83450,Dec-12,64812103,4566298,62774905,4315263
(주)글로벌스탠다드테크놀로지,83450,Dec-13,80982977,8982959,78917554,8717936
(주)글로벌스탠다드테크놀로지,83450,Dec-14,89122994,10622259,85992839,10772064
(주)글로벌스탠다드테크놀로지,83450,Dec-15,84422579,8368084,80102292,8333640
(주)글로벌스탠다드테크놀로지,83450,Dec-16,90819412,16275133,81859588,16435990
(주)글로벌스탠다드테크놀로지,83450,Dec-17,162835484,12622732,154761834,14151732
(주)글로벌스탠다드테크놀로지,83450,Dec-18,129850197,21398470,115619452,20750344
(주)글로벌스탠다드테크놀로지,83450,Dec-19,168231754,34548232,150777009,36562614
(주)금양,1570,Dec-11,109810009,29394534,100918699,24644593
(주)금양,1570,Dec-12,122905331,26504403,108275608,22076810
(주)금양,1570,Dec-13,156304448,45739558,132045280,38267028
(주)금양,1570,Dec-14,158550531,37155626,137946044,32568301
(주)금양,1570,Dec-15,158999533,39206129,152450369,40269651
(주)금양,1570,Dec-16,168681746,41772849,161001876,44092989
(주)금양,1570,Dec-17,180373683,49503298,150809075,38833602
(주)금양,1570,Dec-18,205441375,45140456,151676398,30216514
(주)금양,1570,Dec-19,172723864,48194329,135915020,32847352
(주)금호에이치티,214330,Dec-15,203071984,52692171,181779820,56548252
(주)금호에이치티,214330,Dec-16,208574892,50961349,189733826,65821567
(주)금호에이치티,214330,Dec-17,179707629,0,165485490,60899166
(주)금호에이치티,214330,Dec-18,209260006,53028482,189250383,62547578
(주)금호에이치티,214330,Dec-19,251095062,58063571,221734443,61662574
(주)금화피에스시,36190,Dec-11,,,82738193,9113225
(주)금화피에스시,36190,Dec-12,,,108224285,7999729
(주)금화피에스시,36190,Dec-13,166122419,28066894,156630832,25806922
(주)금화피에스시,36190,Dec-14,189631759,37419481,166948026,33145050
(주)금화피에스시,36190,Dec-15,235969690,48002480,196919865,43283618
(주)금화피에스시,36190,Dec-16,235018376,46851396,201547339,42010074
(주)금화피에스시,36190,Dec-17,205781841,24854964,174993150,21773380
(주)금화피에스시,36190,Dec-18,233326733,23260207,202098199,19585043
(주)금화피에스시,36190,Dec-19,209435314,24935013,179177462,19981034
(주)기가레인,49080,Dec-13,94791934,18300210,94055571,17997491
(주)기가레인,49080,Dec-14,95718992,9679752,95460665,9852914
(주)기가레인,49080,Dec-15,61576391,15742686,61254807,15856396
(주)기가레인,49080,Dec-16,75445071,16957317,70397030,18790894
(주)기가레인,49080,Dec-17,100131227,15728147,89874499,15486228
(주)기가레인,49080,Dec-18,124772205,40616751,114668638,40544167
(주)기가레인,49080,Dec-19,72769411,22633745,63361399,25816185
(주)기산텔레콤,35460,Dec-11,65679195,17138518,36332290,9504067
(주)기산텔레콤,35460,Dec-12,74315907,13177653,49240507,7206650
(주)기산텔레콤,35460,Dec-13,79463728,34251345,48367030,22783909
(주)기산텔레콤,35460,Dec-14,74512326,24687607,41612762,13473931
(주)기산텔레콤,35460,Dec-15,79710503,22503622,45712905,10691440
(주)기산텔레콤,35460,Dec-16,59172319,25717268,24679656,8942303
(주)기산텔레콤,35460,Dec-17,63467585,16918592,29568090,1842663
(주)기산텔레콤,35460,Dec-18,56445716,13639826,24864346,2412416
(주)기산텔레콤,35460,Dec-19,67054955,11128178,30545683,936740
(주)까뮤이앤씨,13700,Dec-11,,,90048208,14443866
(주)까뮤이앤씨,13700,Dec-12,,,90976586,2516598
(주)까뮤이앤씨,13700,Dec-13,,,83568532,3334035
(주)까뮤이앤씨,13700,Dec-14,,,123567918,541476
(주)까뮤이앤씨,13700,Dec-15,,,132370311,1317982
(주)까뮤이앤씨,13700,Dec-16,,,139708060,811635
(주)까뮤이앤씨,13700,Dec-17,,,172176860,5104110
(주)까뮤이앤씨,13700,Dec-18,,,116296828,70706
(주)까뮤이앤씨,13700,Dec-19,,,283420655,2863669
(주)까스텔바작,308100,Dec-19,81358617,4200921,81068234,4096242
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,29901810,22458935,14881694,5320374
(주)나노,187790,Dec-16,48175171,14369863,18480121,4604851
(주)나노,187790,Dec-17,73089292,13866363,29944292,7887405
(주)나노,187790,Dec-18,81942719,13702731,34238747,3942916
(주)나노,187790,Dec-19,73694955,13618852,38421023,5259821
