회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(IFRS연결),매출액(IFRS연결),영업활동으로 인한 현금흐름(IFRS개별),매출액(IFRS개별)
(주)그래디언트,35080,Dec-18,89690570,3440906300,5564172,12237889
(주)그래디언트,35080,Dec-19,136435672,3412333826,5968487,8719700
(주)그리티,204020,Dec-18,5431995,119259702,6716028,117056356
(주)그리티,204020,Dec-19,-1686901,123079831,-1030107,120984485
(주)그린플러스,186230,Dec-19,-2089558,48831866,-574078,39502728
(주)글로벌스탠다드테크놀로지,83450,Dec-11,4492432,41504144,3441305,40662578
(주)글로벌스탠다드테크놀로지,83450,Dec-12,4001355,64812103,2653228,62774905
(주)글로벌스탠다드테크놀로지,83450,Dec-13,1561871,80982977,1808359,78917554
(주)글로벌스탠다드테크놀로지,83450,Dec-14,12091380,89122994,9680397,85992839
(주)글로벌스탠다드테크놀로지,83450,Dec-15,6748971,84422579,5202229,80102292
(주)글로벌스탠다드테크놀로지,83450,Dec-16,158727,90819412,-449319,81859588
(주)글로벌스탠다드테크놀로지,83450,Dec-17,17990434,162835484,15891168,154761834
(주)글로벌스탠다드테크놀로지,83450,Dec-18,2345516,129850197,5219548,115619452
(주)글로벌스탠다드테크놀로지,83450,Dec-19,19307761,168231754,15029673,150777009
(주)금비,8870,Sep-11,12321864,182184368,3797084,90614774
(주)금비,8870,Sep-12,7352357,176226095,130614,83296660
(주)금비,8870,Sep-13,13722575,175061513,4278839,82028937
(주)금비,8870,Sep-14,20828874,177506459,7112570,80715556
(주)금비,8870,Sep-15,22566968,189495056,8190642,93629076
(주)금비,8870,Sep-16,20642754,200543667,6739915,100327539
(주)금비,8870,Sep-17,18531193,185531452,8977361,80379261
(주)금비,8870,Sep-18,17119182,196995589,7260805,90793198
(주)금비,8870,Sep-19,25156424,201404468,8170826,91480486
(주)금양,1570,Dec-11,-688415,109810009,1114958,100918699
(주)금양,1570,Dec-12,3603001,122905331,3020423,108275608
(주)금양,1570,Dec-13,-16906920,156304448,-16431019,132045280
(주)금양,1570,Dec-14,34150831,158550531,20006548,137946044
(주)금양,1570,Dec-15,7307038,158999533,5231896,152450369
(주)금양,1570,Dec-16,8032406,168681746,1940653,161001876
(주)금양,1570,Dec-17,-22124138,180373683,11500511,150809075
(주)금양,1570,Dec-18,17366463,205441375,-528376,151676398
(주)금양,1570,Dec-19,-599179,172723864,-8115181,135915020
(주)금호에이치티,214330,Dec-15,9868864,203071984,9740384,181779820
(주)금호에이치티,214330,Dec-16,23467650,208574892,18418054,189733826
(주)금호에이치티,214330,Dec-17,14172411,179707629,7280265,165485490
(주)금호에이치티,214330,Dec-18,1469654,209260006,18944987,189250383
(주)금호에이치티,214330,Dec-19,7214831,251095062,12110982,221734443
(주)금화피에스시,36190,Dec-11,,,15831663,82738193
(주)금화피에스시,36190,Dec-12,,,11267897,108224285
(주)금화피에스시,36190,Dec-13,9648006,166122419,9217849,156630832
(주)금화피에스시,36190,Dec-14,9016891,189631759,8104237,166948026
(주)금화피에스시,36190,Dec-15,24673698,235969690,23799509,196919865
(주)금화피에스시,36190,Dec-16,32246922,235018376,30403300,201547339
(주)금화피에스시,36190,Dec-17,46527259,205781841,45454658,174993150
(주)금화피에스시,36190,Dec-18,22300740,233326733,21110484,202098199
(주)금화피에스시,36190,Dec-19,22975767,209435314,15347622,179177462
(주)기가레인,49080,Dec-13,9920029,94791934,10891326,94055571
(주)기가레인,49080,Dec-14,13827169,95718992,14426620,95460665
