회사명,거래소코드,회계년도,부가가치(IFRS연결),매출액(IFRS연결),부가가치(IFRS개별),매출액(IFRS개별)
(주)금호에이치티,214330,Dec-15,52220.95,203071984,49719.42,181779820
(주)금호에이치티,214330,Dec-16,49989.96,208574892,49039.75,189733826
(주)금호에이치티,214330,Dec-17,40550.16,179707629,36109.34,165485490
(주)금호에이치티,214330,Dec-18,46654.92,209260006,40132.59,189250383
(주)금호에이치티,214330,Dec-19,52694.04,251095062,46919.36,221734443
(주)금화피에스시,36190,Dec-11,,,56699.04,82738193
(주)금화피에스시,36190,Dec-12,,,71820.4,108224285
(주)금화피에스시,36190,Dec-13,109187.93,166122419,103050.93,156630832
(주)금화피에스시,36190,Dec-14,129346.5,189631759,118494.36,166948026
(주)금화피에스시,36190,Dec-15,153610.82,235969690,139901.15,196919865
(주)금화피에스시,36190,Dec-16,136417.9,235018376,124732.48,201547339
(주)금화피에스시,36190,Dec-17,111545.94,205781841,104432.29,174993150
(주)금화피에스시,36190,Dec-18,139046.25,233326733,128613.82,202098199
(주)금화피에스시,36190,Dec-19,131501.4,209435314,119696.01,179177462
(주)기가레인,49080,Dec-13,29926.66,94791934,28602.39,94055571
(주)기가레인,49080,Dec-14,28620.93,95718992,28723.92,95460665
(주)기가레인,49080,Dec-15,9658.87,61576391,3920.45,61254807
(주)기가레인,49080,Dec-16,18559.19,75445071,12222.47,70397030
(주)기가레인,49080,Dec-17,23651.93,100131227,18089.11,89874499
(주)기가레인,49080,Dec-18,15054.46,124772205,8609.69,114668638
(주)기가레인,49080,Dec-19,-16789.54,72769411,-22025.06,63361399
(주)기산텔레콤,35460,Dec-11,-3910.82,65679195,-4380.27,36332290
(주)기산텔레콤,35460,Dec-12,11594.7,74315907,5107.64,49240507
(주)기산텔레콤,35460,Dec-13,15427.01,79463728,5008.37,48367030
