회사명,거래소코드,회계년도,매출액(IFRS연결),자산(IFRS연결),매출액(IFRS개별),자산(IFRS개별)
(주)광주신세계,37710,Dec-19,,,154879496,752423111
(주)구영테크,53270,Dec-11,147832315,149471330,62527619,94940916
(주)구영테크,53270,Dec-12,155788988,161163024,65451015,109440531
(주)구영테크,53270,Dec-13,172747316,149230187,76282590,97549406
(주)구영테크,53270,Dec-14,170528694,155857242,77799749,101546298
(주)구영테크,53270,Dec-15,172083049,161330950,87109177,102761141
(주)구영테크,53270,Dec-16,148301597,166748490,75320433,108895002
(주)구영테크,53270,Dec-17,149833357,187009683,74298129,139584386
(주)구영테크,53270,Dec-18,195238339,202572970,81928926,146492374
(주)구영테크,53270,Dec-19,230853336,206569873,93132845,141034767
(주)국동,5320,Dec-11,154293577,68162305,100097439,42291817
(주)국동,5320,Dec-12,138172746,65808287,91524436,35813125
(주)국동,5320,Dec-13,147860227,73040609,95716049,40194919
(주)국동,5320,Dec-14,186086561,89271398,117861978,53392996
(주)국동,5320,Dec-15,170296068,93758552,102431161,66242141
(주)국동,5320,Dec-16,197368723,124126720,127275873,86116813
(주)국동,5320,Dec-17,191602989,106307080,130016453,75154254
(주)국동,5320,Dec-18,219550054,123134702,136811631,80727956
(주)국동,5320,Dec-19,223077183,133723726,116180044,96856085
(주)국보,1140,Dec-11,130636214,98869465,118304924,97415381
(주)국보,1140,Dec-12,122343037,98494841,109183947,93953021
(주)국보,1140,Dec-13,117073443,98315386,108994114,94915572
(주)국보,1140,Dec-14,97520169,91005502,89859741,87597909
(주)국보,1140,Dec-15,91618545,83085438,85267457,80158667
(주)국보,1140,Dec-16,87333326,81308887,77773715,77487791
(주)국보,1140,Dec-17,78255522,73270170,74662255,69819240
(주)국보,1140,Dec-18,71549828,48188113,66929948,45599283
(주)국보,1140,Dec-19,89087334,115356448,58296078,57467353
(주)국보디자인,66620,Dec-11,130689686,80200900,123203000,79203327
(주)국보디자인,66620,Dec-12,119402993,92877548,118458574,92873298
(주)국보디자인,66620,Dec-13,163518536,127902185,153216189,121964092
(주)국보디자인,66620,Dec-14,176373907,132011877,158268803,125685773
(주)국보디자인,66620,Dec-15,192608497,141089858,157657615,129037954
(주)국보디자인,66620,Dec-16,201410031,158452485,191620729,150830570
(주)국보디자인,66620,Dec-17,270658405,164381715,262522024,158317679
(주)국보디자인,66620,Dec-18,254259835,175036784,231093439,161750972
(주)국보디자인,66620,Dec-19,269005976,222514980,237054909,197762410
(주)국순당,43650,Dec-11,127686247,199135153,124279594,193849294
(주)국순당,43650,Dec-12,118697826,209729554,115146725,203489729
(주)국순당,43650,Dec-13,99173525,218115221,96140591,203199593
(주)국순당,43650,Dec-14,91863604,217479839,89173752,205782935
(주)국순당,43650,Dec-15,77443124,216587928,74955341,203528460
(주)국순당,43650,Dec-16,69701266,213004831,68425801,200077411
(주)국순당,43650,Dec-17,62761236,242199755,60087461,208832133
(주)국순당,43650,Dec-18,61496072,238619493,52679104,221229658
(주)국순당,43650,Dec-19,102095769,252484287,48045002,210006510
(주)국영지앤엠,6050,Dec-11,,,42569848,61022765
(주)국영지앤엠,6050,Dec-12,,,43781593,60197670
(주)국영지앤엠,6050,Dec-13,,,55789778,63108054
(주)국영지앤엠,6050,Dec-14,,,51491847,58995756
(주)국영지앤엠,6050,Dec-15,,,40107647,63713392
(주)국영지앤엠,6050,Dec-16,,,51456556,65670915
(주)국영지앤엠,6050,Dec-17,,,62861661,66101002
(주)국영지앤엠,6050,Dec-18,,,56301480,60335138
(주)국영지앤엠,6050,Dec-19,,,73013468,68657302
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,428571939,777653618,9501248,521750143
(주)그래디언트,35080,Dec-12,454225001,739985481,11150621,482181596
(주)그래디언트,35080,Dec-13,2930521926,1598503940,7939840,473264178
(주)그래디언트,35080,Dec-14,3135027346,1920350951,7753595,455860309
(주)그래디언트,35080,Dec-15,3536848758,2106702049,12870821,475792856
(주)그래디언트,35080,Dec-16,3845761388,2073537018,16516754,404583242
(주)그래디언트,35080,Dec-17,3541486629,1804533355,12485184,344022749
(주)그래디언트,35080,Dec-18,3440906300,1809664488,12237889,339457297
(주)그래디언트,35080,Dec-19,3412333826,1780051911,8719700,336145750
(주)그리티,204020,Dec-18,119259702,95755030,117056356,86557287
(주)그리티,204020,Dec-19,123079831,92151596,120984485,86803901
(주)그린플러스,186230,Dec-19,48831866,72321985,39502728,56587945
(주)글로벌스탠다드테크놀로지,83450,Dec-11,41504144,52575255,40662578,49714791
(주)글로벌스탠다드테크놀로지,83450,Dec-12,64812103,53824618,62774905,49050552
(주)글로벌스탠다드테크놀로지,83450,Dec-13,80982977,62626777,78917554,57053266
(주)글로벌스탠다드테크놀로지,83450,Dec-14,89122994,69972237,85992839,63317853
(주)글로벌스탠다드테크놀로지,83450,Dec-15,84422579,69691968,80102292,60770711
(주)글로벌스탠다드테크놀로지,83450,Dec-16,90819412,89405841,81859588,78440684
(주)글로벌스탠다드테크놀로지,83450,Dec-17,162835484,102400669,154761834,88966307
(주)글로벌스탠다드테크놀로지,83450,Dec-18,129850197,105027408,115619452,87524011
(주)글로벌스탠다드테크놀로지,83450,Dec-19,168231754,136751562,150777009,120984040
(주)금양,1570,Dec-11,109810009,130817841,100918699,124086392
(주)금양,1570,Dec-12,122905331,127557393,108275608,127197484
(주)금양,1570,Dec-13,156304448,147115126,132045280,142485295
(주)금양,1570,Dec-14,158550531,160244911,137946044,145135554
(주)금양,1570,Dec-15,158999533,165405931,152450369,157467543
(주)금양,1570,Dec-16,168681746,178901902,161001876,174953809
(주)금양,1570,Dec-17,180373683,196084032,150809075,167120998
(주)금양,1570,Dec-18,205441375,204777156,151676398,155507052
(주)금양,1570,Dec-19,172723864,224222540,135915020,171931897
(주)금호에이치티,214330,Dec-15,203071984,123875646,181779820,109367040
(주)금호에이치티,214330,Dec-16,208574892,156606980,189733826,151786975
(주)금호에이치티,214330,Dec-17,179707629,150164495,165485490,146407321
(주)금호에이치티,214330,Dec-18,209260006,238380056,189250383,230268876
(주)금호에이치티,214330,Dec-19,251095062,322078193,221734443,314666069
(주)금화피에스시,36190,Dec-11,,,82738193,94174014
(주)금화피에스시,36190,Dec-12,,,108224285,105483370
(주)금화피에스시,36190,Dec-13,166122419,142932108,156630832,135180701
(주)금화피에스시,36190,Dec-14,189631759,158057524,166948026,146360964
(주)금화피에스시,36190,Dec-15,235969690,189001800,196919865,175086217
(주)금화피에스시,36190,Dec-16,235018376,215036137,201547339,197557790
(주)금화피에스시,36190,Dec-17,205781841,231639148,174993150,216252318
(주)금화피에스시,36190,Dec-18,233326733,262516457,202098199,242310750
(주)금화피에스시,36190,Dec-19,209435314,281692946,179177462,255149491
(주)기가레인,49080,Dec-13,94791934,122523850,94055571,122926340
(주)기가레인,49080,Dec-14,95718992,131923500,95460665,133237615
(주)기가레인,49080,Dec-15,61576391,151757532,61254807,148551434
(주)기가레인,49080,Dec-16,75445071,155732003,70397030,152639799
(주)기가레인,49080,Dec-17,100131227,181628353,89874499,179756049
(주)기가레인,49080,Dec-18,124772205,179113947,114668638,176296022
(주)기가레인,49080,Dec-19,72769411,117798198,63361399,115539385
(주)기산텔레콤,35460,Dec-11,65679195,86259438,36332290,59416681
(주)기산텔레콤,35460,Dec-12,74315907,73234520,49240507,46588431
