회사명,거래소코드,회계년도,당기순이익(IFRS연결),당기자본(IFRS연결),전기자본(IFRS연결),당기순이익(IFRS개별),당기자본(IFRS개별),전기자본(IFRS개별)
(주)국순당,43650,Dec-11,5264054,178114387,178114387,5640710,174045265,174045265
(주)국순당,43650,Dec-12,6185532,191625826,190639443,5122888,186305726,185319343
(주)국순당,43650,Dec-13,5742772,194567775,194567775,2346882,185985822,185985822
(주)국순당,43650,Dec-14,3463226,196810690,196810690,1997559,186838479,186838479
(주)국순당,43650,Dec-15,-3529405,198167277,198167277,-4854598,186118215,186118215
(주)국순당,43650,Dec-16,-2760688,194018641,194018641,-2212642,183188543,183188543
(주)국순당,43650,Dec-17,9687855,221539252,221448638,9847390,191745752,191745752
(주)국순당,43650,Dec-18,-2977369,215679919,215679919,15171022,203499644,203499644
(주)국순당,43650,Dec-19,-8269903,204958649,209356780,571892,196923842,200669742
(주)국영지앤엠,6050,Dec-11,,,,-1752706,32733005,32733005
(주)국영지앤엠,6050,Dec-12,,,,4832440,45960267,45960267
(주)국영지앤엠,6050,Dec-13,,,,953338,46345349,46345349
(주)국영지앤엠,6050,Dec-14,,,,395531,47240880,47240880
