회사명,거래소코드,회계년도,이자비용(IFRS연결),장기차입금(IFRS연결),단기차입금(IFRS연결),회사채(IFRS연결),이자비용(IFRS개별),장기차입금(IFRS개별),단기차입금(IFRS개별),회사채(IFRS개별)
(주)국전약품,307750,Dec-18,,,,,,,,
(주)국전약품,307750,Dec-19,,,,,,,,
(주)그래디언트,35080,Dec-11,0,99000000,112373992,0,0,66000000,85000000,0
(주)그래디언트,35080,Dec-12,0,64400000,60949255,0,0,23100000,17100000,0
(주)그래디언트,35080,Dec-13,0,49257653,62165153,0,0,9900000,30900000,0
(주)그래디언트,35080,Dec-14,0,36809009,18476848,0,0,0,7500000,0
(주)그래디언트,35080,Dec-15,0,33800000,30930103,0,0,0,16363425,0
(주)그래디언트,35080,Dec-16,0,3250000,21030359,0,0,0,10350523,0
(주)그래디언트,35080,Dec-17,0,2250000,56006779,0,0,0,9748094,0
(주)그래디언트,35080,Dec-18,0,528894,68304203,0,0,0,9221930,0
(주)그래디언트,35080,Dec-19,0,905454,63017377,0,0,0,11037377,0
(주)그리티,204020,Dec-18,0,0,6339881,0,0,0,0,0
(주)그리티,204020,Dec-19,0,0,1441926,0,0,0,0,0
(주)그린플러스,186230,Dec-19,0,13705000,8533305,0,0,4705000,5321224,0
(주)글로벌스탠다드테크놀로지,83450,Dec-11,0,416665,2700000,0,0,0,2500000,0
(주)글로벌스탠다드테크놀로지,83450,Dec-12,0,249999,2700000,0,0,0,2500000,0
(주)글로벌스탠다드테크놀로지,83450,Dec-13,0,1583333,2700000,0,0,0,2500000,0
(주)글로벌스탠다드테크놀로지,83450,Dec-14,0,1200000,2500000,0,0,0,2500000,0
(주)글로벌스탠다드테크놀로지,83450,Dec-15,0,1200000,2500000,0,0,0,2500000,0
