회사명,거래소코드,회계년도,자본(IFRS연결),자산(IFRS연결),자본(IFRS개별),자산(IFRS개별)
(주)기산텔레콤,35460,Dec-11,33888631,86259438,32479105,59416681
(주)기산텔레콤,35460,Dec-12,31516647,73234520,33918079,46588431
(주)기산텔레콤,35460,Dec-13,36517480,78811114,36087855,57254925
(주)기산텔레콤,35460,Dec-14,38506780,78052777,36429569,54284156
(주)기산텔레콤,35460,Dec-15,42259485,76012528,38723216,53901387
(주)기산텔레콤,35460,Dec-16,39870843,74209973,37420205,47117435
(주)기산텔레콤,35460,Dec-17,34992274,70137339,35438291,44554117
(주)기산텔레콤,35460,Dec-18,31640999,56180491,29246000,34219394
(주)기산텔레콤,35460,Dec-19,34690964,66789756,31379895,40025881
(주)까뮤이앤씨,13700,Dec-11,,,46083061,248885092
(주)까뮤이앤씨,13700,Dec-12,,,40763024,203481478
(주)까뮤이앤씨,13700,Dec-13,,,33715699,167635146
(주)까뮤이앤씨,13700,Dec-14,,,35697347,129647729
(주)까뮤이앤씨,13700,Dec-15,,,45786128,129465385
(주)까뮤이앤씨,13700,Dec-16,,,51113063,142978398
(주)까뮤이앤씨,13700,Dec-17,,,59106121,139937930
(주)까뮤이앤씨,13700,Dec-18,,,59562903,142240175
(주)까뮤이앤씨,13700,Dec-19,,,70932062,168876167
(주)까스텔바작,308100,Dec-19,76678226,89005071,77312548,88614189
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,42659926,99495652,31847169,72593232
(주)나노,187790,Dec-16,34319308,83440884,27068246,57351009
(주)나노,187790,Dec-17,44902238,91574665,37017160,59149648
