회사명,거래소코드,회계년도,유동부채(IFRS연결),부채(IFRS연결),유동부채(IFRS개별),부채(IFRS개별)
(주)기가레인,49080,Dec-16,71210116,98134514,68624696,95576680
(주)기가레인,49080,Dec-17,77579452,92959232,75490417,90732165
(주)기가레인,49080,Dec-18,80323500,110553832,79426309,109417741
(주)기가레인,49080,Dec-19,62344306,89733582,62074744,87651745
(주)기산텔레콤,35460,Dec-11,42276066,52370807,23188759,26937576
(주)기산텔레콤,35460,Dec-12,36476208,41717873,10369400,12670352
(주)기산텔레콤,35460,Dec-13,35626324,42293634,19491363,21167070
(주)기산텔레콤,35460,Dec-14,33854674,39545997,15059287,17854587
(주)기산텔레콤,35460,Dec-15,25981076,33753043,12698167,15178171
(주)기산텔레콤,35460,Dec-16,30567279,34339130,8843745,9697230
(주)기산텔레콤,35460,Dec-17,25198661,35145065,6983519,9115826
(주)기산텔레콤,35460,Dec-18,20046567,24539492,4028228,4973394
(주)기산텔레콤,35460,Dec-19,22745330,32098792,6669939,8645985
(주)까뮤이앤씨,13700,Dec-11,,,183133830,202802031
(주)까뮤이앤씨,13700,Dec-12,,,127125606,162718454
(주)까뮤이앤씨,13700,Dec-13,,,117022705,133919447
(주)까뮤이앤씨,13700,Dec-14,,,82444941,93950382
(주)까뮤이앤씨,13700,Dec-15,,,62671855,83679257
(주)까뮤이앤씨,13700,Dec-16,,,80617080,91865334
(주)까뮤이앤씨,13700,Dec-17,,,69694223,80831808
