회사명,거래소코드,회계년도,재고자산(IFRS연결),유동자산(IFRS연결),재고자산(IFRS개별),유동자산(IFRS개별)
(주)국보디자인,66620,Dec-15,0,107093318,0,96703601
(주)국보디자인,66620,Dec-16,0,128985094,0,118586463
(주)국보디자인,66620,Dec-17,0,135628503,0,127549210
(주)국보디자인,66620,Dec-18,0,142346121,0,127871195
(주)국보디자인,66620,Dec-19,0,194818591,0,169956490
(주)국순당,43650,Dec-11,16285781,82405755,15071855,77580053
(주)국순당,43650,Dec-12,16139074,87400525,14906288,81287902
(주)국순당,43650,Dec-13,16182543,100545624,13577007,84404848
(주)국순당,43650,Dec-14,15332903,99291581,11886783,86268346
(주)국순당,43650,Dec-15,14869710,97221146,11788376,82905503
(주)국순당,43650,Dec-16,14890028,85261001,10940127,71906088
(주)국순당,43650,Dec-17,14274110,86651908,10134104,75544356
(주)국순당,43650,Dec-18,14888891,72906719,10860632,62941465
(주)국순당,43650,Dec-19,16017909,78834555,10459069,60930981
(주)국영지앤엠,6050,Dec-11,,,1498155,25252313
(주)국영지앤엠,6050,Dec-12,,,1588558,21149484
(주)국영지앤엠,6050,Dec-13,,,1582228,25059260
(주)국영지앤엠,6050,Dec-14,,,1796351,22615829
(주)국영지앤엠,6050,Dec-15,,,1330780,27918404
(주)국영지앤엠,6050,Dec-16,,,4059203,29575531
(주)국영지앤엠,6050,Dec-17,,,3195981,29995395
(주)국영지앤엠,6050,Dec-18,,,2641685,25138635
(주)국영지앤엠,6050,Dec-19,,,2586636,32068324
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,40547172,278334197,0,24034151
(주)그래디언트,35080,Dec-12,34742521,240486033,0,14309378
(주)그래디언트,35080,Dec-13,68307862,979087606,0,1714561
(주)그래디언트,35080,Dec-14,80245551,1142871354,0,3742011
(주)그래디언트,35080,Dec-15,138382962,1337838696,0,949479
(주)그래디언트,35080,Dec-16,117903146,1415600914,0,395047
(주)그래디언트,35080,Dec-17,137969792,1229878565,0,3201309
(주)그래디언트,35080,Dec-18,166911756,1261972833,0,2674301
(주)그래디언트,35080,Dec-19,85519268,1206801338,0,208003
(주)그리티,204020,Dec-18,40441857,89112620,30715245,75670982
(주)그리티,204020,Dec-19,42201748,82603832,32650635,68611692
(주)그린플러스,186230,Dec-19,6019316,38480019,5842839,28574671
(주)글로벌스탠다드테크놀로지,83450,Dec-11,14561368,33914648,13226235,31754029
(주)글로벌스탠다드테크놀로지,83450,Dec-12,17354428,31615500,15560311,27371107
(주)글로벌스탠다드테크놀로지,83450,Dec-13,17043649,37636405,15483578,34350069
(주)글로벌스탠다드테크놀로지,83450,Dec-14,13254999,42966221,11786134,38669764
(주)글로벌스탠다드테크놀로지,83450,Dec-15,9698920,35391249,8283238,30726947
(주)글로벌스탠다드테크놀로지,83450,Dec-16,23047266,53825575,19337480,46676903
(주)글로벌스탠다드테크놀로지,83450,Dec-17,22852794,57916418,17981798,46766708
(주)글로벌스탠다드테크놀로지,83450,Dec-18,18514976,54651818,11906377,41265448
(주)글로벌스탠다드테크놀로지,83450,Dec-19,21844307,88978443,17832463,78199372
(주)금비,8870,Sep-11,17161712,65598563,8615791,31090507
(주)금비,8870,Sep-12,17526440,69601347,8411396,27896984
(주)금비,8870,Sep-13,18026426,62071037,9421859,25680687
(주)금비,8870,Sep-14,16905269,69421539,8328456,23356269
(주)금비,8870,Sep-15,16838525,77826715,9095497,30922809
(주)금비,8870,Sep-16,18552822,92313829,10069163,36295583
(주)금비,8870,Sep-17,17332784,90869613,8904859,30234670
(주)금비,8870,Sep-18,17758613,97025499,8554261,32217235
(주)금비,8870,Sep-19,17199098,105632362,8980570,34312672
(주)금양,1570,Dec-11,14236426,73356949,6884124,50168793
(주)금양,1570,Dec-12,13739318,69850864,7118999,46841743
(주)금양,1570,Dec-13,20839381,90828722,8359928,60939478
(주)금양,1570,Dec-14,25271205,111767170,10954973,57627190
(주)금양,1570,Dec-15,21613668,116881516,9434413,63905239
(주)금양,1570,Dec-16,19103181,92604838,6869584,61611949
(주)금양,1570,Dec-17,22603043,130477254,8612918,58591469
(주)금양,1570,Dec-18,24409366,129420730,8960870,48188432
(주)금양,1570,Dec-19,27024408,130285368,10501788,61997758
(주)금호에이치티,214330,Dec-15,28696569,86522457,20906519,80694020
(주)금호에이치티,214330,Dec-16,30299760,90849794,20950659,92744392
(주)금호에이치티,214330,Dec-17,31489881,88316450,21605544,89724027
(주)금호에이치티,214330,Dec-18,49440535,155547300,31971852,138884192
(주)금호에이치티,214330,Dec-19,48755715,204929138,31972894,183830342
(주)금화피에스시,36190,Dec-11,,,0,65271945
(주)금화피에스시,36190,Dec-12,,,0,73807483
(주)금화피에스시,36190,Dec-13,211891,89606593,0,78244379
(주)금화피에스시,36190,Dec-14,650775,92403274,0,76794467
(주)금화피에스시,36190,Dec-15,572369,121277555,0,103478978
(주)금화피에스시,36190,Dec-16,832281,144728651,0,126330610
(주)금화피에스시,36190,Dec-17,1035746,158082025,0,141168180
(주)금화피에스시,36190,Dec-18,1139754,178015924,0,157919642
(주)금화피에스시,36190,Dec-19,1217558,184009183,0,152061849
(주)기가레인,49080,Dec-13,10704669,52670777,10634480,52867551
(주)기가레인,49080,Dec-14,11467784,42916021,11226248,42277551
