회사명,거래소코드,회계년도,당기유형자산(IFRS연결),전기유형자산(IFRS연결),당기유형자산(IFRS개별),전기유형자산(IFRS개별)
(주)국동,5320,Dec-12,23884364,23884364,62414,62414
(주)국동,5320,Dec-13,22012275,22012275,102132,102132
(주)국동,5320,Dec-14,25733379,25733379,125789,125789
(주)국동,5320,Dec-15,27576036,27576036,124678,124678
(주)국동,5320,Dec-16,38648210,38648210,122290,122290
(주)국동,5320,Dec-17,34391285,34391285,126345,126345
(주)국동,5320,Dec-18,34742472,34742472,134369,134369
(주)국동,5320,Dec-19,33086550,33086550,130910,130910
(주)국보,1140,Dec-11,37874882,37874882,37844785,37844785
(주)국보,1140,Dec-12,38720706,,38507895,38507895
(주)국보,1140,Dec-13,42306021,42306021,42150058,42150058
(주)국보,1140,Dec-14,41286099,41286099,41186594,41186594
(주)국보,1140,Dec-15,40424444,40424444,40409826,40409826
(주)국보,1140,Dec-16,39656965,39656965,39652037,39652037
(주)국보,1140,Dec-17,39367793,39367793,39364721,39364721
(주)국보,1140,Dec-18,16528936,16528936,16527335,16527335
(주)국보,1140,Dec-19,11466461,11466461,7137358,7137358
(주)국보디자인,66620,Dec-11,1463106,1463106,1453461,1453461
(주)국보디자인,66620,Dec-12,2235492,2235492,2230621,2230621
(주)국보디자인,66620,Dec-13,2192604,2192604,2190348,2190348
(주)국보디자인,66620,Dec-14,2596797,2596797,2596263,2596263
(주)국보디자인,66620,Dec-15,6944107,6944107,6908270,6908270
(주)국보디자인,66620,Dec-16,7447948,7447948,7420242,7420242
(주)국보디자인,66620,Dec-17,7534909,7534909,7245407,7245407
(주)국보디자인,66620,Dec-18,7133198,7133198,7072221,7072221
(주)국보디자인,66620,Dec-19,8402801,8402801,8367291,8367291
(주)국순당,43650,Dec-11,84687109,84687109,77006392,77006392
(주)국순당,43650,Dec-12,82475314,82475314,74415222,74415222
(주)국순당,43650,Dec-13,79653462,79653462,71314218,71314218
(주)국순당,43650,Dec-14,72019399,72019399,63633133,63633133
(주)국순당,43650,Dec-15,69161477,69161477,60756894,60756894
(주)국순당,43650,Dec-16,64894851,64894851,56088957,56088957
(주)국순당,43650,Dec-17,58039640,58233151,49398687,49398687
(주)국순당,43650,Dec-18,66740222,66740222,58144452,58144452
(주)국순당,43650,Dec-19,78685882,54678261,45386881,45386881
(주)국영지앤엠,6050,Dec-11,,,31308145,31308145
(주)국영지앤엠,6050,Dec-12,,,32061920,32061920
(주)국영지앤엠,6050,Dec-13,,,31747733,31747733
(주)국영지앤엠,6050,Dec-14,,,32414094,32414094
(주)국영지앤엠,6050,Dec-15,,,31600586,31600586
(주)국영지앤엠,6050,Dec-16,,,31778265,31778265
(주)국영지앤엠,6050,Dec-17,,,31770240,31770240
(주)국영지앤엠,6050,Dec-18,,,30512052,30512052
(주)국영지앤엠,6050,Dec-19,,,31059486,31059486
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,43073285,43073285,1053189,1053189
(주)그래디언트,35080,Dec-12,51883877,64211844,544723,544723
(주)그래디언트,35080,Dec-13,59554095,59554095,331316,331316
(주)그래디언트,35080,Dec-14,58029509,58029509,452405,452405
(주)그래디언트,35080,Dec-15,56944366,56944366,381565,381565
(주)그래디언트,35080,Dec-16,57343683,57343683,340527,340527
(주)그래디언트,35080,Dec-17,58978788,58978788,396437,396437
(주)그래디언트,35080,Dec-18,66689968,66689968,246356,246356
(주)그래디언트,35080,Dec-19,134794282,134794282,2819233,2819233
(주)그리티,204020,Dec-18,871796,871796,564992,564992
(주)그리티,204020,Dec-19,2969620,2969620,2197445,2197445
(주)그린플러스,186230,Dec-19,32154120,32154120,17300012,17300012
(주)글로벌스탠다드테크놀로지,83450,Dec-11,14216552,14216552,12023834,12023834
(주)글로벌스탠다드테크놀로지,83450,Dec-12,17288952,17288952,15426808,15426808
(주)글로벌스탠다드테크놀로지,83450,Dec-13,19295210,19295210,15695611,15695611
(주)글로벌스탠다드테크놀로지,83450,Dec-14,19325095,19325095,15819399,15819399
(주)글로벌스탠다드테크놀로지,83450,Dec-15,23552630,23552630,19974231,19974231
(주)글로벌스탠다드테크놀로지,83450,Dec-16,26226965,26226965,22575187,22575187
(주)글로벌스탠다드테크놀로지,83450,Dec-17,34287696,34287696,28387085,28387085
(주)글로벌스탠다드테크놀로지,83450,Dec-18,38601941,38601941,31327306,31327306
(주)글로벌스탠다드테크놀로지,83450,Dec-19,38458654,38458654,29774088,29774088
