회사명,거래소코드,회계년도,당기순이익(IFRS연결),자산(IFRS연결),당기순이익(IFRS개별),자산(IFRS개별)
(주)그리티,204020,Dec-18,4810592,95755030,6019400,86557287
(주)그리티,204020,Dec-19,1563323,92151596,2627015,86803901
(주)그린플러스,186230,Dec-19,2533086,72321985,2435883,56587945
(주)글로벌스탠다드테크놀로지,83450,Dec-11,3521902,52575255,2301945,49714791
(주)글로벌스탠다드테크놀로지,83450,Dec-12,7003711,53824618,5403733,49050552
(주)글로벌스탠다드테크놀로지,83450,Dec-13,5925826,62626777,5075966,57053266
(주)글로벌스탠다드테크놀로지,83450,Dec-14,7880919,69972237,6151625,63317853
(주)글로벌스탠다드테크놀로지,83450,Dec-15,5703892,69691968,3910170,60770711
(주)글로벌스탠다드테크놀로지,83450,Dec-16,4644376,89405841,3758214,78440684
(주)글로벌스탠다드테크놀로지,83450,Dec-17,15756344,102400669,13135277,88966307
(주)글로벌스탠다드테크놀로지,83450,Dec-18,10303468,105027408,7747618,87524011
(주)글로벌스탠다드테크놀로지,83450,Dec-19,17968416,136751562,17027156,120984040
(주)금비,8870,Sep-11,5926611,215118770,828877,134828296
(주)금비,8870,Sep-12,2324776,215481348,134171,131454531
(주)금비,8870,Sep-13,1899708,209837389,302774,131903805
(주)금비,8870,Sep-14,3097739,220865299,-1062704,138058582
(주)금비,8870,Sep-15,7665205,231838031,2817261,142267212
(주)금비,8870,Sep-16,13187315,250604972,6032090,155344926
(주)금비,8870,Sep-17,6646301,247008401,1457776,148196313
(주)금비,8870,Sep-18,10167339,252892158,4159383,149863024
(주)금비,8870,Sep-19,10620899,260180107,2736847,151412728
(주)금양,1570,Dec-11,2964115,130817841,2436780,124086392
(주)금양,1570,Dec-12,3717420,127557393,3159937,127197484
(주)금양,1570,Dec-13,719232,147115126,1518013,142485295
(주)금양,1570,Dec-14,-111826,160244911,2861900,145135554
(주)금양,1570,Dec-15,14474633,165405931,2338700,157467543
(주)금양,1570,Dec-16,-20526295,178901902,-23749351,174953809
(주)금양,1570,Dec-17,18645438,196084032,366688,167120998
(주)금양,1570,Dec-18,20253300,204777156,16116052,155507052
(주)금양,1570,Dec-19,-10903987,224222540,-12752836,171931897
(주)금호에이치티,214330,Dec-15,14971109,123875646,16768247,109367040
(주)금호에이치티,214330,Dec-16,8354070,156606980,12887704,151786975
(주)금호에이치티,214330,Dec-17,4933421,150164495,5433832,146407321
(주)금호에이치티,214330,Dec-18,7792877,238380056,7102658,230268876
(주)금호에이치티,214330,Dec-19,-75223,322078193,1794762,314666069
(주)금화피에스시,36190,Dec-11,,,15182500,94174014
(주)금화피에스시,36190,Dec-12,,,18485546,105483370
(주)금화피에스시,36190,Dec-13,22786047,142932108,21184156,135180701
(주)금화피에스시,36190,Dec-14,21397903,158057524,20636145,146360964
(주)금화피에스시,36190,Dec-15,22676558,189001800,21704964,175086217
(주)금화피에스시,36190,Dec-16,23917682,215036137,22053825,197557790
(주)금화피에스시,36190,Dec-17,20153925,231639148,20754033,216252318
(주)금화피에스시,36190,Dec-18,39649709,262516457,38175421,242310750
(주)금화피에스시,36190,Dec-19,27677441,281692946,25283209,255149491
(주)기가레인,49080,Dec-13,10828194,122523850,11073413,122926340
(주)기가레인,49080,Dec-14,7764423,131923500,9064933,133237615
(주)기가레인,49080,Dec-15,-13369109,151757532,-14035109,148551434
(주)기가레인,49080,Dec-16,-10347329,155732003,-10793714,152639799
(주)기가레인,49080,Dec-17,-920801,181628353,-401780,179756049
(주)기가레인,49080,Dec-18,-21635992,179113947,-23731827,176296022
(주)기가레인,49080,Dec-19,-46059977,117798198,-44243046,115539385
(주)기산텔레콤,35460,Dec-11,-12092371,86259438,-8844829,59416681
(주)기산텔레콤,35460,Dec-12,-1882261,73234520,1433180,46588431
(주)기산텔레콤,35460,Dec-13,3928729,78811114,2049347,57254925
