회사명,거래소코드,회계년도,당기자산(IFRS연결),전기자산(IFRS연결),당기자산(IFRS개별),전기자산(IFRS개별)
(주)구영테크,53270,Dec-18,202572970,202572970,146492374,146492374
(주)구영테크,53270,Dec-19,206569873,206569873,141034767,141034767
(주)국동,5320,Dec-11,68162305,68162305,42291817,42291817
(주)국동,5320,Dec-12,65808287,65808287,35813125,35813125
(주)국동,5320,Dec-13,73040609,73040609,40194919,40194919
(주)국동,5320,Dec-14,89271398,89271398,53392996,53392996
(주)국동,5320,Dec-15,93758552,93758552,66242141,66242141
(주)국동,5320,Dec-16,124126720,124126720,86116813,86116813
(주)국동,5320,Dec-17,106307080,106307080,75154254,75154254
(주)국동,5320,Dec-18,123134702,123134702,80727956,80727956
(주)국동,5320,Dec-19,133723726,133723726,96856085,96856085
(주)국보,1140,Dec-11,98869465,98869465,97415381,97415381
(주)국보,1140,Dec-12,98494841,,93953021,93953021
(주)국보,1140,Dec-13,98315386,98315386,94915572,94915572
(주)국보,1140,Dec-14,91005502,91005502,87597909,87597909
(주)국보,1140,Dec-15,83085438,83085438,80158667,80158667
(주)국보,1140,Dec-16,81308887,81308887,77487791,77487791
(주)국보,1140,Dec-17,73270170,73270170,69819240,69819240
(주)국보,1140,Dec-18,48188113,48188113,45599283,45599283
(주)국보,1140,Dec-19,115356448,115356448,57467353,57467353
(주)국보디자인,66620,Dec-11,80200900,80200900,79203327,79203327
(주)국보디자인,66620,Dec-12,92877548,92877548,92873298,92873298
(주)국보디자인,66620,Dec-13,127902185,127902185,121964092,121964092
(주)국보디자인,66620,Dec-14,132011877,132011877,125685773,125685773
(주)국보디자인,66620,Dec-15,141089858,141089858,129037954,129037954
(주)국보디자인,66620,Dec-16,158452485,158452485,150830570,150830570
(주)국보디자인,66620,Dec-17,164381715,164381715,158317679,158317679
(주)국보디자인,66620,Dec-18,175036784,175036784,161750972,161750972
(주)국보디자인,66620,Dec-19,222514980,222514980,197762410,197762410
(주)국순당,43650,Dec-11,199135153,199135153,193849294,193849294
(주)국순당,43650,Dec-12,209729554,209729554,203489729,203489729
(주)국순당,43650,Dec-13,218115221,218115221,203199593,203199593
(주)국순당,43650,Dec-14,217479839,217479839,205782935,205782935
(주)국순당,43650,Dec-15,216587928,216587928,203528460,203528460
(주)국순당,43650,Dec-16,213004831,213004831,200077411,200077411
(주)국순당,43650,Dec-17,242199755,242628913,208832133,208832133
(주)국순당,43650,Dec-18,238619493,238619493,221229658,221229658
(주)국순당,43650,Dec-19,252484287,226455246,210006510,213752409
(주)국영지앤엠,6050,Dec-11,,,61022765,61022765
(주)국영지앤엠,6050,Dec-12,,,60197670,60197670
(주)국영지앤엠,6050,Dec-13,,,63108054,63108054
(주)국영지앤엠,6050,Dec-14,,,58995756,58995756
(주)국영지앤엠,6050,Dec-15,,,63713392,63713392
(주)국영지앤엠,6050,Dec-16,,,65670915,65670915
(주)국영지앤엠,6050,Dec-17,,,66101002,66101002
(주)국영지앤엠,6050,Dec-18,,,60335138,60335138
(주)국영지앤엠,6050,Dec-19,,,68657302,68657302
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,777653618,777653618,521750143,521750143
(주)그래디언트,35080,Dec-12,739985481,1515113225,482181596,482181596
(주)그래디언트,35080,Dec-13,1598503940,1598503940,473264178,473264178
(주)그래디언트,35080,Dec-14,1920350951,1920350951,455860309,455860309
