회사명,거래소코드,회계년도,부가가치(IFRS연결),인건비(IFRS연결),부가가치(IFRS개별),인건비(IFRS개별)
(주)광림,14200,Dec-16,9774.59,10025.32,12766.74,10025.32
(주)광림,14200,Dec-17,9886.97,24823.47,121763.98,10064.42
(주)광림,14200,Dec-18,-58751.81,-24692.79,-63701.87,9666.39
(주)광림,14200,Dec-19,22505.39,23863.64,-65585.59,8512.17
(주)광명전기,17040,Dec-11,12700.72,10924.44,8524.07,6525.3
(주)광명전기,17040,Dec-12,13422.2,10137.84,7812.51,7292.71
(주)광명전기,17040,Dec-13,22856.32,11541.77,16789.22,7763.59
(주)광명전기,17040,Dec-14,24682.31,10362.87,20049.23,8432.19
(주)광명전기,17040,Dec-15,23499.45,11400.79,14620.46,9002.82
(주)광명전기,17040,Dec-16,16207.87,9387.27,30170.87,9356.06
(주)광명전기,17040,Dec-17,9525.8,10037.25,8812.49,9055.91
(주)광명전기,17040,Dec-18,17755.15,10524.89,15738.2,9485.1
(주)광명전기,17040,Dec-19,20753.67,12126.12,19713.93,11024.18
(주)광무,29480,Dec-11,-31297.66,9276.14,-34287.6,8144.71
(주)광무,29480,Dec-12,2867.93,8334.17,-2546.32,7944.19
(주)광무,29480,Dec-13,-19191.93,6095.68,-27128.53,2749.74
(주)광무,29480,Dec-14,,,7685.26,5695.3
(주)광무,29480,Dec-15,,,4969.66,6004.5
(주)광무,29480,Dec-16,,,7028.95,5328.99
(주)광무,29480,Dec-17,,,4347.69,6189.98
(주)광무,29480,Dec-18,3161.84,7108.07,2567.43,6306.97
(주)광무,29480,Dec-19,6253.03,10470.43,3691.03,8214.14
(주)광주신세계,37710,Dec-11,,,81174.22,14386.06
(주)광주신세계,37710,Dec-12,,,78930.35,14616.99
(주)광주신세계,37710,Dec-13,,,77074.43,15334.89
(주)광주신세계,37710,Dec-14,,,75546.09,17960.81
(주)광주신세계,37710,Dec-15,,,78789.64,18143.86
(주)광주신세계,37710,Dec-16,,,79200.71,17881.87
(주)광주신세계,37710,Dec-17,,,79390.39,17878.11
(주)광주신세계,37710,Dec-18,,,74360.77,18897.36
(주)광주신세계,37710,Dec-19,,,84867.5,12379.14
(주)구영테크,53270,Dec-11,30173.23,17760.73,16205.29,8082.38
(주)구영테크,53270,Dec-12,34066.87,18823.48,15794.6,7887.31
(주)구영테크,53270,Dec-13,40563.29,23882.14,18802.93,10446.58
(주)구영테크,53270,Dec-14,40918.73,25704.41,19185.74,11979.68
(주)구영테크,53270,Dec-15,44427.3,28209.17,21494.68,13323.45
(주)구영테크,53270,Dec-16,41169.13,26665.93,23004.45,14234.69
(주)구영테크,53270,Dec-17,37905.67,25876.93,19348.46,14324.76
(주)구영테크,53270,Dec-18,46490.62,26400.6,24326.3,14695.74
(주)구영테크,53270,Dec-19,48045.12,28372.25,23970.02,15446.67
(주)국동,5320,Dec-11,2980.52,587.9,-2116.88,3625.48
(주)국동,5320,Dec-12,18227.04,11300.63,4858.24,3656.1
(주)국동,5320,Dec-13,25635.95,19148.69,7354.16,3775.86
(주)국동,5320,Dec-14,36358.9,24650,10914.26,4673.89
(주)국동,5320,Dec-15,37153.81,26519.22,13416.63,5057.86
(주)국동,5320,Dec-16,36128.26,22499.24,13780.66,4796.3
(주)국동,5320,Dec-17,25998.16,31392.6,-2076.99,5139.22
(주)국동,5320,Dec-18,47246.08,40583.46,8928.66,5264.65
(주)국동,5320,Dec-19,53909.77,53899.74,-1520.24,5767.58
(주)국보,1140,Dec-11,14836.73,10433.61,13951.65,9772.15
(주)국보,1140,Dec-12,15684.53,10619.78,13380.25,9608.36
(주)국보,1140,Dec-13,8219.66,10587.29,6868.2,9585.36
(주)국보,1140,Dec-14,5210.25,10476.53,4075.68,9531.53
(주)국보,1140,Dec-15,8167.53,10257.32,7344.69,9477.51
(주)국보,1140,Dec-16,6923.11,8954.75,4899.16,8086.72
(주)국보,1140,Dec-17,4890.55,7991.82,4109.65,7192.27
(주)국보,1140,Dec-18,9202.65,8269.43,8443.01,7608.76
(주)국보,1140,Dec-19,8104.48,10662.19,786.09,7885.98
(주)국보디자인,66620,Dec-11,37630.05,30445.69,35818.45,28747.07
(주)국보디자인,66620,Dec-12,34487.68,24987.02,34226.02,24593.62
(주)국보디자인,66620,Dec-13,44261.95,32092.33,41668.79,31008.74
(주)국보디자인,66620,Dec-14,48193.45,35363.16,42850.2,33413.63
(주)국보디자인,66620,Dec-15,53043.56,40009.87,42258.71,34612.87
(주)국보디자인,66620,Dec-16,54982.2,43083.72,54240,40223.62
(주)국보디자인,66620,Dec-17,76642.09,54993.95,73546.06,50921.92
(주)국보디자인,66620,Dec-18,69527.95,52699.93,61350.27,44373.1
(주)국보디자인,66620,Dec-19,79433.85,59436.44,62003.27,49806.27
(주)국순당,43650,Dec-11,33279.55,19621.17,32287.82,18657
(주)국순당,43650,Dec-12,31085.72,18737.2,28065.87,17437.3
(주)국순당,43650,Dec-13,32841.1,21439.45,25153.16,18704.26
(주)국순당,43650,Dec-14,29706.7,20529,24319.77,17696.47
(주)국순당,43650,Dec-15,18258.1,20706.06,13157.64,17900.3
(주)국순당,43650,Dec-16,18388.84,19323.98,14524.22,16970.31
(주)국순당,43650,Dec-17,31047.34,17181.75,9927.8,14371.44
(주)국순당,43650,Dec-18,19112.58,14484.94,14970.51,13407.17
(주)국순당,43650,Dec-19,14926.79,17673.07,14246.23,13368.71
(주)국영지앤엠,6050,Dec-11,,,3486.7,5767.58
(주)국영지앤엠,6050,Dec-12,,,12743.18,5417.25
(주)국영지앤엠,6050,Dec-13,,,8302.22,5533.44
(주)국영지앤엠,6050,Dec-14,,,7988.13,5978.39
(주)국영지앤엠,6050,Dec-15,,,6630.74,6104.65
(주)국영지앤엠,6050,Dec-16,,,7893.21,6217.25
(주)국영지앤엠,6050,Dec-17,,,9692.54,6668.29
(주)국영지앤엠,6050,Dec-18,,,6989.65,6116.38
(주)국영지앤엠,6050,Dec-19,,,8084.83,6840.22
(주)국전약품,307750,Dec-18,,,,
(주)국전약품,307750,Dec-19,,,,
(주)그래디언트,35080,Dec-11,60243.93,60616.79,4264.28,6719.32
(주)그래디언트,35080,Dec-12,139063.68,70076.68,51766.97,2577.73
(주)그래디언트,35080,Dec-13,176314.61,83886.45,-3491.71,1691.5
(주)그래디언트,35080,Dec-14,208989.84,93793.7,5932.51,1868.8
(주)그래디언트,35080,Dec-15,240472.76,109195.44,20084.99,1887.33
(주)그래디언트,35080,Dec-16,151643.27,114373.05,-44434.41,1766.18
(주)그래디언트,35080,Dec-17,171482.48,136731.79,-49657.55,1830.72
(주)그래디언트,35080,Dec-18,227407.59,142611.56,10502.87,1613.68
(주)그래디언트,35080,Dec-19,236692.21,143001.84,6703.3,2399.58
(주)그리티,204020,Dec-18,23409.46,11304.64,19484.99,7500.33
(주)그리티,204020,Dec-19,17793.55,11217.56,13191.93,7212.23
(주)그린플러스,186230,Dec-19,14324.08,7033.08,11053.23,5942.05
(주)글로벌스탠다드테크놀로지,83450,Dec-11,16576.7,12011.18,13825.35,10867.23
