회사명,거래소코드,회계년도,매출액(IFRS연결),매출채권(IFRS연결),재고자산(IFRS연결),매출액(IFRS개별),매출채권(IFRS개별),재고자산(IFRS개별)
(주)광명전기,17040,Dec-14,134778387,36337764,17009058,115801471,31554886,14489868
(주)광명전기,17040,Dec-15,116316957,16825692,12979421,93000177,11967345,10678955
(주)광명전기,17040,Dec-16,96942911,20812852,9214479,96931493,19314773,8920021
(주)광명전기,17040,Dec-17,101561159,16276254,9992851,105083042,19292906,9187768
(주)광명전기,17040,Dec-18,114110654,16707389,11273625,96949804,16383101,10944185
(주)광명전기,17040,Dec-19,131864294,18747808,7915758,125009206,17078687,7733607
(주)광무,29480,Dec-11,51755052,15437387,11126987,50359203,15007132,11126987
(주)광무,29480,Dec-12,41178683,18148992,7606817,40406860,7975589,5521700
(주)광무,29480,Dec-13,20534276,19869205,5105102,10105219,5018421,249281
(주)광무,29480,Dec-14,,,,38409667,4374987,230597
(주)광무,29480,Dec-15,,,,17648493,3100483,476695
(주)광무,29480,Dec-16,,,,26429957,4933425,714172
(주)광무,29480,Dec-17,,,,21540953,5897853,188668
(주)광무,29480,Dec-18,23074941,6812775,571473,20707286,6442654,286303
(주)광무,29480,Dec-19,36483979,6986082,505706,25244176,6607048,482591
(주)광주신세계,37710,Dec-11,,,,219613514,5261643,4949450
(주)광주신세계,37710,Dec-12,,,,213803173,6323881,4638113
(주)광주신세계,37710,Dec-13,,,,206606675,4729317,4415826
(주)광주신세계,37710,Dec-14,,,,204820461,4540143,4715758
(주)광주신세계,37710,Dec-15,,,,205331892,4577507,5113086
(주)광주신세계,37710,Dec-16,,,,210423594,7699769,5458472
(주)광주신세계,37710,Dec-17,,,,209647360,8674542,5384423
(주)광주신세계,37710,Dec-18,,,,135213362,9520237,2621451
(주)광주신세계,37710,Dec-19,,,,154879496,7997425,2790527
(주)구영테크,53270,Dec-11,147832315,23926433,15288601,62527619,13535988,5432585
(주)구영테크,53270,Dec-12,155788988,20379904,18805001,65451015,15359575,7326274
(주)구영테크,53270,Dec-13,172747316,20909469,17835115,76282590,15028158,7502946
(주)구영테크,53270,Dec-14,170528694,24073036,21780928,77799749,20379318,7997698
(주)구영테크,53270,Dec-15,172083049,21783991,19812030,87109177,17866513,6701810
(주)구영테크,53270,Dec-16,148301597,19261358,19802569,75320433,14956757,7727200
(주)구영테크,53270,Dec-17,149833357,15896364,20106730,74298129,12980262,8041927
(주)구영테크,53270,Dec-18,195238339,19516600,31595113,81928926,16135074,10320023
(주)구영테크,53270,Dec-19,230853336,24281004,34405094,93132845,16757584,9542656
(주)국동,5320,Dec-11,154293577,14368516,17915375,100097439,11530629,8071551
(주)국동,5320,Dec-12,138172746,17348332,16279648,91524436,8616735,8204282
