회사명,거래소코드,회계년도,부가가치(IFRS연결),기계장치(IFRS연결),부가가치(IFRS개별),기계장치(IFRS개별)
(주)금양,1570,Dec-11,12521.92,9450861,10017.49,4062791
(주)금양,1570,Dec-12,16267.46,15113292,12136.86,4545491
(주)금양,1570,Dec-13,14775.26,15483064,9944.21,4627792
(주)금양,1570,Dec-14,15008.53,13089932,11458.88,4775743
(주)금양,1570,Dec-15,34946.42,15912754,12003.03,2267098
(주)금양,1570,Dec-16,-10089.35,20570015,-20026.97,7340271
(주)금양,1570,Dec-17,51739.78,20979223,14797.19,7440067
(주)금양,1570,Dec-18,45103.46,22091005,33681.93,7899669
(주)금양,1570,Dec-19,5126.82,22525637,-3626.49,11126217
(주)금호에이치티,214330,Dec-15,52220.95,42225522,49719.42,34400721
(주)금호에이치티,214330,Dec-16,49989.96,45288746,49039.75,36357524
(주)금호에이치티,214330,Dec-17,40550.16,45499207,36109.34,36661014
(주)금호에이치티,214330,Dec-18,46654.92,47884291,40132.59,37643448
(주)금호에이치티,214330,Dec-19,52694.04,53060771,46919.36,40331768
(주)금화피에스시,36190,Dec-11,,,56699.04,4472096
(주)금화피에스시,36190,Dec-12,,,71820.4,1066158
(주)금화피에스시,36190,Dec-13,109187.93,1790642,103050.93,1066158
(주)금화피에스시,36190,Dec-14,129346.5,2122016,118494.36,1127957
(주)금화피에스시,36190,Dec-15,153610.82,1649936,139901.15,1127958
(주)금화피에스시,36190,Dec-16,136417.9,2871313,124732.48,1505958
(주)금화피에스시,36190,Dec-17,111545.94,3297406,104432.29,1702357
(주)금화피에스시,36190,Dec-18,139046.25,4060703,128613.82,1754558
(주)금화피에스시,36190,Dec-19,131501.4,4211415,119696.01,1372858
(주)기가레인,49080,Dec-13,29926.66,23657767,28602.39,22062618
(주)기가레인,49080,Dec-14,28620.93,37425107,28723.92,36759869
(주)기가레인,49080,Dec-15,9658.87,47392398,3920.45,44896977
(주)기가레인,49080,Dec-16,18559.19,52266399,12222.47,50653036
(주)기가레인,49080,Dec-17,23651.93,37528613,18089.11,36203181
(주)기가레인,49080,Dec-18,15054.46,13508032,8609.69,12699408
(주)기가레인,49080,Dec-19,-16789.54,40724740,-22025.06,39418308
(주)기산텔레콤,35460,Dec-11,-3910.82,8203510,-4380.27,5914203
(주)기산텔레콤,35460,Dec-12,11594.7,8081837,5107.64,5909531
(주)기산텔레콤,35460,Dec-13,15427.01,8355271,5008.37,5977727
(주)기산텔레콤,35460,Dec-14,13247.64,8556695,3190.9,195149
(주)기산텔레콤,35460,Dec-15,13704.04,8792707,4511.8,130497
(주)기산텔레콤,35460,Dec-16,8198.87,839967,872.71,110668
(주)기산텔레콤,35460,Dec-17,5297.23,1061750,92.18,75686
(주)기산텔레콤,35460,Dec-18,6896.81,905427,-3696.12,50855
(주)기산텔레콤,35460,Dec-19,14112.52,942537,3924.58,146366
(주)까뮤이앤씨,13700,Dec-11,,,-122120.12,1355152
(주)까뮤이앤씨,13700,Dec-12,,,14011.09,1468882
(주)까뮤이앤씨,13700,Dec-13,,,7169.45,1588652
(주)까뮤이앤씨,13700,Dec-14,,,21334.21,1642652
(주)까뮤이앤씨,13700,Dec-15,,,24424.32,2317619
(주)까뮤이앤씨,13700,Dec-16,,,21906.17,2495219
