회사명,거래소코드,회계년도,자산(IFRS연결),자산(IFRS개별),합계_기말인원
(주)나이벡,138610,18-Dec,,22317590,58
(주)나이벡,138610,19-Dec,,35734880,71
(주)나이스디앤비,130580,11-Dec,,22641623,97
(주)나이스디앤비,130580,12-Dec,,24790683,103
(주)나이스디앤비,130580,13-Dec,,27132117,98
(주)나이스디앤비,130580,14-Dec,,31070259,111
(주)나이스디앤비,130580,15-Dec,37168676,34806859,114
(주)나이스디앤비,130580,16-Dec,40466208,37343939,154
(주)나이스디앤비,130580,17-Dec,46928148,43008000,204
(주)나이스디앤비,130580,18-Dec,56660361,51102350,262
(주)나이스디앤비,130580,19-Dec,78675556,60523112,294
(주)나이스홀딩스,34310,11-Dec,427573951,329687222,38
(주)나이스홀딩스,34310,12-Dec,496053949,326573175,41
(주)나이스홀딩스,34310,13-Dec,865450175,340424811,39
(주)나이스홀딩스,34310,14-Dec,1191004551,374466879,39
(주)나이스홀딩스,34310,15-Dec,1242453840,379918653,45
(주)나이스홀딩스,34310,16-Dec,1408253173,388557495,33
(주)나이스홀딩스,34310,17-Dec,1742367144,384843529,35
(주)나이스홀딩스,34310,18-Dec,2172977804,423389599,37
(주)나이스홀딩스,34310,19-Dec,2564827369,438147427,48
(주)나인테크,267320,17-Dec,,,4
(주)나인테크,267320,18-Dec,,,4
(주)나인테크,267320,19-Dec,,,4
(주)남선알미늄,8350,11-Dec,259574975,224292636,670
(주)남선알미늄,8350,12-Dec,,236720122,655
(주)남선알미늄,8350,13-Dec,,237576875,646
(주)남선알미늄,8350,14-Dec,,240321965,643
(주)남선알미늄,8350,15-Dec,,286102329,586
(주)남선알미늄,8350,16-Dec,,283413750,601
(주)남선알미늄,8350,17-Dec,,284649401,583
(주)남선알미늄,8350,18-Dec,303023071,294949630,632
(주)남선알미늄,8350,19-Dec,295529661,292559970,619
(주)남성,4270,11-Dec,222934371,185361070,59
(주)남성,4270,12-Dec,221414593,189440992,68
(주)남성,4270,13-Dec,200078722,170466140,67
(주)남성,4270,14-Dec,195514519,170614606,58
(주)남성,4270,15-Dec,201740627,176973347,57
(주)남성,4270,16-Dec,204535206,169335721,62
(주)남성,4270,17-Dec,203435953,170016707,61
(주)남성,4270,18-Dec,205083689,168663357,57
(주)남성,4270,19-Dec,204791617,168351672,54
(주)내츄럴엔도텍,168330,13-Dec,,68289681,47
(주)내츄럴엔도텍,168330,14-Dec,,88718019,79
(주)내츄럴엔도텍,168330,15-Dec,69432771,68048870,62
