회사명,거래소코드,회계년도,부채(IFRS연결),자본(IFRS연결),부채(IFRS개별),자본(IFRS개별)
(주)금양,1570,Dec-14,115754926,44489985,98653967,46481587
(주)금양,1570,Dec-15,107452186,57953744,110764433,46703110
(주)금양,1570,Dec-16,144421157,34480745,152714672,22239137
(주)금양,1570,Dec-17,138488586,57595446,135869024,31251974
(주)금양,1570,Dec-18,125320820,79456336,106319214,49187838
(주)금양,1570,Dec-19,155935477,68287064,136927078,35004819
(주)금호에이치티,214330,Dec-15,42487367,81388280,27249745,82117294
(주)금호에이치티,214330,Dec-16,70324951,86282030,59072744,92714230
(주)금호에이치티,214330,Dec-17,59410075,90754420,48846497,97560824
(주)금호에이치티,214330,Dec-18,113528186,124851870,99203809,131065067
(주)금호에이치티,214330,Dec-19,149447504,172630689,133896103,180769966
(주)금화피에스시,36190,Dec-11,,,17828767,76345247
(주)금화피에스시,36190,Dec-12,,,13178195,92305175
(주)금화피에스시,36190,Dec-13,25315182,117616926,21979899,113200802
(주)금화피에스시,36190,Dec-14,24531587,133525938,19483169,126877795
(주)금화피에스시,36190,Dec-15,39950792,149051009,32829516,142256701
(주)금화피에스시,36190,Dec-16,46326207,168709929,37567568,159990222
(주)금화피에스시,36190,Dec-17,47411791,184227358,39948467,176303850
(주)금화피에스시,36190,Dec-18,41789419,220727038,30944347,211366403
(주)금화피에스시,36190,Dec-19,42283315,239409631,27406945,227742546
(주)기가레인,49080,Dec-13,60137638,62386212,60329664,62596675
(주)기가레인,49080,Dec-14,56351498,75572002,56158957,77078658
(주)기가레인,49080,Dec-15,86012923,65744609,83089580,65461853
(주)기가레인,49080,Dec-16,98134514,57597489,95576680,57063120
(주)기가레인,49080,Dec-17,92959232,88669121,90732165,89023884
(주)기가레인,49080,Dec-18,110553832,68560115,109417741,66878280
(주)기가레인,49080,Dec-19,89733582,28064616,87651745,27887641
(주)기산텔레콤,35460,Dec-11,52370807,33888631,26937576,32479105
(주)기산텔레콤,35460,Dec-12,41717873,31516647,12670352,33918079
(주)기산텔레콤,35460,Dec-13,42293634,36517480,21167070,36087855
(주)기산텔레콤,35460,Dec-14,39545997,38506780,17854587,36429569
(주)기산텔레콤,35460,Dec-15,33753043,42259485,15178171,38723216
(주)기산텔레콤,35460,Dec-16,34339130,39870843,9697230,37420205
(주)기산텔레콤,35460,Dec-17,35145065,34992274,9115826,35438291
(주)기산텔레콤,35460,Dec-18,24539492,31640999,4973394,29246000
(주)기산텔레콤,35460,Dec-19,32098792,34690964,8645985,31379895
(주)까뮤이앤씨,13700,Dec-11,,,202802031,46083061
(주)까뮤이앤씨,13700,Dec-12,,,162718454,40763024
(주)까뮤이앤씨,13700,Dec-13,,,133919447,33715699
(주)까뮤이앤씨,13700,Dec-14,,,93950382,35697347
(주)까뮤이앤씨,13700,Dec-15,,,83679257,45786128
(주)까뮤이앤씨,13700,Dec-16,,,91865334,51113063
(주)까뮤이앤씨,13700,Dec-17,,,80831808,59106121
