회사명,거래소코드,회계년도,유동자산(IFRS연결),재고자산(IFRS연결),유동부채(IFRS연결),유동자산(IFRS개별),재고자산(IFRS개별),유동부채(IFRS개별)
(주)골프존뉴딘홀딩스,121440,Dec-11,276277197,5934952,27175102,249046740,5109784,23959622
(주)골프존뉴딘홀딩스,121440,Dec-12,267312187,17945664,127906398,267719852,16416317,100380679
(주)골프존뉴딘홀딩스,121440,Dec-13,280228001,32288277,210617017,315880696,31018699,158799918
(주)골프존뉴딘홀딩스,121440,Dec-14,176744598,30575929,192439743,174950116,29629196,109937606
(주)골프존뉴딘홀딩스,121440,Dec-15,97152205,23999862,103565383,45672526,0,8367004
(주)골프존뉴딘홀딩스,121440,Dec-16,102314350,33842758,144628383,63048320,0,13600183
(주)골프존뉴딘홀딩스,121440,Dec-17,117348020,40345794,120725767,46961353,0,37343445
(주)골프존뉴딘홀딩스,121440,Dec-18,99968915,51388491,209277715,59445798,0,53590836
(주)골프존뉴딘홀딩스,121440,Dec-19,125716505,48390470,85327312,30696570,0,13311280
(주)광림,14200,Dec-11,,,,49443117,25192191,23686842
(주)광림,14200,Dec-12,,,,53533329,27920478,20807441
(주)광림,14200,Dec-13,,,,66494275,20425937,28060377
(주)광림,14200,Dec-14,149961809,76887713,85772868,53880127,23384110,42077415
(주)광림,14200,Dec-15,,,,57623469,21555582,54386273
(주)광림,14200,Dec-16,88113464,26522759,105795434,51509785,21419610,55787503
(주)광림,14200,Dec-17,78175789,21761125,73471288,255751980,16099250,162860814
(주)광림,14200,Dec-18,75325405,25240021,89327971,145430179,19113946,100481370
(주)광림,14200,Dec-19,114526470,27735699,148515736,82568345,19396901,126333888
(주)광명전기,17040,Dec-11,70952226,12871667,52472085,50517306,8759316,39343749
(주)광명전기,17040,Dec-12,80616850,16291860,59112462,59736559,13110921,44663856
(주)광명전기,17040,Dec-13,78305715,14379994,45597121,64082992,12091794,40492046
(주)광명전기,17040,Dec-14,93730239,17009058,53299701,76850052,14489868,47016155
(주)광명전기,17040,Dec-15,83058514,12979421,37684895,63045495,10678955,31780232
(주)광명전기,17040,Dec-16,72296041,9214479,43304256,62147467,8920021,32825028
(주)광명전기,17040,Dec-17,72825667,9992851,41093650,64686772,9187768,37309556
(주)광명전기,17040,Dec-18,69980314,11273625,36256155,59981263,10944185,30574801
(주)광명전기,17040,Dec-19,87126906,7915758,45133574,77171530,7733607,40976226
(주)광무,29480,Dec-11,37578091,11126987,33725662,35909129,11126987,32194731
(주)광무,29480,Dec-12,23778931,7606817,20318859,16266767,5521700,18995980
(주)광무,29480,Dec-13,14314055,5105102,21611943,7025489,249281,14232527
(주)광무,29480,Dec-14,,,,9475626,230597,14741069
(주)광무,29480,Dec-15,,,,5286509,476695,6483577
(주)광무,29480,Dec-16,,,,11893960,714172,13291212
(주)광무,29480,Dec-17,,,,14949942,188668,13555844
(주)광무,29480,Dec-18,17301470,571473,14986294,12582516,286303,13577977
(주)광무,29480,Dec-19,39307761,505706,36140360,33233586,482591,32525952
(주)광주신세계,37710,Dec-11,,,,260854658,4949450,66163614
(주)광주신세계,37710,Dec-12,,,,287723501,4638113,65950254
(주)광주신세계,37710,Dec-13,,,,25873334,4415826,145034010
(주)광주신세계,37710,Dec-14,,,,24561635,4715758,100591603
(주)광주신세계,37710,Dec-15,,,,33510638,5113086,167220829
(주)광주신세계,37710,Dec-16,,,,32426270,5458472,120554131
(주)광주신세계,37710,Dec-17,,,,33243825,5384423,74984335
(주)광주신세계,37710,Dec-18,,,,77504431,2621451,74818605
(주)광주신세계,37710,Dec-19,,,,103160925,2790527,75664224
(주)구영테크,53270,Dec-11,58842369,15288601,104279859,40821654,5432585,60331304
(주)구영테크,53270,Dec-12,66346373,18805001,115585365,48964877,7326274,72155820
(주)구영테크,53270,Dec-13,53694228,17835115,89109382,36391962,7502946,57510219
(주)구영테크,53270,Dec-14,57115595,21780928,79347724,40628726,7997698,48915659
(주)구영테크,53270,Dec-15,58836903,19812030,68834054,41055597,6701810,39444816
(주)구영테크,53270,Dec-16,54139890,19802569,67161561,39434041,7727200,37678727
(주)구영테크,53270,Dec-17,64140319,20106730,81848867,52077454,8041927,56414032
(주)구영테크,53270,Dec-18,60744298,31595113,75014258,43158029,10320023,43472159
(주)구영테크,53270,Dec-19,70165074,34405094,89345198,37519675,9542656,46819127
(주)국동,5320,Dec-11,39415062,17915375,55840092,22715717,8071551,39383056
(주)국동,5320,Dec-12,39351863,16279648,49512946,17991148,8204282,32784070
(주)국동,5320,Dec-13,48642552,22892835,51305589,24414342,10064438,33963447
(주)국동,5320,Dec-14,60454108,22684183,43845038,36105772,8296174,30973623
(주)국동,5320,Dec-15,63906154,27935227,44926359,34533151,13730846,36237475
(주)국동,5320,Dec-16,83256355,31975546,47910562,51330735,15648099,30079724
(주)국동,5320,Dec-17,66343830,31470800,48234584,39587109,13096071,32582779
(주)국동,5320,Dec-18,83767312,32699651,63170690,46980024,11916220,38965464
(주)국동,5320,Dec-19,89543258,32361904,42862482,54839302,11271338,25921567
(주)국보,1140,Dec-11,41337436,675022,54216640,39894724,675022,53436541
(주)국보,1140,Dec-12,39130945,743450,53242160,36506928,743450,51610685
(주)국보,1140,Dec-13,37418409,748235,55559279,35691910,748235,54445568
(주)국보,1140,Dec-14,31669967,665254,55303602,30298511,665254,54035255
(주)국보,1140,Dec-15,26759792,413181,52453525,25758664,413181,51329699
(주)국보,1140,Dec-16,26046898,376717,54893083,24610414,376717,53668775
(주)국보,1140,Dec-17,18529522,405427,45812874,17793062,405427,44683851
(주)국보,1140,Dec-18,11759027,354646,28126737,11593846,354646,27888972
(주)국보,1140,Dec-19,70457619,43435168,75280895,17297097,338808,36694538
