회사명,거래소코드,회계년도,매출액(IFRS연결),유동자산(IFRS연결),유동부채(IFRS연결),매출액(IFRS개별),유동자산(IFRS개별),유동부채(IFRS개별)
(주)골프존뉴딘홀딩스,121440,Dec-12,289629366,267312187,127906398,276341690,267719852,100380679
(주)골프존뉴딘홀딩스,121440,Dec-13,365126358,280228001,210617017,340005073,315880696,158799918
(주)골프존뉴딘홀딩스,121440,Dec-14,429589619,176744598,192439743,387066126,174950116,109937606
(주)골프존뉴딘홀딩스,121440,Dec-15,164536448,97152205,103565383,29389093,45672526,8367004
(주)골프존뉴딘홀딩스,121440,Dec-16,243275475,102314350,144628383,27652102,63048320,13600183
(주)골프존뉴딘홀딩스,121440,Dec-17,213756902,117348020,120725767,23499543,46961353,37343445
(주)골프존뉴딘홀딩스,121440,Dec-18,223036801,99968915,209277715,16100354,59445798,53590836
(주)골프존뉴딘홀딩스,121440,Dec-19,228935651,125716505,85327312,26897482,30696570,13311280
(주)광림,14200,Dec-11,,,,106495363,49443117,23686842
(주)광림,14200,Dec-12,,,,85322569,53533329,20807441
(주)광림,14200,Dec-13,,,,103442134,66494275,28060377
(주)광림,14200,Dec-14,231446314,149961809,85772868,92553612,53880127,42077415
(주)광림,14200,Dec-15,,,,237222890,57623469,54386273
(주)광림,14200,Dec-16,87302967,88113464,105795434,87302967,51509785,55787503
(주)광림,14200,Dec-17,135191558,78175789,73471288,99421336,255751980,162860814
(주)광림,14200,Dec-18,136595300,75325405,89327971,75493055,145430179,100481370
(주)광림,14200,Dec-19,145864184,114526470,148515736,93241157,82568345,126333888
(주)광명전기,17040,Dec-11,92382628,70952226,52472085,57967857,50517306,39343749
(주)광명전기,17040,Dec-12,117216514,80616850,59112462,79318302,59736559,44663856
(주)광명전기,17040,Dec-13,117852824,78305715,45597121,90344376,64082992,40492046
(주)광명전기,17040,Dec-14,134778387,93730239,53299701,115801471,76850052,47016155
(주)광명전기,17040,Dec-15,116316957,83058514,37684895,93000177,63045495,31780232
(주)광명전기,17040,Dec-16,96942911,72296041,43304256,96931493,62147467,32825028
(주)광명전기,17040,Dec-17,101561159,72825667,41093650,105083042,64686772,37309556
(주)광명전기,17040,Dec-18,114110654,69980314,36256155,96949804,59981263,30574801
(주)광명전기,17040,Dec-19,131864294,87126906,45133574,125009206,77171530,40976226
(주)광무,29480,Dec-11,51755052,37578091,33725662,50359203,35909129,32194731
(주)광무,29480,Dec-12,41178683,23778931,20318859,40406860,16266767,18995980
(주)광무,29480,Dec-13,20534276,14314055,21611943,10105219,7025489,14232527
(주)광무,29480,Dec-14,,,,38409667,9475626,14741069
(주)광무,29480,Dec-15,,,,17648493,5286509,6483577
(주)광무,29480,Dec-16,,,,26429957,11893960,13291212
(주)광무,29480,Dec-17,,,,21540953,14949942,13555844
(주)광무,29480,Dec-18,23074941,17301470,14986294,20707286,12582516,13577977
(주)광무,29480,Dec-19,36483979,39307761,36140360,25244176,33233586,32525952
(주)광주신세계,37710,Dec-11,,,,219613514,260854658,66163614
(주)광주신세계,37710,Dec-12,,,,213803173,287723501,65950254
(주)광주신세계,37710,Dec-13,,,,206606675,25873334,145034010
(주)광주신세계,37710,Dec-14,,,,204820461,24561635,100591603
(주)광주신세계,37710,Dec-15,,,,205331892,33510638,167220829
(주)광주신세계,37710,Dec-16,,,,210423594,32426270,120554131
(주)광주신세계,37710,Dec-17,,,,209647360,33243825,74984335
(주)광주신세계,37710,Dec-18,,,,135213362,77504431,74818605
(주)광주신세계,37710,Dec-19,,,,154879496,103160925,75664224
(주)구영테크,53270,Dec-11,147832315,58842369,104279859,62527619,40821654,60331304
(주)구영테크,53270,Dec-12,155788988,66346373,115585365,65451015,48964877,72155820
(주)구영테크,53270,Dec-13,172747316,53694228,89109382,76282590,36391962,57510219
(주)구영테크,53270,Dec-14,170528694,57115595,79347724,77799749,40628726,48915659
(주)구영테크,53270,Dec-15,172083049,58836903,68834054,87109177,41055597,39444816
(주)구영테크,53270,Dec-16,148301597,54139890,67161561,75320433,39434041,37678727
(주)구영테크,53270,Dec-17,149833357,64140319,81848867,74298129,52077454,56414032
(주)구영테크,53270,Dec-18,195238339,60744298,75014258,81928926,43158029,43472159
(주)구영테크,53270,Dec-19,230853336,70165074,89345198,93132845,37519675,46819127
(주)국동,5320,Dec-11,154293577,39415062,55840092,100097439,22715717,39383056
(주)국동,5320,Dec-12,138172746,39351863,49512946,91524436,17991148,32784070
(주)국동,5320,Dec-13,147860227,48642552,51305589,95716049,24414342,33963447
(주)국동,5320,Dec-14,186086561,60454108,43845038,117861978,36105772,30973623
(주)국동,5320,Dec-15,170296068,63906154,44926359,102431161,34533151,36237475
(주)국동,5320,Dec-16,197368723,83256355,47910562,127275873,51330735,30079724
(주)국동,5320,Dec-17,191602989,66343830,48234584,130016453,39587109,32582779
(주)국동,5320,Dec-18,219550054,83767312,63170690,136811631,46980024,38965464
(주)국동,5320,Dec-19,223077183,89543258,42862482,116180044,54839302,25921567
(주)국보,1140,Dec-11,130636214,41337436,54216640,118304924,39894724,53436541
(주)국보,1140,Dec-12,122343037,39130945,53242160,109183947,36506928,51610685
(주)국보,1140,Dec-13,117073443,37418409,55559279,108994114,35691910,54445568
(주)국보,1140,Dec-14,97520169,31669967,55303602,89859741,30298511,54035255
(주)국보,1140,Dec-15,91618545,26759792,52453525,85267457,25758664,51329699
(주)국보,1140,Dec-16,87333326,26046898,54893083,77773715,24610414,53668775
(주)국보,1140,Dec-17,78255522,18529522,45812874,74662255,17793062,44683851
(주)국보,1140,Dec-18,71549828,11759027,28126737,66929948,11593846,27888972
(주)국보,1140,Dec-19,89087334,70457619,75280895,58296078,17297097,36694538
(주)국보디자인,66620,Dec-11,130689686,59455203,31069394,123203000,57200948,29769233
(주)국보디자인,66620,Dec-12,119402993,74341481,34306810,118458574,72788158,33598419
(주)국보디자인,66620,Dec-13,163518536,102871707,59554141,153216189,95233392,54303853
(주)국보디자인,66620,Dec-14,176373907,106963249,54113739,158268803,99218627,51738972
(주)국보디자인,66620,Dec-15,192608497,107093318,54622328,157657615,96703601,50472332
(주)국보디자인,66620,Dec-16,201410031,128985094,66972237,191620729,118586463,66004387
(주)국보디자인,66620,Dec-17,270658405,135628503,61606792,262522024,127549210,60446916
(주)국보디자인,66620,Dec-18,254259835,142346121,62027834,231093439,127871195,53791955
(주)국보디자인,66620,Dec-19,269005976,194818591,94320054,237054909,169956490,80917421
(주)국순당,43650,Dec-11,127686247,82405755,16472336,124279594,77580053,15617190
(주)국순당,43650,Dec-12,118697826,87400525,13830374,115146725,81287902,12855993
(주)국순당,43650,Dec-13,99173525,100545624,13705357,96140591,84404848,11998667
(주)국순당,43650,Dec-14,91863604,99291581,14219171,89173752,86268346,13596481
(주)국순당,43650,Dec-15,77443124,97221146,10740663,74955341,82905503,11430600
(주)국순당,43650,Dec-16,69701266,85261001,10786059,68425801,71906088,9512046
(주)국순당,43650,Dec-17,62761236,86651908,12226432,60087461,75544356,10643502
(주)국순당,43650,Dec-18,61496072,72906719,11783237,52679104,62941465,10033456
(주)국순당,43650,Dec-19,102095769,78834555,33853250,48045002,60930981,6655759
(주)국영지앤엠,6050,Dec-11,,,,42569848,25252313,16858375
(주)국영지앤엠,6050,Dec-12,,,,43781593,21149484,6229917
(주)국영지앤엠,6050,Dec-13,,,,55789778,25059260,12262531
(주)국영지앤엠,6050,Dec-14,,,,51491847,22615829,7438655
(주)국영지앤엠,6050,Dec-15,,,,40107647,27918404,12570854
(주)국영지앤엠,6050,Dec-16,,,,51456556,29575531,11692874
(주)국영지앤엠,6050,Dec-17,,,,62861661,29995395,11239458
(주)국영지앤엠,6050,Dec-18,,,,56301480,25138635,8586831
