회사명,거래소코드,회계년도,유동자산(IFRS연결),유동부채(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),유동부채(IFRS개별),자산(IFRS개별)
(주)국보,1140,Dec-19,70457619,75280895,115356448,17297097,36694538,57467353
(주)국보디자인,66620,Dec-11,59455203,31069394,80200900,57200948,29769233,79203327
(주)국보디자인,66620,Dec-12,74341481,34306810,92877548,72788158,33598419,92873298
(주)국보디자인,66620,Dec-13,102871707,59554141,127902185,95233392,54303853,121964092
(주)국보디자인,66620,Dec-14,106963249,54113739,132011877,99218627,51738972,125685773
(주)국보디자인,66620,Dec-15,107093318,54622328,141089858,96703601,50472332,129037954
(주)국보디자인,66620,Dec-16,128985094,66972237,158452485,118586463,66004387,150830570
(주)국보디자인,66620,Dec-17,135628503,61606792,164381715,127549210,60446916,158317679
(주)국보디자인,66620,Dec-18,142346121,62027834,175036784,127871195,53791955,161750972
(주)국보디자인,66620,Dec-19,194818591,94320054,222514980,169956490,80917421,197762410
(주)국순당,43650,Dec-11,82405755,16472336,199135153,77580053,15617190,193849294
(주)국순당,43650,Dec-12,87400525,13830374,209729554,81287902,12855993,203489729
(주)국순당,43650,Dec-13,100545624,13705357,218115221,84404848,11998667,203199593
(주)국순당,43650,Dec-14,99291581,14219171,217479839,86268346,13596481,205782935
(주)국순당,43650,Dec-15,97221146,10740663,216587928,82905503,11430600,203528460
(주)국순당,43650,Dec-16,85261001,10786059,213004831,71906088,9512046,200077411
(주)국순당,43650,Dec-17,86651908,12226432,242199755,75544356,10643502,208832133
(주)국순당,43650,Dec-18,72906719,11783237,238619493,62941465,10033456,221229658
(주)국순당,43650,Dec-19,78834555,33853250,252484287,60930981,6655759,210006510
(주)국영지앤엠,6050,Dec-11,,,,25252313,16858375,61022765
(주)국영지앤엠,6050,Dec-12,,,,21149484,6229917,60197670
(주)국영지앤엠,6050,Dec-13,,,,25059260,12262531,63108054
(주)국영지앤엠,6050,Dec-14,,,,22615829,7438655,58995756
(주)국영지앤엠,6050,Dec-15,,,,27918404,12570854,63713392
(주)국영지앤엠,6050,Dec-16,,,,29575531,11692874,65670915
(주)국영지앤엠,6050,Dec-17,,,,29995395,11239458,66101002
