회사명,거래소코드,회계년도,유동자산(IFRS연결),자산(IFRS연결),유동자산(IFRS개별),자산(IFRS개별)
(주)금양,1570,Dec-12,69850864,127557393,46841743,127197484
(주)금양,1570,Dec-13,90828722,147115126,60939478,142485295
(주)금양,1570,Dec-14,111767170,160244911,57627190,145135554
(주)금양,1570,Dec-15,116881516,165405931,63905239,157467543
(주)금양,1570,Dec-16,92604838,178901902,61611949,174953809
(주)금양,1570,Dec-17,130477254,196084032,58591469,167120998
(주)금양,1570,Dec-18,129420730,204777156,48188432,155507052
(주)금양,1570,Dec-19,130285368,224222540,61997758,171931897
(주)금호에이치티,214330,Dec-15,86522457,123875646,80694020,109367040
(주)금호에이치티,214330,Dec-16,90849794,156606980,92744392,151786975
(주)금호에이치티,214330,Dec-17,88316450,150164495,89724027,146407321
(주)금호에이치티,214330,Dec-18,155547300,238380056,138884192,230268876
(주)금호에이치티,214330,Dec-19,204929138,322078193,183830342,314666069
(주)금화피에스시,36190,Dec-11,,,65271945,94174014
(주)금화피에스시,36190,Dec-12,,,73807483,105483370
(주)금화피에스시,36190,Dec-13,89606593,142932108,78244379,135180701
(주)금화피에스시,36190,Dec-14,92403274,158057524,76794467,146360964
(주)금화피에스시,36190,Dec-15,121277555,189001800,103478978,175086217
(주)금화피에스시,36190,Dec-16,144728651,215036137,126330610,197557790
(주)금화피에스시,36190,Dec-17,158082025,231639148,141168180,216252318
(주)금화피에스시,36190,Dec-18,178015924,262516457,157919642,242310750
(주)금화피에스시,36190,Dec-19,184009183,281692946,152061849,255149491
(주)기가레인,49080,Dec-13,52670777,122523850,52867551,122926340
(주)기가레인,49080,Dec-14,42916021,131923500,42277551,133237615
(주)기가레인,49080,Dec-15,45758661,151757532,42133622,148551434
(주)기가레인,49080,Dec-16,46144283,155732003,43016521,152639799
(주)기가레인,49080,Dec-17,72343064,181628353,69139156,179756049
(주)기가레인,49080,Dec-18,97225166,179113947,93687799,176296022
(주)기가레인,49080,Dec-19,60133834,117798198,60124344,115539385
(주)기산텔레콤,35460,Dec-11,55476277,86259438,36475109,59416681
(주)기산텔레콤,35460,Dec-12,55620433,73234520,25695937,46588431
(주)기산텔레콤,35460,Dec-13,63696575,78811114,36537435,57254925
(주)기산텔레콤,35460,Dec-14,64834230,78052777,35605455,54284156
(주)기산텔레콤,35460,Dec-15,64461290,76012528,37184206,53901387
(주)기산텔레콤,35460,Dec-16,62942880,74209973,31145919,47117435
(주)기산텔레콤,35460,Dec-17,58352347,70137339,29268094,44554117
(주)기산텔레콤,35460,Dec-18,46536756,56180491,23094786,34219394
(주)기산텔레콤,35460,Dec-19,49053647,66789756,22585911,40025881
(주)까뮤이앤씨,13700,Dec-11,,,76964607,248885092
(주)까뮤이앤씨,13700,Dec-12,,,119571783,203481478
(주)까뮤이앤씨,13700,Dec-13,,,109233863,167635146
(주)까뮤이앤씨,13700,Dec-14,,,34559227,129647729
