회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원)
(주)디아크,78590,Dec-11,,,36339241,31119367
(주)디알비동일,4840,Dec-10,389699028,300303350,272500219,217676578
(주)디알비동일,4840,Dec-11,505919694,404961698,338846704,267002491
(주)디에스앤엘,141020,Dec-10,,,30853960,22849991
(주)디에스앤엘,141020,Dec-11,,,49498638,36310839
(주)디에스케이,109740,Dec-10,44589981,38351211,44589981,38351211
(주)디에스케이,109740,Dec-11,37945005,30730110,37457285,30372389
(주)디에이테크놀로지,196490,Dec-10,,,,
(주)디에이테크놀로지,196490,Dec-11,,,,
(주)디에이피,66900,Dec-10,,,180690213,164016944
(주)디에이피,66900,Dec-11,,,212427333,207287246
(주)디엔에이링크,127120,Dec-10,,,6336070,3960185
(주)디엔에이링크,127120,Dec-11,,,9150508,5588349
(주)디엔에프,92070,Dec-10,,,12775485,4499763
(주)디엔에프,92070,Dec-11,,,25329505,14824294
(주)디엔오토모티브,7340,Dec-10,477868220,398942713,335003550,294444113
(주)디엔오토모티브,7340,Dec-11,562794298,467572065,377329347,336856979
(주)디엠에스,68790,Dec-10,264727218,203885783,262780312,203618141
(주)디엠에스,68790,Dec-11,230196160,178184508,227055326,177314394
(주)디오,39840,Dec-10,47558743,27134520,51198194,28656192
(주)디오,39840,Dec-11,51256033,21216906,50140272,20450928
(주)디이엔티,79810,Dec-10,,,61454978,53875945
(주)디이엔티,79810,Dec-11,,,45089545,41898759
(주)디지아이,43360,Dec-10,44089641,33173049,37434962,26921832
(주)디지아이,43360,Dec-11,,,26955616,19737836
(주)디지털대성,68930,Dec-10,,,29533286,20572998
(주)디지털대성,68930,Dec-11,,,49919903,32518852
(주)디지틀조선일보,33130,Dec-10,36913335,28886992,35930758,29091807
(주)디지틀조선일보,33130,Dec-11,41082372,30879208,39539534,31082464
(주)디케이앤디,263020,Dec-10,,,,
(주)디케이앤디,263020,Dec-11,,,,
(주)디티앤씨,187220,Dec-10,,,,
(주)디티앤씨,187220,Dec-11,,,,
(주)딜리,131180,Dec-10,29250182,17589951,29250182,17589951
(주)딜리,131180,Dec-11,28938214,18639806,29300804,18950329
(주)라온테크,232680,Dec-11,,,,
(주)라이온켐텍,171120,Dec-10,,,62309584,50418440
(주)라이온켐텍,171120,Dec-11,,,80121191,61993361
(주)라이트론,69540,Dec-10,29820522,23364091,29130321,23989212
(주)라이트론,69540,Dec-11,37556589,30920004,36933511,32452824
(주)락앤락,115390,Dec-10,386241700,186311652,228014984,138778369
(주)락앤락,115390,Dec-11,476113628,240887611,214466442,127649236
(주)랩지노믹스,84650,Dec-10,,,,
(주)랩지노믹스,84650,Dec-11,,,,
(주)레고켐바이오사이언스,141080,Dec-10,,,270245,261315
(주)레고켐바이오사이언스,141080,Dec-11,,,78887,25882
(주)레드로버,60300,Dec-10,,,28244177,15244405
(주)레드로버,60300,Dec-11,,,31267795,21311269
(주)레드캡투어,38390,Dec-10,118383374,74510095,117951064,74510095
(주)레드캡투어,38390,Dec-11,139511147,81083323,138906369,81083323
(주)레이언스,228850,Dec-11,,,23967192,17896510
(주)로보스타,90360,Dec-10,85132077,68158231,83081977,67345225
(주)로보스타,90360,Dec-11,96836013,79307365,93766706,77390714
(주)로지시스,67730,Dec-10,,,,
(주)로지시스,67730,Dec-11,,,,
(주)루멘스,38060,Dec-10,249083674,203572089,245890273,200311720
(주)루멘스,38060,Dec-11,344858086,288893695,339508875,306130557
(주)루트로닉,85370,Dec-10,41453713,18467424,37861401,17991275
(주)루트로닉,85370,Dec-11,41972163,22942501,41002923,23508562
(주)룽투코리아,60240,Dec-10,17712166,3208064,16286461,3278501
(주)룽투코리아,60240,Dec-11,21050152,3227472,17940815,3079225
(주)리노스,39980,Dec-10,,,83550737,48975655
(주)리노스,39980,Dec-11,,,72102757,35657405
(주)리더스코스메틱,16100,Dec-10,,,39493114,34173939
(주)리더스코스메틱,16100,Dec-11,,,45125421,38939714
(주)리드,197210,Dec-11,,,,
(주)리드코프,12700,Dec-10,175298669,104656052,175298669,104656052
(주)리드코프,12700,Dec-11,216473826,130889285,214783920,130361511
(주)링네트,42500,Dec-10,61384915,51675877,60463833,51117655
(주)링네트,42500,Dec-11,71792624,61238976,70494235,60269517
(주)마니커,27740,Dec-10,345570633,310526684,295429414,266577306
(주)마니커,27740,Dec-11,370785440,335965425,313093727,287306900
(주)마니커에프앤지,195500,Dec-10,,,,
(주)마니커에프앤지,195500,Dec-11,,,,
(주)마이크로컨텍솔루션,98120,Dec-10,,,17529163,11619890
(주)마이크로컨텍솔루션,98120,Dec-11,,,27052583,17772878
(주)마이크로프랜드,147760,Dec-10,,,,
(주)마이크로프랜드,147760,Dec-11,,,,
(주)마크로밀엠브레인,169330,Dec-10,,,,
(주)마크로밀엠브레인,169330,Dec-11,,,,
(주)마크로젠,38290,Dec-10,23868763,13266863,23156727,12879363
(주)마크로젠,38290,Dec-11,32381716,17226888,30736857,16292486
(주)매직마이크로,127160,Dec-10,,,,
(주)매직마이크로,127160,Dec-11,,,,
(주)매커스,93520,Dec-10,52458436,39956864,51302890,39633070
(주)매커스,93520,Dec-11,49722631,38002635,48898267,37528894
(주)머큐리,100590,Dec-10,,,61273264,53789978
(주)머큐리,100590,Dec-11,,,63911759,55831771
(주)멀티캠퍼스,67280,Dec-10,,,53508864,36926659
(주)멀티캠퍼스,67280,Dec-11,,,63127891,42429465
(주)메디아나,41920,Dec-10,,,,
(주)메디아나,41920,Dec-11,,,,
(주)메디콕스,54180,Jun-10,,,22487867,18678523
(주)메디콕스,54180,Jun-11,,,21843054,16734689
(주)메디톡스,86900,Dec-10,,,21087599,2212568
(주)메디톡스,86900,Dec-11,,,21704289,2722461
(주)메디프론디비티,65650,Dec-10,,,13194348,10833643
(주)메디프론디비티,65650,Dec-11,,,13231774,10701393
(주)메지온,140410,Dec-10,,,24252706,0
(주)메지온,140410,Dec-11,,,5066518,0
(주)메카로,241770,Dec-11,,,,
(주)메타랩스,90370,Dec-10,137640718,51345985,124493331,49599956
(주)메타랩스,90370,Dec-11,151702805,54697783,130127435,50415936
(주)메타바이오메드,59210,Dec-10,23978703,12005523,23309340,11863070
(주)메타바이오메드,59210,Dec-11,27091760,14069864,25201037,13588241
(주)멜파스,96640,Dec-10,,,251738876,195296434
(주)멜파스,96640,Dec-11,,,256242465,219522044
(주)모나리자,12690,Dec-10,,,117552626,92150304
(주)모나리자,12690,Dec-11,,,121931365,93815507
(주)모나미,5360,Dec-10,281475117,230044472,219739538,188382883
