회사명,거래소코드,회계년도,매출액(IFRS연결),매입채무(IFRS연결),매출액(IFRS개별),매입채무(IFRS개별)
(주)금양,1570,Dec-11,109810009,9611729,100918699,11292216
(주)금양,1570,Dec-12,122905331,3926125,108275608,7695740
(주)금양,1570,Dec-13,156304448,5741119,132045280,5976994
(주)금양,1570,Dec-14,158550531,8947725,137946044,17029437
(주)금양,1570,Dec-15,158999533,12758216,152450369,23859065
(주)금양,1570,Dec-16,168681746,6438681,161001876,19898986
(주)금양,1570,Dec-17,180373683,10692226,150809075,22335662
(주)금양,1570,Dec-18,205441375,11325477,151676398,9781259
(주)금양,1570,Dec-19,172723864,7452849,135915020,4179449
(주)금호에이치티,214330,Dec-15,203071984,6701119,181779820,3329382
(주)금호에이치티,214330,Dec-16,208574892,15487400,189733826,11373526
(주)금호에이치티,214330,Dec-17,179707629,14597412,165485490,9884535
(주)금호에이치티,214330,Dec-18,209260006,28049547,189250383,22000676
(주)금호에이치티,214330,Dec-19,251095062,28762189,221734443,21828406
(주)금화피에스시,36190,Dec-11,,,82738193,716359
(주)금화피에스시,36190,Dec-12,,,108224285,688993
(주)금화피에스시,36190,Dec-13,166122419,1298479,156630832,1267570
(주)금화피에스시,36190,Dec-14,189631759,3797811,166948026,1657800
(주)금화피에스시,36190,Dec-15,235969690,6898513,196919865,4965044
(주)금화피에스시,36190,Dec-16,235018376,3780477,201547339,1618413
(주)금화피에스시,36190,Dec-17,205781841,2645224,174993150,1099963
(주)금화피에스시,36190,Dec-18,233326733,2803078,202098199,1560106
(주)금화피에스시,36190,Dec-19,209435314,2789668,179177462,1484754
(주)기가레인,49080,Dec-13,94791934,6817425,94055571,6769170
(주)기가레인,49080,Dec-14,95718992,2330559,95460665,2374495
(주)기가레인,49080,Dec-15,61576391,3343295,61254807,3558157
(주)기가레인,49080,Dec-16,75445071,9746198,70397030,8721409
(주)기가레인,49080,Dec-17,100131227,8641414,89874499,7430901
(주)기가레인,49080,Dec-18,124772205,17417283,114668638,16847353
(주)기가레인,49080,Dec-19,72769411,7445667,63361399,8010905
(주)기산텔레콤,35460,Dec-11,65679195,12252384,36332290,8132593
(주)기산텔레콤,35460,Dec-12,74315907,6101795,49240507,3193987
(주)기산텔레콤,35460,Dec-13,79463728,16168788,48367030,12453803
(주)기산텔레콤,35460,Dec-14,74512326,15434710,41612762,9216888
(주)기산텔레콤,35460,Dec-15,79710503,13126493,45712905,9852117
(주)기산텔레콤,35460,Dec-16,59172319,9167075,24679656,5948948
(주)기산텔레콤,35460,Dec-17,63467585,0,29568090,5839010
(주)기산텔레콤,35460,Dec-18,56445716,5733408,24864346,2071958
(주)기산텔레콤,35460,Dec-19,67054955,5234405,30545683,1943020
(주)까뮤이앤씨,13700,Dec-11,,,90048208,29736224
(주)까뮤이앤씨,13700,Dec-12,,,90976586,12960940
(주)까뮤이앤씨,13700,Dec-13,,,83568532,10483814
(주)까뮤이앤씨,13700,Dec-14,,,123567918,25686269
(주)까뮤이앤씨,13700,Dec-15,,,132370311,20961185
(주)까뮤이앤씨,13700,Dec-16,,,139708060,27311849
(주)까뮤이앤씨,13700,Dec-17,,,172176860,25035486
(주)까뮤이앤씨,13700,Dec-18,,,116296828,26777840
(주)까뮤이앤씨,13700,Dec-19,,,283420655,19563920
(주)까스텔바작,308100,Dec-19,81358617,1729345,81068234,1729345
(주)나노,187790,Dec-14,,,,
(주)나노,187790,Dec-15,29901810,11412694,14881694,714808
(주)나노,187790,Dec-16,48175171,5612657,18480121,1253183
(주)나노,187790,Dec-17,73089292,6878542,29944292,449659
(주)나노,187790,Dec-18,81942719,12861535,34238747,1848015
(주)나노,187790,Dec-19,73694955,6164411,38421023,2334663
(주)나노브릭,286750,Dec-19,7775408,254159,7775408,254159
(주)나노신소재,121600,Dec-11,33480756,93469,33480756,93469
(주)나노신소재,121600,Dec-12,23644347,137496,23644347,137496
(주)나노신소재,121600,Dec-13,27009014,267583,26827489,267583
