회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원)
(주)광주신세계,037710,2013/12,57337481,-274884013,178012700,,,
(주)광주신세계,037710,2014/12,50217757,-5467556,-46400000,,,
(주)광주신세계,037710,2015/12,52123039,-5629270,-37800000,,,
(주)광주신세계,037710,2016/12,50122658,-9172921,-51100000,,,
(주)광주신세계,037710,2017/12,51294766,-3587726,-47300000,,,
(주)광주신세계,037710,2018/12,53868560,-658704,-7600000,,,
(주)광주신세계,037710,2019/12,74340570,-55381469,-6454534,,,
(주)구영테크,053270,2011/12,299063,-7112406,6345301,1574250,-9334663,6137278
(주)구영테크,053270,2012/12,3400845,-12928824,9932859,11791408,-19332088,11106851
(주)구영테크,053270,2013/12,6156243,7208450,-12762285,11048296,2200348,-14348608
(주)구영테크,053270,2014/12,-1477205,-475784,1527247,3399363,-7627163,3862049
(주)구영테크,053270,2015/12,9373875,-4054529,-891795,17308908,-9701693,-2938134
(주)구영테크,053270,2016/12,12368645,-10098787,-2372449,19282164,-16813216,-2911666
(주)구영테크,053270,2017/12,3339453,-21760013,23844022,5515131,-23239804,22758861
(주)구영테크,053270,2018/12,-2316059,-14236839,8738342,3263344,-19303224,7721502
(주)구영테크,053270,2019/12,9760503,-5659531,-3377680,7656129,-6494849,573062
(주)국동,005320,2011/12,-547564,-101794,1182158,-963482,-563056,1249978
(주)국동,005320,2012/12,2881390,-1294262,-2518287,4976107,-802263,-3697858
(주)국동,005320,2013/12,-1572579,264854,1560069,-2405589,-1008688,43744
(주)국동,005320,2014/12,-1689994,-1656764,8318267,-12910,-4423508,9356588
(주)국동,005320,2015/12,1327414,-9860769,3489419,3908416,-3399517,1703029
(주)국동,005320,2016/12,-2263482,-3327326,13295612,747703,-15940624,17156098
(주)국동,005320,2017/12,-3177835,-357799,-2455819,-6827943,-4410422,3011233
(주)국동,005320,2018/12,-4000973,3111773,-1021785,-3944667,1472014,791350
(주)국동,005320,2019/12,9576372,-30786612,24274685,3901005,-23961325,24263642
(주)국보,001140,2011/12,2837703,784698,-3206294,3249944,961955,-3806294
(주)국보,001140,2012/12,-3331024,-1146905,4463114,-3613866,-1274126,5433114
(주)국보,001140,2013/12,3388938,-4284683,741500,2809735,-3656970,224500
(주)국보,001140,2014/12,54417,573563,-564587,-238084,604389,-314587
(주)국보,001140,2015/12,-691347,3006756,-2474763,-837022,3057463,-2424763
(주)국보,001140,2016/12,175508,606081,-851656,507314,194932,-811656
(주)국보,001140,2017/12,-2767209,-753184,4309295,-3103505,-531778,4309295
(주)국보,001140,2018/12,-5954554,20506005,-15204967,-6078157,20673339,-15204967
(주)국보,001140,2019/12,-6376380,-9888438,18504664,-9899692,-2963513,17704213
(주)국보디자인,066620,2011/12,17106438,-12284777,-2700749,15461768,-9687267,-2534452
