회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(이자비용)(IFRS연결),이보배,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,09-Dec,4.97,7.66,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,10-Dec,9.81,14.98,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,11-Dec,10.86,22.28,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,12-Dec,6.25,15.43,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,13-Dec,7.48,15.81,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,14-Dec,11.16,24.59,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,15-Dec,28.34,64.83,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,16-Dec,33.33,83.64,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,17-Dec,27.12,53.72,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,18-Dec,25.87,62.3,,,,,,,,,,,,,,,,,,,,,
(주)가비아,79940,19-Dec,19.48,34.25,,,,,,,,,,,,,,,,,,,,,
(주)가온칩스,399720,18-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)가온칩스,399720,19-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,13-Dec,,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,14-Dec,-117.8,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,15-Dec,-5.41,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,16-Dec,-18.89,,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,17-Dec,-7.93,-8.15,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,18-Dec,-11.95,-12.31,,,,,,,,,,,,,,,,,,,,,
(주)강스템바이오텍,217730,19-Dec,-23.34,-21.5,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,Dec-00,,,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,01-Dec,334.55,,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,02-Dec,627.87,,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,03-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,04-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,05-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,06-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,07-Dec,999999999,,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,08-Dec,132088.08,,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,09-Dec,32608.62,32512.3,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,10-Dec,999999999,2546.99,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,11-Dec,1173.14,1142.61,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,12-Dec,643.6,565.68,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,13-Dec,1460.36,1421.81,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,14-Dec,2126.84,2073.72,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,15-Dec,2661.2,2623.81,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,16-Dec,2743.01,836.02,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,17-Dec,2717.07,2241.82,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,18-Dec,2008.39,1834.66,,,,,,,,,,,,,,,,,,,,,
(주)강원랜드,35250,19-Dec,276.34,255.56,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,Nov-00,,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,01-Nov,1.35,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,02-Nov,16.82,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,03-Nov,11.94,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,04-Nov,-5.42,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,05-Nov,-82.13,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,06-Nov,69.76,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,07-Nov,241.72,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,08-Nov,569.29,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,09-Nov,514.44,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,10-Nov,438.92,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,11-Nov,376.82,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,12-Dec,58.37,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,13-Dec,18.11,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,14-Dec,39.01,,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,15-Dec,762.26,187.51,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,16-Dec,-166.17,-241.54,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,17-Dec,-89.84,-26.56,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,18-Dec,0.35,0.2,,,,,,,,,,,,,,,,,,,,,
(주)강원에너지,114190,19-Dec,-9.33,-8.38,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,Dec-00,1.2,,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,01-Dec,1.19,,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,02-Dec,-0.82,,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,03-Dec,0.27,,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,04-Dec,-5.46,,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,05-Dec,-1.7,,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,06-Dec,0.13,,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,07-Dec,2.01,,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,08-Dec,4.1,,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,09-Dec,1.94,,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,10-Dec,4.45,0.74,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,11-Dec,3.37,6.31,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,12-Dec,3.15,3.79,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,13-Dec,2.26,1.9,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,14-Dec,-1.41,-0.88,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,15-Dec,9.86,5.69,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,16-Dec,-18.56,-18.76,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,17-Dec,-33.36,-35.52,,,,,,,,,,,,,,,,,,,,,
(주)갤럭시아에스엠,11420,18-Dec,-102.12,-157.86,,,,,,,,,,,,,,,,,,,,,
