회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류)
(주)골프존뉴딘홀딩스,121440,2011/12,209788389,101810790,215793737,100364106,도매 및 상품 중개업
(주)골프존뉴딘홀딩스,121440,2012/12,276341690,119729808,289629366,131624220,도매 및 상품 중개업
(주)골프존뉴딘홀딩스,121440,2013/12,340005073,153062630,365126358,186981066,도매 및 상품 중개업
(주)골프존뉴딘홀딩스,121440,2014/12,387066126,171180827,429589619,219364035,도매 및 상품 중개업
(주)골프존뉴딘홀딩스,121440,2015/12,29389093,7714195,164536448,109081059,도매 및 상품 중개업
(주)골프존뉴딘홀딩스,121440,2016/12,27652102,512580,243275475,126201483,도매 및 상품 중개업
(주)골프존뉴딘홀딩스,121440,2017/12,23499543,681186,213756902,112978779,도매 및 상품 중개업
(주)골프존뉴딘홀딩스,121440,2018/12,16100354,630040,223036801,129202466,도매 및 상품 중개업
(주)골프존뉴딘홀딩스,121440,2019/12,26897482,25361094,228935651,140609926,도매 및 상품 중개업
(주)광림,014200,2011/12,106495363,89277042,,,자동차 및 트레일러 제조업
(주)광림,014200,2012/12,85322569,74514327,,,자동차 및 트레일러 제조업
(주)광림,014200,2013/12,103442134,89450125,,,자동차 및 트레일러 제조업
(주)광림,014200,2014/12,92553612,79081364,231446314,175450887,자동차 및 트레일러 제조업
(주)광림,014200,2015/12,237222890,178239093,,,자동차 및 트레일러 제조업
(주)광림,014200,2016/12,87302967,75002299,87302967,75002299,자동차 및 트레일러 제조업
(주)광림,014200,2017/12,99421336,84130277,135191558,131160374,자동차 및 트레일러 제조업
(주)광림,014200,2018/12,75493055,62505909,136595300,122536264,자동차 및 트레일러 제조업
(주)광림,014200,2019/12,93241157,78615222,145864184,134964602,자동차 및 트레일러 제조업
(주)광명전기,017040,2011/12,57967857,51994278,92382628,81102005,전기장비 제조업
(주)광명전기,017040,2012/12,79318302,70522943,117216514,102591227,전기장비 제조업
(주)광명전기,017040,2013/12,90344376,76118777,117852824,98728241,전기장비 제조업
(주)광명전기,017040,2014/12,115801471,100019085,134778387,114780200,전기장비 제조업
(주)광명전기,017040,2015/12,93000177,83525805,116316957,98659704,전기장비 제조업
(주)광명전기,017040,2016/12,96931493,87560184,96942911,87732377,전기장비 제조업
(주)광명전기,017040,2017/12,105083042,95422477,101561159,92454439,전기장비 제조업
(주)광명전기,017040,2018/12,96949804,87318774,114110654,103304003,전기장비 제조업
(주)광명전기,017040,2019/12,125009206,111565450,131864294,117038701,전기장비 제조업
(주)광무,029480,2011/12,50359203,40419633,51755052,42251012,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2012/12,40406860,33220101,41178683,33757502,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2013/12,10105219,10221619,20534276,22621739,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2014/12,38409667,31532738,,,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2015/12,17648493,13652964,,,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2016/12,26429957,21752231,,,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2017/12,21540953,17503183,,,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2018/12,20707286,17118006,23074941,17769834,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광무,029480,2019/12,25244176,20873726,36483979,21870776,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)광주신세계,037710,2011/12,219613514,80698060,,,소매업; 자동차 제외
(주)광주신세계,037710,2012/12,213803173,76996157,,,소매업; 자동차 제외
(주)광주신세계,037710,2013/12,206606675,73016518,,,소매업; 자동차 제외
(주)광주신세계,037710,2014/12,204820461,71460629,,,소매업; 자동차 제외
(주)광주신세계,037710,2015/12,205331892,67952823,,,소매업; 자동차 제외
(주)광주신세계,037710,2016/12,210423594,69014284,,,소매업; 자동차 제외
(주)광주신세계,037710,2017/12,209647360,68619341,,,소매업; 자동차 제외
(주)광주신세계,037710,2018/12,135213362,17733154,,,소매업; 자동차 제외
(주)광주신세계,037710,2019/12,154879496,18569711,,,소매업; 자동차 제외
(주)구영테크,053270,2011/12,62527619,50904676,147832315,129730219,자동차 및 트레일러 제조업
(주)구영테크,053270,2012/12,65451015,53454413,155788988,134266189,자동차 및 트레일러 제조업
(주)구영테크,053270,2013/12,76282590,63114137,172747316,150485036,자동차 및 트레일러 제조업
(주)구영테크,053270,2014/12,77799749,64482528,170528694,148057799,자동차 및 트레일러 제조업
(주)구영테크,053270,2015/12,87109177,72768430,172083049,146639036,자동차 및 트레일러 제조업
(주)구영테크,053270,2016/12,75320433,61393389,148301597,125781105,자동차 및 트레일러 제조업
