회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS)
(주)나이스홀딩스,34310,13-Dec,8548366,320113373
(주)나이스홀딩스,34310,14-Dec,8735163,324733065
(주)나이스홀딩스,34310,15-Dec,6822102,310980541
(주)나이스홀딩스,34310,16-Dec,18359912,325078660
(주)나이스홀딩스,34310,17-Dec,5118791,325609688
(주)나이스홀딩스,34310,18-Dec,-16465295,336349524
(주)나이스홀딩스,34310,19-Dec,5118265,334729120
(주)나인테크,267320,17-Dec,,
(주)나인테크,267320,18-Dec,,
(주)나인테크,267320,19-Dec,,
(주)남선알미늄,8350,11-Dec,-2024012,43707424
(주)남선알미늄,8350,12-Dec,-16536943,61332987
(주)남선알미늄,8350,13-Dec,9655705,70827736
(주)남선알미늄,8350,14-Dec,17604236,87467921
(주)남선알미늄,8350,15-Dec,14881686,103068147
(주)남선알미늄,8350,16-Dec,20399638,122569267
(주)남선알미늄,8350,17-Dec,21742400,147809531
(주)남선알미늄,8350,18-Dec,25376157,168875400
(주)남선알미늄,8350,19-Dec,8338512,176357497
(주)남성,4270,11-Dec,2680768,80448918
(주)남성,4270,12-Dec,1286317,81342149
(주)남성,4270,13-Dec,1381106,81514206
(주)남성,4270,14-Dec,-700522,80188502
(주)남성,4270,15-Dec,1848869,82206186
(주)남성,4270,16-Dec,1360255,74053481
(주)남성,4270,17-Dec,1354923,87590384
(주)남성,4270,18-Dec,-3506408,83103125
(주)남성,4270,19-Dec,-2135357,86166403
(주)내츄럴엔도텍,168330,13-Dec,19279883,50779888
(주)내츄럴엔도텍,168330,14-Dec,20760517,71648115
(주)내츄럴엔도텍,168330,15-Dec,-16896629,49082284
(주)내츄럴엔도텍,168330,16-Dec,-12887062,46208860
(주)내츄럴엔도텍,168330,17-Dec,-9645005,45760762
(주)내츄럴엔도텍,168330,18-Dec,-16506112,34261443
(주)내츄럴엔도텍,168330,19-Dec,-15322638,18938805
(주)네오리진,94860,11-Dec,667150,23488831
(주)네오리진,94860,12-Dec,-2791896,26662888
(주)네오리진,94860,13-Dec,-12396768,22428980
(주)네오리진,94860,14-Dec,-18212371,11993150
(주)네오리진,94860,15-Dec,-3377781,10969912
(주)네오리진,94860,16-Dec,674598,11809547
(주)네오리진,94860,17-Dec,218915,14601651
(주)네오리진,94860,18-Dec,-3781297,11789790
(주)네오리진,94860,19-Dec,-2726564,10818182
(주)네오셈,253590,18-Dec,,
(주)네오셈,253590,19-Dec,-1740980,37019001
(주)네오오토,212560,15-Dec,7651072,61349142
(주)네오오토,212560,16-Dec,7883058,69048419
(주)네오오토,212560,17-Dec,4135626,72509574
