회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),,,,
(주)국영지앤엠,6050,12-Dec,-4.57,,,,,
(주)국영지앤엠,6050,13-Dec,2.35,,,,,
(주)국영지앤엠,6050,14-Dec,5.13,,,,,
(주)국영지앤엠,6050,15-Dec,-15.79,,,,,
(주)국영지앤엠,6050,16-Dec,3.4,,,,,
(주)국영지앤엠,6050,17-Dec,17.57,,,,,
(주)국영지앤엠,6050,18-Dec,-18.31,,,,,
(주)국영지앤엠,6050,19-Dec,15.75,,,,,
(주)국전약품,307750,18-Dec,,,,,,
(주)국전약품,307750,19-Dec,,,,,,
(주)그래디언트,35080,11-Dec,-37.08,-48.06,,,,
(주)그래디언트,35080,12-Dec,-0.12,1.38,,,,
(주)그래디언트,35080,13-Dec,0.17,7.5,,,,
(주)그래디언트,35080,14-Dec,0.35,14.81,,,,
(주)그래디언트,35080,15-Dec,34.27,26.27,,,,
(주)그래디언트,35080,16-Dec,22.55,13.02,,,,
(주)그래디언트,35080,17-Dec,26.15,13.33,,,,
(주)그래디언트,35080,18-Dec,27.44,8.44,,,,
(주)그래디언트,35080,19-Dec,11.08,10.13,,,,
(주)그리티,204020,18-Dec,251.9,29.27,,,,
(주)그리티,204020,19-Dec,14.33,4.95,,,,
(주)그린플러스,186230,19-Dec,4.73,3.03,,,,
(주)글로벌스탠다드테크놀로지,83450,11-Dec,17.06,21.14,,,,
(주)글로벌스탠다드테크놀로지,83450,12-Dec,20.88,25.45,,,,
(주)글로벌스탠다드테크놀로지,83450,13-Dec,53.29,46.16,,,,
(주)글로벌스탠다드테크놀로지,83450,14-Dec,71.23,60.23,,,,
(주)글로벌스탠다드테크놀로지,83450,15-Dec,54.7,60.28,,,,
(주)글로벌스탠다드테크놀로지,83450,16-Dec,68.63,63.24,,,,
(주)글로벌스탠다드테크놀로지,83450,17-Dec,358.76,212.37,,,,
(주)글로벌스탠다드테크놀로지,83450,18-Dec,248.66,118.58,,,,
(주)글로벌스탠다드테크놀로지,83450,19-Dec,526.27,122.37,,,,
(주)금비,8870,11-Sep,1.18,3.74,,,,
(주)금비,8870,12-Sep,0.28,2.7,,,,
(주)금비,8870,13-Sep,0.37,3.03,,,,
(주)금비,8870,14-Sep,-0.96,2.84,,,,
(주)금비,8870,15-Sep,5.04,8.69,,,,
(주)금비,8870,16-Sep,5.75,13.77,,,,
(주)금비,8870,17-Sep,0.83,9.07,,,,
(주)금비,8870,18-Sep,2.76,10,,,,
(주)금비,8870,19-Sep,1.38,9.6,,,,
(주)금양,1570,11-Dec,1.82,2,,,,
(주)금양,1570,12-Dec,1.71,1.68,,,,
(주)금양,1570,13-Dec,1.54,1.61,,,,
(주)금양,1570,14-Dec,2.42,1.52,,,,
(주)금양,1570,15-Dec,2.98,2.52,,,,
(주)금양,1570,16-Dec,2.64,3.26,,,,
(주)금양,1570,17-Dec,1.75,3.57,,,,
(주)금양,1570,18-Dec,1.86,3.72,,,,
(주)금양,1570,19-Dec,1.49,2.53,,,,
(주)금호에이치티,214330,15-Dec,30.7,20.53,,,,
(주)금호에이치티,214330,16-Dec,18.66,11.57,,,,
(주)금호에이치티,214330,17-Dec,12,7.78,,,,
(주)금호에이치티,214330,18-Dec,2.94,3.66,,,,
(주)금호에이치티,214330,19-Dec,0.4,0.35,,,,
(주)금화피에스시,36190,11-Dec,X,,,,,
(주)금화피에스시,36190,12-Dec,X,,,,,
(주)금화피에스시,36190,13-Dec,4840.81,4840.81,,,,
(주)금화피에스시,36190,14-Dec,1485.19,1424.85,,,,
(주)금화피에스시,36190,15-Dec,X,2638.71,,,,
(주)금화피에스시,36190,16-Dec,X,533.42,,,,
(주)금화피에스시,36190,17-Dec,X,539.47,,,,
(주)금화피에스시,36190,18-Dec,X,431.66,,,,
(주)금화피에스시,36190,19-Dec,7902.65,280.27,,,,
(주)기가레인,49080,13-Dec,5.66,5.72,,,,
(주)기가레인,49080,14-Dec,8.77,7.6,,,,
(주)기가레인,49080,15-Dec,-13.77,-13.79,,,,
(주)기가레인,49080,16-Dec,-4.42,-4.14,,,,
(주)기가레인,49080,17-Dec,1.84,1.96,,,,
(주)기가레인,49080,18-Dec,-0.54,-0.71,,,,
(주)기가레인,49080,19-Dec,-7.54,-8.09,,,,
(주)기산텔레콤,35460,11-Dec,-5.27,-3.73,,,,
(주)기산텔레콤,35460,12-Dec,3.47,0.71,,,,
(주)기산텔레콤,35460,13-Dec,6.13,4.99,,,,
(주)기산텔레콤,35460,14-Dec,1.06,2.53,,,,
(주)기산텔레콤,35460,15-Dec,0.86,2.72,,,,
(주)기산텔레콤,35460,16-Dec,-21.26,-5.83,,,,
(주)기산텔레콤,35460,17-Dec,-15.43,-6.37,,,,
(주)기산텔레콤,35460,18-Dec,-55.15,-5.52,,,,
(주)기산텔레콤,35460,19-Dec,18.65,6.63,,,,
(주)까뮤이앤씨,13700,11-Dec,-14.28,,,,,
(주)까뮤이앤씨,13700,12-Dec,0.46,,,,,
(주)까뮤이앤씨,13700,13-Dec,-0.14,,,,,
(주)까뮤이앤씨,13700,14-Dec,0.4,,,,,
(주)까뮤이앤씨,13700,15-Dec,1.65,,,,,
(주)까뮤이앤씨,13700,16-Dec,1.92,,,,,
(주)까뮤이앤씨,13700,17-Dec,4.85,,,,,
(주)까뮤이앤씨,13700,18-Dec,2.29,,,,,
(주)까뮤이앤씨,13700,19-Dec,5.87,,,,,
(주)까스텔바작,308100,19-Dec,297.78,214.89,,,,
(주)나노,187790,14-Dec,,,,,,
(주)나노,187790,15-Dec,-3.85,-4.06,,,,
(주)나노,187790,16-Dec,-4.37,-5.47,,,,
(주)나노,187790,17-Dec,1.5,0.96,,,,
(주)나노,187790,18-Dec,0.7,1.22,,,,
(주)나노,187790,19-Dec,1.2,-0.54,,,,
(주)나노브릭,286750,19-Dec,-3.38,-3.38,,,,
(주)나노신소재,121600,11-Dec,9.74,9.69,,,,
