,회사명,거래소코드,회계년도,[제조]자본(*)(IFRS연결),[제조]당기순이익(손실)(IFRS연결),[제조]자본(*)(IFRS),[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS연결2),[제조]자본(*)(IFRS2),자기자본순이익률(개별),자기자본순이익률(연결)
180,(주)경동인베스트,12320,2012/12,446509347.0,42879202.0,468921996.0,56917580.0,407862543.0,412912132.0,0.1290890842001978,0.1003759662551632
181,(주)경동인베스트,12320,2013/12,498740561.0,49841905.0,516833582.0,46253877.0,446509347.0,468921996.0,0.09384451487222525,0.10545762465178679
182,(주)경동인베스트,12320,2014/12,607451423.0,75930406.0,560802056.0,44839494.0,498740561.0,516833582.0,0.08321828346957472,0.13728250990471833
183,(주)경동인베스트,12320,2015/12,576479441.0,-21251390.0,548528455.0,-6095609.0,607451423.0,560802056.0,-0.010989707647191902,-0.035899714495491016
184,(주)경동인베스트,12320,2016/12,587924566.0,19132415.0,556247783.0,16356641.0,576479441.0,548528455.0,0.029610776259291705,0.03286215932783199
185,(주)경동인베스트,12320,2017/12,400403090.0,51930860.0,309789000.0,7248447.0,587924566.0,556247783.0,0.016739351358474572,0.10508834734055039
186,(주)경동인베스트,12320,2018/12,397867310.0,29827973.0,310422538.0,1574966.0,400403090.0,309789000.0,0.005078802645558007,0.07473150200733987
187,(주)경동인베스트,12320,2019/12,414533638.0,8856009.0,308309156.0,-917643.0,397867310.0,310422538.0,-0.0029662065444476813,0.02180206466228791
189,(주)경방,50,2011/12,629704391.0,-1131177.0,676624221.0,-1822388.0,632800486.0,680065508.0,-0.002686521407283389,-0.0017919566420811538
190,(주)경방,50,2012/12,620704205.0,-7910168.0,669735441.0,-7074187.0,629704391.0,676624221.0,-0.010508614005103787,-0.012652133111215432
191,(주)경방,50,2013/12,636438555.0,14574395.0,685569176.0,15103835.0,620704205.0,669735441.0,0.022288472732325974,0.02318653929168713
192,(주)경방,50,2014/12,647668814.0,11488471.0,651570419.0,14235818.0,636438555.0,685569176.0,0.021292942117984322,0.017893318389640048
193,(주)경방,50,2015/12,662952918.0,16692163.0,671770865.0,21604723.0,647668814.0,651570419.0,0.03265177813344785,0.025472129131458656
194,(주)경방,50,2016/12,679843399.0,29474988.0,690245544.0,30977743.0,662952918.0,671770865.0,0.04548806137033845,0.043900906826809534
195,(주)경방,50,2017/12,699134073.0,25315361.0,710964923.0,25679379.0,679843399.0,690245544.0,0.036653136134473366,0.03671613425748554
196,(주)경방,50,2018/12,708769347.0,20189241.0,729185709.0,29198252.0,699134073.0,710964923.0,0.04054888613901605,0.02867986640731365
197,(주)경방,50,2019/12,741553199.0,43621631.0,740731873.0,22223943.0,708769347.0,729185709.0,0.030238352506487674,0.06015438582308297
198,(주)경보제약,214390,2015/12,,,122817151.0,26109623.0,,,,
199,(주)경보제약,214390,2016/12,,,129402340.0,12705930.0,,122817151.0,0.10075295885836198,
