,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),[제조]자본(*)(IFRS2)
230,(주)골프존,215000,Dec-19,19704546.0,205529589.0,473636026.0
231,(주)골프존뉴딘홀딩스,121440,Dec-11,47591974.0,348104397.0,
232,(주)골프존뉴딘홀딩스,121440,Dec-12,72099265.0,410999847.0,506841449.0
233,(주)골프존뉴딘홀딩스,121440,Dec-13,4493226.0,427556455.0,480074463.0
234,(주)골프존뉴딘홀딩스,121440,Dec-14,63571492.0,473636026.0,484480922.0
235,(주)골프존뉴딘홀딩스,121440,Dec-15,890006593.0,551703320.0,55002116.0
236,(주)골프존뉴딘홀딩스,121440,Dec-16,-20255655.0,506841449.0,56677106.0
237,(주)골프존뉴딘홀딩스,121440,Dec-17,-21778628.0,480074463.0,63502275.0
238,(주)골프존뉴딘홀딩스,121440,Dec-18,-7653686.0,484480922.0,64796802.0
239,(주)골프존뉴딘홀딩스,121440,Dec-19,-30341791.0,450069457.0,66259380.0
240,(주)광림,14200,Dec-11,2583332.0,56677106.0,
241,(주)광림,14200,Dec-12,586385.0,63502275.0,90221084.0
242,(주)광림,14200,Dec-13,1630750.0,64796802.0,176556237.0
243,(주)광림,14200,Dec-14,1137559.0,66259380.0,120931215.0
244,(주)광림,14200,Dec-15,9223597.0,80899308.0,52410098.0
245,(주)광림,14200,Dec-16,437352.0,90221084.0,56987613.0
246,(주)광림,14200,Dec-17,86196134.0,176556237.0,55136666.0
247,(주)광림,14200,Dec-18,-58294056.0,120931215.0,60793004.0
248,(주)광림,14200,Dec-19,-68290742.0,60749234.0,67539909.0
249,(주)광명전기,17040,Dec-11,-75153.0,56987613.0,
250,(주)광명전기,17040,Dec-12,-1564026.0,55136666.0,86335358.0
251,(주)광명전기,17040,Dec-13,5301060.0,60793004.0,85430878.0
252,(주)광명전기,17040,Dec-14,6978508.0,67539909.0,87989865.0
253,(주)광명전기,17040,Dec-15,3442541.0,71275955.0,61613923.0
254,(주)광명전기,17040,Dec-16,15612709.0,86335358.0,49296267.0
255,(주)광명전기,17040,Dec-17,-1349854.0,85430878.0,36518143.0
256,(주)광명전기,17040,Dec-18,3182514.0,87989865.0,11346800.0
257,(주)광명전기,17040,Dec-19,6470387.0,94186043.0,8505450.0
258,(주)광무,29480,Dec-11,-51537196.0,49296267.0,
259,(주)광무,29480,Dec-12,-15113066.0,36518143.0,8053231.0
260,(주)광무,29480,Dec-13,-33154332.0,11346800.0,13552175.0
261,(주)광무,29480,Dec-14,-859721.0,8505450.0,9695091.0
262,(주)광무,29480,Dec-15,-2727754.0,7744452.0,260459626.0
263,(주)광무,29480,Dec-16,95615.0,8053231.0,310214632.0
264,(주)광무,29480,Dec-17,-3352682.0,13552175.0,361615843.0
265,(주)광무,29480,Dec-18,-4875184.0,9695091.0,408690826.0
266,(주)광무,29480,Dec-19,-6275093.0,22202195.0,448624926.0
267,(주)광주신세계,37710,Dec-11,52281979.0,310214632.0,
268,(주)광주신세계,37710,Dec-12,53769536.0,361615843.0,534290186.0
269,(주)광주신세계,37710,Dec-13,48569715.0,408690826.0,579363832.0
