,회사명,거래소코드,회계년도,이자보상배율,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),통계청 한국표준산업분류 10차(중분류),매출액(수익)감소,매출원가감소,매출액(수익)감소(연결),매출원가감소(연결)
103,(주)가비아,79940,2015,64.83,48446932.0,28806524.0,91648622.0,50078893.0,출판업,-0.09372500615725264,-0.06705713608486744,-0.12238672830236334,-0.0959106264589355
104,(주)가비아,79940,2016,83.64,49430564.0,28802628.0,102178978.0,54998617.0,출판업,-0.019899267182142612,0.00013526543480685166,-0.10305794994348054,-0.08945177657830923
105,(주)가비아,79940,2017,53.72,52365659.0,30561799.0,116217941.0,60313364.0,출판업,-0.05604999642991221,-0.05756110757746951,-0.12079858651083829,-0.08811889517553688
106,(주)가비아,79940,2018,62.3,55197652.0,31654603.0,128728438.0,65751367.0,출판업,-0.05130640339556473,-0.034522751714813796,-0.09718518451998928,-0.08270555044125547
107,(주)가비아,79940,2019,34.25,58254105.0,34532096.0,148306878.0,75650385.0,출판업,-0.05246759863532364,-0.08332807252707741,-0.13201302774373014,-0.13085218270865376
108,(주)강스템바이오텍,217730,2015,-5.41,1484593.0,252810.0,,,의료용 물질 및 의약품 제조업,,,,
109,(주)강스템바이오텍,217730,2016,-18.89,842805.0,57688.0,,,의료용 물질 및 의약품 제조업,0.7614904989884967,3.382367216752184,,
110,(주)강스템바이오텍,217730,2017,-8.15,5394323.0,2402560.0,9132939.0,5874047.0,의료용 물질 및 의약품 제조업,-0.8437607462511978,-0.9759889451251997,,
111,(주)강스템바이오텍,217730,2018,-12.31,1001039.0,276617.0,9165454.0,7988195.0,의료용 물질 및 의약품 제조업,4.388724115643846,7.685511013422891,-0.003547560219057343,-0.26465903749219943
112,(주)강스템바이오텍,217730,2019,-21.5,282069.0,141439.0,6004584.0,6428945.0,의료용 물질 및 의약품 제조업,2.5489153363184185,0.9557335671208083,0.5264094898164469,0.2425359059690198
113,(주)강원랜드,35250,2011,1142.61,1263651213.0,530019096.0,1265686425.0,538388479.0,스포츠 및 오락관련 서비스업,,,,
114,(주)강원랜드,35250,2012,565.68,1292896121.0,639097544.0,1296191223.0,647845564.0,스포츠 및 오락관련 서비스업,-0.022619688871353648,-0.17067574273137873,-0.023534180342154654,-0.1689555213192754
115,(주)강원랜드,35250,2013,1421.81,1356906162.0,718286815.0,1361286598.0,726091776.0,스포츠 및 오락관련 서비스업,-0.047173520758173104,-0.11024742393468548,-0.04781900820564752,-0.10776352878014142
116,(주)강원랜드,35250,2014,2073.72,1492291312.0,713323703.0,1496541441.0,722297880.0,스포츠 및 오락관련 서비스업,-0.09072300355253961,0.006957727577433383,-0.09037828107828522,0.005252536529665572
117,(주)강원랜드,35250,2015,2623.81,1630976696.0,754752007.0,1633716839.0,759645970.0,스포츠 및 오락관련 서비스업,-0.08503210643053848,-0.05488995539696524,-0.08396522256816868,-0.04916512622320632
118,(주)강원랜드,35250,2016,836.02,1694575212.0,782103726.0,1696532511.0,785177091.0,스포츠 및 오락관련 서비스업,-0.03753065402446121,-0.03497198401021299,-0.037025917035314625,-0.032516385529643525
119,(주)강원랜드,35250,2017,2241.82,1602901764.0,785131415.0,1604470055.0,787533848.0,스포츠 및 오락관련 서비스업,0.05719218111734513,-0.0038562830911561476,0.05737873119732359,-0.0029925786758056906
120,(주)강원랜드,35250,2018,1834.66,1436042435.0,727185671.0,1438059299.0,729593460.0,스포츠 및 오락관련 서비스업,0.11619387069157187,0.07968493647614792,0.11571898051472494,0.07941462084926035
121,(주)강원랜드,35250,2019,255.56,1517612252.0,734363002.0,1520080449.0,736659054.0,스포츠 및 오락관련 서비스업,-0.05374878655104585,-0.009773546570909628,-0.05395842703848894,-0.00959140318935115
122,(주)강원에너지,114190,2011,393.9,50222892.0,37631683.0,,,금속가공제품 제조업; 기계 및 가구 제외,,,,
123,(주)강원에너지,114190,2012,58.37,106471214.0,85441450.0,,,금속가공제품 제조업; 기계 및 가구 제외,-0.5282960519262981,-0.5595617466697955,,
124,(주)강원에너지,114190,2013,18.11,50660659.0,38917147.0,,,금속가공제품 제조업; 기계 및 가구 제외,1.101654737653531,1.195470546697578,,
125,(주)강원에너지,114190,2014,39.01,51481321.0,40566049.0,,,금속가공제품 제조업; 기계 및 가구 제외,-0.015940966238997635,-0.04064734034118038,,
126,(주)강원에너지,114190,2015,187.51,48852892.0,40524653.0,46188664.0,38265188.0,금속가공제품 제조업; 기계 및 가구 제외,0.053802935555995336,0.0010215016523398733,,
127,(주)강원에너지,114190,2016,-241.54,44448760.0,37206789.0,42287473.0,35270278.0,금속가공제품 제조업; 기계 및 가구 제외,0.09908334900681144,0.08917361828778075,0.0922540583117842,0.08491313847880644
128,(주)강원에너지,114190,2017,-26.56,83113029.0,82247917.0,82034829.0,81169717.0,금속가공제품 제조업; 기계 및 가구 제외,-0.4652010577066082,-0.5476263672428324,-0.484518057567963,-0.5654749172034196
129,(주)강원에너지,114190,2018,0.2,85905365.0,80012233.0,85905365.0,80012233.0,금속가공제품 제조업; 기계 및 가구 제외,-0.03250479175543926,0.027941777352970515,-0.04505581228832448,0.014466337916103404
130,(주)강원에너지,114190,2019,-8.38,42549622.0,48688856.0,42549622.0,48688856.0,금속가공제품 제조업; 기계 및 가구 제외,1.0189454326997311,0.6433377075033351,1.0189454326997311,0.6433377075033351
131,(주)갤럭시아에스엠,11420,2011,6.31,31931418.0,26327117.0,47331427.0,38695073.0,스포츠 및 오락관련 서비스업,,,,
