,회사명,거래소코드,회계년도,[제조]당기순이익(손실)(IFRS),[제조]자본(*)(IFRS),자기자본순이익률(개별)
313,(주)국순당,43650,2012/12,5122888.0,186305726.0,2.749721176041578
314,(주)국순당,43650,2013/12,2346882.0,185985822.0,1.2618607024787083
315,(주)국순당,43650,2014/12,1997559.0,186838479.0,1.0691368344954255
316,(주)국순당,43650,2015/12,-4854598.0,186118215.0,-2.6083411556466944
317,(주)국순당,43650,2016/12,-2212642.0,183188543.0,-1.207849554215844
318,(주)국순당,43650,2017/12,9847390.0,191745752.0,5.135649628368299
319,(주)국순당,43650,2018/12,15171022.0,203499644.0,7.45506070762463
320,(주)국순당,43650,2019/12,571892.0,196923842.0,0.2904127779509807
321,(주)국영지앤엠,6050,2011/12,-1752706.0,32733005.0,-5.354552690778008
322,(주)국영지앤엠,6050,2012/12,4832440.0,45960267.0,10.514386263247774
323,(주)국영지앤엠,6050,2013/12,953338.0,46345349.0,2.057030577113574
324,(주)국영지앤엠,6050,2014/12,395531.0,47240880.0,0.8372642507929573
325,(주)국영지앤엠,6050,2015/12,-533927.0,48972537.0,-1.0902579950064666
326,(주)국영지앤엠,6050,2016/12,385503.0,50558041.0,0.7624959202829873
327,(주)국영지앤엠,6050,2017/12,1431624.0,52611544.0,2.7211214329691598
328,(주)국영지앤엠,6050,2018/12,-354808.0,51748308.0,-0.685641741175383
329,(주)국영지앤엠,6050,2019/12,1089819.0,52826451.0,2.063017634858719
330,(주)국전약품,307750,2018/12,,,
331,(주)국전약품,307750,2019/12,,,
332,(주)그래디언트,35080,2011/12,-4906079.0,334573662.0,-1.466367367554473
333,(주)그래디언트,35080,2012/12,15794035.0,411656935.0,3.836698390614991
334,(주)그래디언트,35080,2013/12,-9664900.0,402332194.0,-2.4022188987441555
335,(주)그래디언트,35080,2014/12,625806.0,420045194.0,0.14898539703325353
336,(주)그래디언트,35080,2015/12,13112622.0,431479123.0,3.03899338369611
337,(주)그래디언트,35080,2016/12,-40598919.0,389295611.0,-10.428814980911767
338,(주)그래디언트,35080,2017/12,-54754214.0,328719925.0,-16.65679803255005
339,(주)그래디언트,35080,2018/12,4404863.0,325218418.0,1.354432208079925
340,(주)그래디언트,35080,2019/12,4125060.0,320088192.0,1.2887260770931532
341,(주)그리티,204020,2018/12,6019400.0,74051025.0,8.128719352635565
342,(주)그리티,204020,2019/12,2627015.0,74833748.0,3.510468298340476
